Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Log2 Ratio L/H NormalizedDAF2day01,Log2 Ratio L/H NormalizedDAF2day06,Log2 Ratio L/H NormalizedDAF2day12,Log2 Ratio L/H NormalizedDAF2day17,Log2 Ratio L/H NormalizedDAF2day22,Log2 Ratio L/H NormalizedDAF2day27,Log2 Ratio L/H NormalizedDAF16day01,Log2 Ratio L/H NormalizedDAF16day06,Log2 Ratio L/H NormalizedDAF16day12,Log2 Ratio L/H NormalizedDAF16day17,Log2 Ratio L/H NormalizedHSF1day01,Log2 Ratio L/H NormalizedHSF1day06,Log2 Ratio L/H NormalizedHSF1day12,Peptides WTday01,Peptides WTday06,Peptides WTday12,Peptides WTday17,Peptides WTday22,Peptides DAF2day01,Peptides DAF2day06,Peptides DAF2day12,Peptides DAF2day17,Peptides DAF2day22,Peptides DAF2day27,Peptides DAF16day01,Peptides DAF16day06,Peptides DAF16day12,Peptides DAF16day17,Peptides HSF1day01,Peptides HSF1day06,Peptides HSF1day12,Ratio Count WTday01,Ratio Count WTday06,Ratio Count WTday12,Ratio Count WTday17,Ratio Count WTday22,Ratio Count DAF2day01,Ratio Count DAF2day06,Ratio Count DAF2day12,Ratio Count DAF2day17,Ratio Count DAF2day22,Ratio Count DAF2day27,Ratio Count DAF16day01,Ratio Count DAF16day06,Ratio Count DAF16day12,Ratio Count DAF16day17,Ratio Count HSF1day01,Ratio Count HSF1day06,Ratio Count HSF1day12,log abs.LFQ WTday01,log abs.LFQ WTday06,log abs.LFQ WTday12,log abs.LFQ WTday17,log abs.LFQ WTday22,log abs.LFQ DAF2day01,log abs.LFQ DAF2day06,log abs.LFQ DAF2day12,log abs.LFQ DAF2day17,log abs.LFQ DAF2day22,log abs.LFQ DAF2day27,log abs.LFQ DAF16day01,log abs.LFQ DAF16day06,log abs.LFQ DAF16day12,log abs.LFQ DAF16day17,log abs.LFQ HSF1day01,log abs.LFQ HSF1day06,log abs.LFQ HSF1day12,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
O17586,pas-1,-0.237441347,0.072133879,0.263022864,0.590375536,0.703759931,-0.401084302,0.276694833,0.466197468,0.654785321,0.728430898,0.673669752,-0.39988201,0.128613672,0.292139532,0.658446842,-0.154583209,0.147250038,0.35208689,9,7,7,10,9,6,9,8,9,11,11,9,9,12,9,10,8,8,25,16,14,24,20,16,18,19,23,23,20,25,22,27,22,25,19,15,7.845556909,7.089516544,7.350325564,7.243831462,7.469335923,7.208064948,7.439995474,7.357229498,7.621404798,7.638978187,7.686654141,7.191590726,7.174263381,7.235629434,6.913278599,7.58546073,7.261833621,7.262830635,0,80.1,246
O17587,rpoa-12,NA,NA,NA,-0.482848283,NA,NA,NA,NA,NA,NA,NA,0.802587487,-0.93402577,-0.564622052,NA,NA,NA,NA,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,1,0,0,2,2,2,0,1,1,1,6.526326352,5.666602211,NA,5.682334644,5.274458055,5.516125344,NA,4.676455825,5.521778588,NA,NA,6.017867719,5.267898856,5.26630227,NA,6.698544187,5.373610728,5.562625894,0.00061031,10.1,119
Q8T3F0;O17589,eat-16,NA,-0.056860943,-0.840281941,-0.067914014,NA,NA,-0.37517848,NA,0.242908462,NA,NA,0.105923415,-0.783414745,NA,-0.186754085,NA,-0.526669809,0.737302262,1,2,2,2,1,1,2,0,1,2,0,2,2,1,2,1,2,2,1,3,2,2,1,1,2,0,2,1,0,2,2,1,2,1,2,2,5.43378583,5.377997948,5.02514195,5.353339095,4.837714668,4.329845166,5.57800851,NA,5.432038808,5.328501923,NA,5.490520309,4.82473095,4.867037105,4.975395041,5.028042295,5.227269517,5.54016674,2.49E-08,8.6,431
O17590,ocrl-1,NA,NA,-0.249384659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5.016029963,NA,5.107311745,NA,NA,NA,NA,NA,NA,5.460612227,NA,4.900367129,4.766197134,NA,NA,NA,NA,NA,1.43E-12,7.9,768
O17591,,0.022053385,NA,0.141286899,-0.091530593,NA,NA,NA,NA,NA,NA,NA,0.317318842,-0.796846903,-0.087327052,NA,0.478567276,NA,NA,3,1,3,4,1,1,1,2,1,1,0,3,3,2,2,5,2,0,2,1,3,4,1,0,1,1,1,1,0,5,4,2,1,5,1,0,6.008515008,5.089799173,5.069186925,5.456001437,5.090328607,NA,5.338137628,5.296884476,5.260023661,5.863239563,NA,5.792965699,5.168143775,5.07776749,4.082390378,6.179982425,4.859372501,NA,1.29E-74,41.5,357
O17594,,NA,-0.187134291,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.074916402,NA,NA,NA,-0.354000719,-0.360757558,NA,1,2,1,1,0,0,0,1,1,0,0,2,1,1,1,3,2,0,1,2,1,1,0,0,0,1,1,0,0,2,1,1,1,3,2,0,5.200713734,5.23146959,4.483587297,4.988683787,NA,NA,NA,4.63064141,4.603122712,NA,NA,5.199124115,4.784781281,4.757494721,4.982406929,5.965939798,5.003288159,NA,8.19E-22,32.4,219
O17599,rap-2,-0.515005916,-0.081612323,0.079950664,0.233956157,0.291803933,-0.468635446,-0.115299644,0.051997285,0.03696985,-0.007913082,NA,-0.477573719,-0.509746506,0.058427894,0.16836593,-0.651407656,-0.298658316,0.14568512,2,2,3,3,3,2,2,3,2,3,1,3,3,4,3,2,2,2,2,4,3,6,4,3,3,5,3,4,1,5,6,5,6,7,4,3,6.014100322,5.565410944,6.160198326,6.162713726,6.093561758,5.922143934,6.218377933,6.186334663,6.061414778,6.246966107,5.95263264,5.92346163,5.916717078,5.928958841,5.638069736,6.459709045,5.952598735,6.029505525,2.42E-42,31.5,181
O17606,,0.014936816,0.229077948,0.065536338,0.275821246,0.177898045,-0.303342394,0.231430302,0.172489867,0.455732246,0.38669467,0.287096125,-0.100304906,0.044211089,0.315324866,0.25308534,-0.117828004,0.062098225,0.195335119,9,7,9,10,9,8,8,8,7,8,9,10,9,10,8,8,7,8,14,11,14,19,16,14,17,17,14,13,20,21,17,18,14,14,17,14,7.234416038,7.025264892,7.510679031,6.736037762,6.919250729,6.976437104,7.133953845,7.068297205,7.206069924,7.327501973,7.376449205,6.836450714,6.753896986,6.8202146,6.661007691,7.280168465,6.963943579,6.968842377,1.87E-148,40.3,340
O17607,ruvb-1,-0.0824301,-0.09044698,0.173319325,0.301123678,0.250680275,-0.671746267,-0.066261442,-0.13093087,0.059870845,0.165596204,0.074365098,-0.190678066,-0.192951618,-0.085696581,0.15707747,-0.436908052,-0.139862368,0.048650934,11,7,8,9,7,9,10,9,10,10,7,10,9,7,7,9,8,8,23,21,16,20,20,22,18,18,18,24,16,20,21,13,17,19,20,16,7.336719832,6.674714209,6.707135664,6.822710608,6.747077607,6.643551369,6.918905387,6.742827214,6.828318255,7.063032965,7.184094931,6.729723503,6.726311456,6.453578227,6.393048466,7.013805927,6.635775189,6.684270708,8.17E-242,52.5,476
O17612,ech-1,NA,NA,1.003698035,0.440733358,0.802310711,NA,1.457672603,0.986530594,NA,NA,-0.373174891,-0.119820952,0.032226399,NA,NA,0.730392284,NA,1.343146718,6,5,10,7,7,6,9,9,6,6,7,7,7,6,5,8,6,7,1,0,5,2,2,1,4,4,1,1,2,3,2,1,0,4,1,2,4.39944873,NA,5.700141019,4.811078769,4.844918081,3.970486349,5.440924817,5.117933835,4.352163216,4.719886232,4.394749281,4.959894825,4.685051692,4.351950833,NA,5.56335054,3.618591932,5.041668966,2.62E-269,29.1,755
O17616;A5JYV2,,0.749062674,2.996656824,2.825414614,2.327565606,2.402931325,2.417501802,2.041684399,0.923851403,0.260203732,NA,0.261811519,2.519693511,3.474091497,2.558261575,3.312580923,2.05991596,2.242976753,2.809246092,2,4,7,4,2,6,3,3,2,1,3,6,3,5,4,7,3,2,2,6,9,4,2,7,3,3,2,1,3,7,4,5,4,7,5,2,5.659573951,6.04351946,6.361274423,6.20054956,5.812659387,6.441145048,6.037745129,5.516641125,4.753115577,5.049450618,5.707672351,6.256837966,6.207041621,6.101128176,5.953203787,6.462368046,5.702792298,6.023663918,1.90E-135,22.4,491
O17620,,1.022038736,1.055801223,0.350338559,-0.739502506,NA,1.279248741,NA,-0.067914014,NA,-1.254049755,NA,1.381009647,1.89802727,0.749038426,-0.252536767,0.827486882,0.746301117,0.708137157,5,3,3,4,1,3,1,3,1,2,0,3,5,5,4,4,3,4,5,3,3,4,1,3,1,3,1,2,0,3,5,5,5,4,3,4,6.094471129,5.268624768,5.623724686,5.089940418,4.232894509,5.546555001,5.354012346,5.286995074,4.705299105,4.813360783,NA,5.706572709,5.975633973,5.549273079,4.953832149,5.857229943,5.237367773,5.528235171,2.51E-47,26.4,394
O17621,,2.339199134,1.701013303,0.619403525,0.479452032,-0.758814832,2.344391715,2.662825559,1.387071954,-0.62928667,-1.414568547,-1.007051943,3.462292432,2.122177238,0.817663654,0.156434156,2.105255949,1.433506292,1.368476594,15,8,8,7,8,9,10,9,8,6,6,12,10,11,7,10,7,9,34,15,13,14,11,18,24,18,13,11,12,35,28,18,9,18,17,17,7.528788192,6.563267445,6.684028048,6.191646599,5.872535022,6.900754816,7.255610158,6.706470275,5.924703033,6.091209565,6.135514281,7.515820878,6.988148546,6.374601724,5.628133388,7.330535521,6.345373731,6.671996203,0,71.6,394
O17622,C29F7.3,-0.075464174,1.200150091,0.91879674,0.583333176,-0.391877677,-0.161565256,0.547720865,0.440028592,0.33253473,0.305485262,0.39946381,-0.09369538,1.725613087,1.040615604,0.110557609,0.254289378,1.320666289,1.148576757,5,5,4,6,5,4,4,5,4,6,5,6,6,5,4,5,5,5,13,12,12,11,12,10,16,16,10,16,13,15,21,15,8,8,14,11,7.110151829,7.163817094,7.030761591,7.070997797,6.877307983,7.281147042,7.593009005,7.31479385,7.45501245,7.492844168,7.583663436,7.128883702,7.591665522,7.148602655,6.495391683,7.226883328,7.148047094,7.344176055,1.34E-157,74.9,191
O17624-3;O17624,cyp-13B1,NA,NA,NA,NA,NA,1.99786639,NA,NA,0.87508961,1.830947291,2.012053435,1.669923535,NA,-1.383939251,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,1,2,3,2,2,1,2,0,1,1,1,4.550081524,3.629531918,3.894343759,3.648935436,3.651016195,5.791395874,4.28368559,3.995718536,4.692247479,5.50653209,5.432664697,4.940710679,3.622669845,3.437607888,NA,5.303152842,3.781568696,4.214790882,8.10E-24,13.3,510
O17626,,0.166324564,-1.064813887,-1.330730481,-1.147111287,-1.213876043,0.590332093,-0.280718814,-0.708496273,-0.871922482,-0.98207178,-1.006262113,0.157399234,-1.15166402,-0.924327962,-0.945757508,0.146116101,-1.015497569,-0.8885387,9,7,8,8,8,8,8,7,7,5,7,9,8,8,8,9,8,7,19,15,13,18,16,22,20,17,15,15,17,23,20,17,20,22,19,16,7.79750298,7.028001579,7.256212459,6.957300731,6.805595998,7.466452396,7.447220069,7.126423654,7.178631675,7.214128262,7.209193196,7.313318735,6.86773258,6.665412118,6.894875189,7.737248318,6.980080674,7.080914959,3.44E-241,62.1,322
O17635,ttr-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.949526617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10E-05,8.6,174
O17636,ethe-1,-1.369103496,NA,0.424978174,1.545276618,NA,0.150176836,0.798566876,1.074182828,0.978150763,1.28429988,0.894375555,-1.070251922,-0.478713002,0.074562583,0.209061186,NA,-0.118492626,0.377350721,3,1,1,4,1,1,2,1,3,2,3,3,3,3,4,0,3,2,5,1,2,5,1,2,3,2,4,3,4,2,4,3,4,0,3,2,6.072507236,5.350829274,6.212613697,6.299441921,5.384263786,5.752363485,6.286748297,6.010342366,6.314520279,6.50350469,6.886169115,5.104760167,5.594646643,5.561077521,5.733036683,NA,5.729375404,5.511027292,2.30E-23,24.1,237
O17641;P91249,col-178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.839666557,4.984261705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.626658528,NA,NA,5.218010043,NA,NA,1.61E-115,17.3,283
O17642,col-179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.168762576,NA,NA,8.65E-122,16.6,283
O17643,idh-2,0.01746086,-0.28853575,-0.213253951,-0.490980804,-0.616922242,-0.145090477,-0.149389449,-0.348459062,-0.417163907,-0.279055216,-0.204140717,-0.028993412,-0.011352507,-0.211136827,-0.413269114,0.042025987,-0.012068023,-0.315102453,16,17,15,15,16,14,15,16,14,17,16,16,16,15,15,16,16,16,28,29,22,24,24,23,26,24,25,28,25,31,29,24,23,27,26,27,7.254934589,6.764825966,7.009663317,6.599238791,6.579966419,6.856916098,6.97735773,6.862435518,6.818601943,7.139658736,7.198767021,6.932625944,6.84456415,6.731580708,6.572732234,7.497261466,6.672698063,6.74872281,6.45E-262,59.8,435
O17644,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.653854367,NA,NA,NA,0.237693711,NA,NA,1,1,0,0,0,1,1,1,0,0,0,2,0,0,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,3,0,0,0,3,1,0,5.492858129,3.625991149,NA,NA,NA,4.51698464,3.849658916,2.930087735,NA,NA,NA,5.446008734,NA,NA,NA,6.590841835,4.47558403,NA,5.87E-57,8.2,1043
O17666,aspm-1,-0.768586635,0.092832434,0.235687819,0.55758194,0.437662315,-0.861955364,-0.138159145,0.564798144,0.530843368,0.284475585,0.730799247,-0.671112175,-0.287826867,0.186081343,0.248741964,-0.995954788,0.077025818,0.178877594,5,5,6,5,5,5,4,7,7,7,4,3,5,5,5,4,2,4,6,6,8,5,5,5,6,7,9,8,3,4,7,5,5,4,3,4,5.289499766,4.872814502,5.748823493,5.20709554,5.30933202,4.915832331,5.246276945,5.353570042,5.689051226,5.826269219,5.537479079,4.956797318,5.055951405,5.073021454,4.902486985,5.031368063,4.64858442,5.19813452,4.94E-123,22.6,1186
O17680,sams-1,0.540064838,-0.287235865,-2.623679608,-2.83090431,-3.592158002,-0.376734905,-1.334110568,-2.117628557,-2.988848259,-2.964583463,-3.149243104,1.067092212,-0.380618638,-2.115199749,-2.313129735,0.876598664,-0.283092058,-1.422717406,17,15,11,13,10,16,14,14,14,11,11,16,16,13,12,14,13,11,77,48,37,36,38,57,45,47,35,39,37,75,65,48,43,74,40,46,8.393206555,7.581289584,7.318334684,6.694613972,7.040681439,7.66043856,7.660685275,7.192121222,7.11872755,7.266443381,7.168114287,8.05415324,7.618832258,6.992412117,6.550472957,8.541641638,7.571475904,7.316075235,0,88.1,403
O17685,,NA,NA,NA,NA,NA,NA,0.844665246,0.878692773,NA,NA,NA,NA,0.645322171,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,3,2,1,1,1,0,2,0,0,0,1,0,NA,6.089127629,6.67223644,NA,NA,NA,7.161487791,6.504959933,6.029708363,7.64526503,6.643955772,NA,7.129657673,NA,NA,NA,6.243038049,NA,1.36E-123,44.3,88
O17687,nasp-2,-4.48864354,0.121486518,0.182605955,0.358897945,0.591092533,-2.907563696,-0.111164889,0.799771883,0.957411691,0.665683446,0.699349092,-4.058489678,-0.268314613,0.466057963,0.349217063,-3.777577522,-0.328376934,0.228418624,7,17,19,19,18,9,18,18,18,17,18,8,19,20,16,4,15,15,7,40,43,53,50,14,49,48,48,49,38,13,48,49,41,5,34,36,5.646619349,7.291990095,7.34010686,7.399881303,7.426641368,5.876783441,7.478003424,7.517881779,7.557639515,7.850615607,7.94999467,6.07889162,7.393575203,7.455560475,7.009875634,5.851887925,6.916638156,7.311393565,0,82.3,582
O17689,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91410505,4.044970705,4.29265473,3.640043941,NA,NA,NA,1.46E-23,10.2,548
O17690,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.460897843,NA,NA,NA,NA,5.123132664,5.272445019,NA,NA,NA,NA,NA,NA,NA,NA,5.228913406,NA,NA,1.16E-27,15,240
O17694,ril-1,0.007521587,0.049695835,0.228891954,0.030309804,-0.097475959,0.026881033,0.059645288,-0.038997979,-0.224040274,-0.320542442,-0.411534715,0.042085401,0.18290071,0.101567181,-0.131984509,-0.050745464,-0.162338958,-0.122341408,4,4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,10,8,9,9,8,10,8,10,9,8,7,6,8,11,11,9,7,9,7.621051586,7.648125722,8.164233855,6.750230604,6.886958609,6.895063248,7.262023705,7.039612382,7.209273673,7.454097536,7.284069612,6.880922152,6.714296222,6.808690256,6.682515107,8.402037728,7.369642518,6.897901874,7.04E-60,27.3,139
O17695,hda-1,-1.040962548,-0.575215502,-0.416515504,-0.322043506,-0.260507478,-0.931229189,-0.265196827,-0.236094579,-0.133037379,-0.264716569,-0.263635404,-0.903578215,-0.944858446,-0.351515261,-0.269152867,-1.352250046,-0.644594661,-0.782995589,7,4,6,6,5,5,7,6,6,5,5,4,6,6,6,4,5,5,12,8,12,11,9,8,9,9,11,12,9,9,13,13,13,5,8,10,6.459980197,6.456882021,6.525109622,6.422639077,6.535357424,6.212374071,6.707485012,6.377870613,6.439869308,6.975211158,7.101265785,6.500126652,6.458305392,6.558720567,6.353030976,6.331184267,5.825594869,6.464429928,6.18E-167,30.4,461
O17712,,NA,NA,NA,NA,3.367791355,NA,NA,NA,NA,1.908117408,2.930600288,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,1,3,5,0,0,0,0,0,0,1,NA,NA,5.862513009,6.033825694,6.425566824,NA,NA,NA,6.330413773,6.744316458,7.254668899,NA,NA,NA,NA,NA,NA,6.095970922,3.23E-35,52.9,104
O17721,,0.041253817,-0.551688269,-0.296662968,0.002628097,-0.36982938,1.577766999,1.354390559,1.254117311,0.603511667,0.659836557,0.801757318,0.404801906,-0.031112841,-0.261350279,-0.227124934,-0.710349106,0.100855312,0.016716319,4,2,4,3,2,6,5,5,3,5,5,3,4,5,4,5,3,4,3,4,4,5,2,6,6,6,3,5,5,6,8,6,7,3,4,4,6.075145327,5.282825959,6.026859986,5.080337823,4.579612131,6.289120518,6.442683542,5.828595456,5.946457178,6.330616667,6.277402904,5.803170223,5.839402621,5.536230073,5.505353506,6.127784876,5.374949871,5.570531265,1.71E-102,40.8,250
O17725,,-1.718657533,0.196045599,1.59705958,0.616834875,0.685570289,1.79741302,2.47401134,2.784880575,2.255942265,1.957131572,1.594356107,-1.723252735,-0.58236331,-0.425566724,0.036289145,-0.856228798,0.707877919,2.425772519,2,4,4,3,3,3,4,4,4,4,1,3,2,3,3,2,3,4,3,5,6,5,3,5,6,6,5,8,2,3,3,4,5,3,6,7,6.629440182,6.646785894,7.16097846,6.806553036,6.619489861,7.126488571,7.421225399,7.365225832,7.598133646,7.438114964,7.523616419,6.194181209,6.489100287,6.267195203,6.225541877,6.713028282,6.768985694,7.26651392,3.78E-20,28.4,194
O17726,,-3.950468414,-1.325156118,0.91183126,1.66364805,1.771519902,-2.735630484,0.166356944,1.466655938,2.136759285,2.087733372,1.856684955,-2.861379759,-0.04879418,1.117067463,1.27344776,-2.460952205,-0.175428791,0.864859184,5,5,6,4,6,3,5,4,6,6,6,6,5,5,5,3,6,6,4,9,17,16,19,5,16,18,18,22,17,8,18,18,19,5,12,15,5.656280318,6.046182891,7.09184275,6.81671843,7.0523091,5.466496904,6.79805645,7.021850577,7.351912206,7.543161284,7.225102426,6.086608945,6.369252975,6.568107812,6.44087761,5.448629036,6.447033929,6.8724826,1.35E-83,57.5,181
O17728,,-0.635615106,NA,NA,-1.242328116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4.768082856,3.350131674,4.196590654,4.331123488,NA,NA,NA,3.851619091,NA,NA,NA,4.623786656,NA,NA,NA,NA,3.879989938,NA,1.34E-16,13.3,225
O17729,,NA,0.49895327,0.540421496,1.57901644,1.452885835,NA,-0.224657734,NA,0.056641237,0.463051912,0.765915668,NA,-0.342782282,-0.146785541,0.583592591,-1.415055533,0.935724146,1.193502706,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,2,2,1,4,3,3,3,1,2,1,3,3,3,1,3,3,3,2,4,4,5.543670793,6.102296466,6.421011303,6.661206711,6.614749615,4.683227206,5.950963301,5.843207854,6.397244581,6.768319847,6.859324469,4.64590346,6.319460016,6.335377654,5.974617605,5.838584657,6.277952847,6.712540273,8.70E-77,13.7,291
O17730,D2023.5,0.270956314,-0.229095661,0.012402629,0.311739059,0.425850039,-0.108357178,0.080850637,-0.097341109,0.172359799,0.156482395,0.139108693,-0.040682059,-0.010779839,-0.10259095,0.088224064,0.043378279,-0.109828565,0.201045362,7,9,11,8,8,7,7,7,8,9,9,9,9,9,10,8,8,6,10,13,18,9,11,6,10,8,10,15,12,14,15,11,15,11,10,8,6.944349402,6.52950735,6.999856659,6.43824164,6.536394289,6.193347256,6.515913564,6.206313052,6.451817127,6.878372409,6.918832097,6.420714687,6.621010013,6.383815366,6.211387553,6.963443087,6.271632537,6.378107063,1.88E-102,58.5,328
O17731,,0.503629691,NA,NA,NA,NA,0.55739085,0.238663659,NA,0.941780496,NA,NA,NA,NA,NA,NA,0.663350985,0.076767132,NA,3,0,1,1,1,2,3,0,2,0,0,1,1,1,0,3,3,1,3,0,1,1,1,2,2,0,2,0,0,1,1,1,0,5,3,1,6.324591086,NA,4.465932808,3.880647843,5.021602716,4.711748195,6.083072412,NA,5.960394662,NA,NA,4.252440377,4.237769874,3.61301683,NA,6.543571424,5.466852798,4.139690222,9.47E-49,47.5,160
O17732,pyc-1,-0.399225792,-0.000144262,0.07231589,-0.390337512,-0.508022917,-0.16491497,0.154778943,-0.006764782,-0.068739591,-0.103262627,-0.27596058,-0.92539184,0.19947072,-0.137503524,-0.436801474,-0.788936229,0.356162277,-0.013355059,25,27,26,22,21,23,27,24,25,24,18,22,26,24,20,19,22,20,55,57,62,48,49,46,62,54,54,60,41,49,71,61,47,42,52,45,7.460371562,7.060017543,7.356847751,6.850217242,6.835411519,6.974732698,7.343684249,7.048325251,7.169468698,7.348830372,7.340781108,6.939304548,7.25202733,7.022180839,6.588753366,7.274642695,7.123851641,7.049101678,0,62.6,1175
O17735,,0.436978578,0.130160172,0.059043978,-0.082566351,NA,-0.147306699,-0.055750964,-0.163627539,0.033791048,0,0.085205888,0.043987968,0.199520419,0.012286221,-0.019203734,0.029278844,0.092924751,-0.225028083,6,5,4,5,1,3,3,3,4,3,2,6,4,5,4,5,5,2,7,8,5,7,1,3,3,4,5,3,2,7,5,6,5,5,5,2,6.022881813,5.765847301,5.75406534,5.855585779,5.333165043,5.671496822,5.35123569,5.646227228,5.985255777,6.107277823,5.765504639,5.683632311,5.708480388,5.470939438,5.183639904,5.963565903,5.672014687,5.41931126,2.08E-67,26.2,512
O17736,,-0.696706079,0.009277441,0.058367802,-0.118226814,0.035239122,-0.34857237,-0.003746139,0.399425752,-0.082021269,0.093725086,-0.186120184,-0.687329488,-0.28853575,0.193288251,-0.122606463,-0.240497517,-0.262553427,-0.157949154,5,5,9,5,6,4,7,4,8,4,5,3,6,6,4,5,4,6,5,9,10,7,7,5,9,7,9,5,7,4,7,6,4,7,5,7,5.411080712,5.102982231,5.774465869,5.35328134,5.092931076,4.775107788,5.368937374,5.114010162,5.567825956,5.364100521,5.607605124,5.009918085,5.224170352,5.027512692,4.734311674,5.709837904,4.852089441,5.208064948,2.04E-99,17.7,1001
O17742,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,NA,NA,NA,4.445230456,NA,NA,NA,NA,NA,NA,NA,4.955553064,4.907669281,NA,NA,5.914951061,NA,NA,7.14E-17,11.7,368
O17754,egl-21,-0.411209283,-0.418891556,-0.628633634,-0.41921526,-0.617110375,-0.295723025,-0.679603955,-0.804218807,-0.976290308,-0.826273904,-1.125188201,-0.321350901,-0.729792022,-0.719928148,-0.86979246,-0.425566724,0.064706219,-0.53116933,4,4,4,5,2,4,3,3,3,5,3,7,5,6,3,5,2,4,4,5,5,5,3,6,4,4,4,5,4,7,6,7,3,6,2,5,6.119255889,5.61993813,6.206825876,5.668367277,5.370179886,6.099473456,5.694912167,5.516297339,5.773932647,6.028774527,5.760904765,6.003374354,5.775493941,5.761905297,6.179925032,6.605585146,5.289499766,5.965855239,1.07E-128,25.8,472
O17759,tkt-1,-0.09396575,0.161120823,-0.146915848,-0.270229907,-0.355016264,0.895421793,0.972336352,0.714822711,0.424416584,0.17814287,-0.104873377,-0.003026483,0.196624155,-0.278817403,-0.483467554,-0.179638435,-0.064331046,-0.232537969,21,19,20,17,17,21,20,20,20,20,16,20,21,17,14,20,18,17,61,58,53,50,51,64,78,65,69,73,51,69,79,58,52,55,47,43,8.028083007,7.562863616,7.795302891,7.36317935,7.449185171,7.817552149,8.053270567,7.765266106,7.798222354,8.0352696,7.876587296,7.706956621,7.69619907,7.337439293,6.971943481,7.964514191,7.345216846,7.468893548,0,65.7,618
O17761,ech-8,NA,-0.349931373,0.379957928,NA,NA,1.001501184,0.89493882,0.43225987,-0.137634672,-0.003890027,NA,NA,NA,NA,NA,-0.531867996,-0.03801469,NA,1,4,5,2,2,4,4,4,4,3,2,2,2,2,2,3,4,1,1,4,4,1,1,3,4,3,4,3,1,1,1,1,1,2,4,1,4.755737688,5.646168379,5.972411139,5.409188947,4.632376297,5.680643672,6.081815201,5.534914104,5.459543258,5.31202918,5.062130535,4.360252508,4.599959449,4.590351333,5.001820217,5.453088899,5.336379672,4.748962861,8.97E-80,20.4,437
