N. furzeri Protein Id	Human
XP_015798156.1	
XP_015805133.1	RGMA
XP_015820014.1	RGMA
XP_015817326.1	DCLK1
XP_015806869.1	DCLK1
XP_015820420.1	GAA
XP_015801150.1	GAA
XP_015831506.1	KCNJ13
XP_015805826.1	MBOAT7
XP_015802230.1	POU3F3
XP_015821638.1	POU3F3
XP_015803045.1	NCOA1
XP_015807255.1	MFSD7
XP_015807309.1	CCNL1
XP_015797356.1	TFAM
XP_015798057.1	SMIM13
XP_015804915.1	MBP
XP_015829567.1	MBP
XP_015804925.1	MBP
XP_015818474.1	BUB3
XP_015832620.1	PIN4
XP_015815005.1	MAPK14
XP_015823246.1	MAPK14
XP_015816669.1	TIMM22
XP_015800777.1	NDUFA6
XP_015825296.1	MRI1
XP_015830821.1	ST3GAL1
XP_015808225.1	SELT
XP_015812459.1	SELT
XP_015822184.1	SOWAHC
XP_015820573.1	SOWAHC
XP_015813288.1	SOWAHC
XP_015822433.1	SOWAHC
XP_015803248.1	SOWAHC
XP_015808956.1	TMEM39A
XP_015812011.1	ITK
XP_015814274.1	ITIH4
XP_015814275.1	ITIH4
XP_015800001.1	TACC2
XP_015811652.1	RPS8
XP_015796505.1	C11orf96
XP_015812243.1	KLHL14
XP_015797750.1	CRLF3
XP_015829907.1	ADAM11
XP_015818577.1	ADAM11
XP_015798888.1	HSPA4
XP_015816749.1	HSPA4
XP_015816705.1	PRDX5
XP_015809528.1	RPS6KA2
XP_015809723.1	RHBDD2
XP_015807916.1	HS6ST3
XP_015821896.1	HS6ST3
XP_015820914.1	FAM13A
XP_015800286.1	FAM13A
XP_015818008.1	FAM13A
XP_015825401.1	ZMPSTE24
XP_015799035.1	RPS19BP1
XP_015797067.1	
XP_015808040.1	ARHGAP6
XP_015801863.1	ARHGAP6
XP_015821865.1	ARHGAP6
XP_015810796.1	CCT5
XP_015801956.1	CHRNA7
XP_015805906.1	CHRNA7
XP_015809099.1	CHRNA7
XP_015827782.1	CHRNA7
XP_015829068.1	CHRNA7
XP_015811168.1	TRIM71
XP_015802132.1	ABI2
XP_015818979.1	ABI2
XP_015803739.1	PRKRIP1
XP_015800036.1	MAP4K3
XP_015828437.1	HDX
XP_015813404.1	TTC3
XP_015816638.1	TTC3
XP_015796482.1	
XP_015829251.1	JARID2
XP_015805019.1	RWDD1
XP_015815798.1	PRDM6
XP_015831402.1	WDTC1
XP_015827752.1	TGOLN2
XP_015814707.1	EXOC4
XP_015825803.1	C15orf52
XP_015809009.1	BTBD1
XP_015804187.1	MRPL11
XP_015824418.1	NOL11
XP_015806402.1	GPR171
XP_015796294.1	NEB
XP_015796289.1	NEB
XP_015821380.1	NEB
XP_015796286.1	NEB
XP_015811086.1	NEB
XP_015796919.1	NEB
XP_015796283.1	NEB
XP_015797387.1	
XP_015818457.1	FAM53B
XP_015800318.1	FAM53B
XP_015819063.1	EIF2AK1
XP_015796726.1	IL10RB
XP_015797925.1	IL10RB
XP_015797927.1	IL10RB
XP_015810532.1	IL10RB
XP_015816859.1	TPST1
XP_015807562.1	TPST1
XP_015813807.1	MRPL42
XP_015831814.1	CC2D2A
XP_015810286.1	NUDT5
XP_015828760.1	PTPRU
XP_015804428.1	PTPRU
XP_015824521.1	SGPP1
XP_015802754.1	SGPP1
XP_015805311.1	MEOX2
XP_015805732.1	USP5
XP_015799618.1	EMX2
XP_015811263.1	SSR2
XP_015799106.1	SPOCK3
XP_015807880.1	GCG
XP_015822061.1	GCG
XP_015824711.1	HIST2H2AB
XP_015812081.1	HIST2H2AB
XP_015809989.1	HIST2H2AB
XP_015824684.1	HIST2H2AB
XP_015824705.1	HIST2H2AB
XP_015817877.1	HIST2H2AB
XP_015824696.1	HIST2H2AB
XP_015796984.1	HIST2H2AB
XP_015799307.1	HIST2H2AB
XP_015809815.1	HIST2H2AB
XP_015821137.1	GRM8
XP_015815473.1	GRM8
XP_015824257.1	GRM8
XP_015813583.1	GRM8
XP_015808204.1	RRAD
XP_015800078.1	SDCCAG8
XP_015800080.1	SDCCAG8
XP_015810145.1	ARL5B
XP_015804340.1	ARL5B
XP_015827863.1	ENTPD4
XP_015816277.1	PRDX4
XP_015806213.1	TYW1
XP_015824839.1	DCAF10
XP_015814339.1	FKBP5
XP_015827661.1	ZNF787
XP_015829150.1	ZNF787
XP_015824707.1	COX16
XP_015828064.1	PLEKHA2
XP_015827170.1	LNX1
XP_015816029.1	LRRC74B
XP_015806794.1	RAB30
XP_015807842.1	CRYGB
XP_015807845.1	CRYGB
XP_015819606.1	CRYGB
XP_015807841.1	CRYGB
XP_015821055.1	CRYGB
XP_015818117.1	CRYGB
XP_015821057.1	CRYGB
XP_015807844.1	CRYGB
XP_015821209.1	CRYGB
XP_015807770.1	CRYGB
XP_015832099.1	CRYGB
XP_015796467.1	CRYGB
XP_015816102.1	CRYGB
XP_015818118.1	CRYGB
XP_015820475.1	CRYGB
XP_015821059.1	CRYGB
XP_015817803.1	EVI5
XP_015815605.1	
XP_015825362.1	RPS6KA1
XP_015806505.1	TMEM173
XP_015806631.1	TMEM173
XP_015814631.1	ZC3HC1
XP_015826910.1	HAUS8
XP_015830545.1	HIVEP3
XP_015831951.1	HIVEP3
XP_015807553.1	NANOS2
XP_015810656.1	NANOS2
XP_015804835.1	CEP192
XP_015799751.1	LRRC18
XP_015819106.1	LRRC18
XP_015831481.1	BRD3
XP_015805254.1	BRD3
XP_015815888.1	BRD3
XP_015825087.1	ATR
XP_015804128.1	KCNA1
XP_015818748.1	KCNA1
XP_015819506.1	KCNA1
XP_015818811.1	KCNA1
XP_015822697.1	LEMD1
XP_015801788.1	ARHGEF40
XP_015797142.1	ARHGEF40
XP_015803218.1	SAYSD1
XP_015829097.1	RECQL4
XP_015820787.1	GINS3
XP_015801658.1	
XP_015807791.1	SATB2
XP_015821244.1	SATB2
XP_015823438.1	CCDC115
XP_015818036.1	TBX6
XP_015803960.1	STXBP2
XP_015818399.1	GLUD1
XP_015822430.1	TMEM26
XP_015800083.1	TMEM26
XP_015814011.1	TGM5
XP_015814699.1	TGM5
XP_015823496.1	TGM5
XP_015814010.1	TGM5
XP_015804794.1	UBR5
XP_015804276.1	LIMD2
XP_015816099.1	UGT2B4
XP_015832249.1	TNKS
XP_015827491.1	TNKS
XP_015818490.1	LRIT1
XP_015800232.1	LRIT1
XP_015804757.1	RBMX
XP_015802287.1	CIDEB
XP_015816132.1	REXO2
XP_015819596.1	SATL1
XP_015805462.1	CCNE2
XP_015809951.1	PRR36
XP_015824027.1	PTPN1
XP_015818619.1	CCDC186
XP_015800509.1	WDR92
XP_015814953.1	PLEKHG4B
XP_015797782.1	PLEKHG4B
XP_015796952.1	PLEKHG4B
XP_015797732.1	PLEKHG4B
XP_015822997.1	PLEKHG4B
XP_015806609.1	LDB2
XP_015815765.1	ADAMTS3
XP_015820421.1	BTBD11
XP_015816766.1	BTBD11
XP_015824514.1	DTD2
XP_015824513.1	DTD2
XP_015817521.1	NCAM1
XP_015806649.1	NCAM1
XP_015804705.1	NCAM1
XP_015822379.1	FBXW2
XP_015830490.1	MRPL27
XP_015799650.1	CST1
XP_015826784.1	CERS4
XP_015804977.1	GAPDHS
XP_015819195.1	C10orf71
XP_015810741.1	ARID2
XP_015831012.1	FYN
XP_015825252.1	FYN
XP_015829361.1	FYN
XP_015808978.1	IL36G
XP_015817989.1	NUDT13
XP_015797444.1	CDC25A
XP_015796648.1	TMEM200C
XP_015804695.1	TRAK1
XP_015811171.1	TRAK1
XP_015824929.1	TRAK1
XP_015828588.1	LGALS3
XP_015824547.1	LGALS3
XP_015824689.1	LGALS3
XP_015813291.1	LGALS3
XP_015803626.1	LGALS3
XP_015813305.1	RCAN1
XP_015801228.1	MIF4GD
XP_015824212.1	USP19
XP_015813788.1	OSER1
XP_015808705.1	SLC9A5
XP_015818404.1	
XP_015810094.1	ACAD11
XP_015798260.1	ACAD11
XP_015796314.1	ACAD11
XP_015815939.1	DAB2IP
XP_015798716.1	DAB2IP
XP_015807374.1	DAB2IP
XP_015828038.1	RIOK2
XP_015814050.1	MAGI3
XP_015822580.1	MAGI3
XP_015822731.1	MAGI3
XP_015816088.1	UMODL1
XP_015806382.1	ATP1B3
XP_015832367.1	ATP1B3
XP_015797109.1	ATP1B3
XP_015818978.1	
XP_015799684.1	DUSP13
XP_015832565.1	ALKBH6
XP_015805279.1	UBE2E1
XP_015826093.1	ZRANB2
XP_015820854.1	AKR1B10
XP_015813056.1	AKR1B10
XP_015813069.1	AKR1B10
XP_015822899.1	AKR1B10
XP_015831618.1	UBA3
XP_015814770.1	UBA3
XP_015824023.1	TMEM189
XP_015819591.1	TMEM189
XP_015814443.1	TARDBP
XP_015823124.1	TARDBP
XP_015827706.1	BAG4
XP_015832828.1	LGALS2
XP_015804411.1	
XP_015818522.1	CRADD
XP_015815488.1	OPN1SW
XP_015798021.1	OPN1SW
XP_015825235.1	CCDC94
XP_015806700.1	TXNDC17
XP_015802593.1	ZNF24
XP_015818702.1	ZNF24
XP_015801590.1	CLP1
XP_015821779.1	CTSG
XP_015809716.1	KIT
XP_015827179.1	KIT
XP_015804979.1	SLC9A6
XP_015816791.1	SLC9A6
XP_015832207.1	PCDHB15
XP_015832192.1	PCDHB15
XP_015819508.1	CNOT4
XP_015817721.1	KCTD1
XP_015812317.1	KCTD1
XP_015817352.1	KCNJ8
XP_015820550.1	KCNJ8
XP_015811720.1	NDUFV2
XP_015818859.1	SPSB3
XP_015801421.1	SPSB3
XP_015807884.1	SLC15A1
XP_015821919.1	SLC15A1
XP_015809098.1	CLN6
XP_015816582.1	MYF6
XP_015808734.1	KCNG1
XP_015822657.1	KCNG1
XP_015831487.1	KCNG1
XP_015822914.1	
XP_015825132.1	CEP290
XP_015817250.1	CEP290
XP_015816861.1	CEP290
XP_015819290.1	CEP290
XP_015796519.1	CEP290
XP_015810193.1	
XP_015824706.1	SYNJ2BP
XP_015807193.1	NOX4
XP_015800057.1	OLIG3
XP_015825935.1	OLIG3
XP_015798177.1	RABEPK
XP_015825630.1	RABEPK
XP_015816072.1	HMCN1
XP_015803988.1	HMCN1
XP_015826439.1	HMCN1
XP_015805481.1	HMCN1
XP_015821770.1	HMCN1
XP_015827628.1	HMCN1
XP_015800266.1	NDNF
XP_015831826.1	NDNF
XP_015829650.1	CFAP69
XP_015810135.1	CHMP4C
XP_015808891.1	LIMS3
XP_015830484.1	LIMS3
XP_015812863.1	C14orf119
XP_015806703.1	NXN
XP_015830825.1	HEG1
XP_015804301.1	HEG1
XP_015824590.1	LAMTOR3
XP_015810660.1	MED21
XP_015806455.1	RIMBP2
XP_015827606.1	RIMBP2
XP_015832578.1	RIMBP2
XP_015796390.1	
XP_015803575.1	SLC25A47
XP_015813746.1	CCDC71
XP_015805571.1	ZC3H12A
XP_015798056.1	ZC3H12A
XP_015813449.1	EIF5B
XP_015824971.1	SLC18B1
XP_015807237.1	HIP1
XP_015831542.1	HFM1
XP_015797833.1	CCDC102A
XP_015796716.1	CCDC102A
XP_015807008.1	SIK2
XP_015822548.1	DPP10
XP_015810472.1	DPP10
XP_015830211.1	DPP10
XP_015831786.1	DPP10
XP_015810469.1	DPP10
XP_015800538.1	VAMP7
XP_015829629.1	HMGCS1
XP_015819304.1	RASSF9
XP_015813356.1	SNX9
XP_015802779.1	SNX9
XP_015802920.1	ZP2
XP_015803398.1	ZP2
XP_015802917.1	ZP2
XP_015803469.1	LAMP2
XP_015802571.1	LRG1
XP_015802899.1	LRG1
XP_015819023.1	MLST8
XP_015797330.1	SMG7
XP_015796837.1	
XP_015813585.1	EHBP1
XP_015800470.1	EHBP1
XP_015808373.1	TERF2
XP_015798927.1	ST8SIA3
XP_015797440.1	ST8SIA3
XP_015812391.1	HES6
XP_015830871.1	HES6
XP_015800163.1	MRPL57
XP_015823559.1	B4GALT5
XP_015831463.1	BCHE
XP_015816196.1	CHEK1
XP_015832752.1	MUC6
XP_015812580.1	CAPN10
XP_015830824.1	ZNF148
XP_015801549.1	
XP_015829211.1	RPL30
XP_015827569.1	FGFR1
XP_015829320.1	FGFR1
XP_015808531.1	MICAL2
XP_015832840.1	MICAL2
XP_015820714.1	MICAL2
XP_015811898.1	FAM221A
XP_015799092.1	CDK2AP2
XP_015807290.1	
XP_015810678.1	NAA50
XP_015817223.1	SRSF1
XP_015806423.1	SRSF1
XP_015818427.1	CHAC2
XP_015807481.1	POLR2I
XP_015830731.1	PSKH1
XP_015813946.1	PFKFB4
XP_015815271.1	PFKFB4
XP_015814469.1	NPRL2
XP_015824198.1	CDK20
XP_015797028.1	RAD50
XP_015796295.1	RAD50
XP_015816776.1	RAD50
XP_015830395.1	RNF141
XP_015824990.1	CCDC170
XP_015814372.1	C3orf67
XP_015808198.1	EPHA6
XP_015821033.1	EPHA6
XP_015830772.1	EPHA6
XP_015796531.1	EPHA6
XP_015797865.1	EPHA6
XP_015810526.1	GTPBP8
XP_015814910.1	LOXL2
XP_015796436.1	LOXL2
XP_015797611.1	LOXL2
XP_015830527.1	LOXL2
XP_015827021.1	FOXA3
XP_015815787.1	DAPK1
XP_015832648.1	GABRP
XP_015797922.1	GABRP
XP_015800031.1	GABRP
XP_015801762.1	TDRD7
XP_015823543.1	TDRD7
XP_015799957.1	PPP1R21
XP_015825929.1	TMEM30A
XP_015803432.1	TMEM30A
XP_015821582.1	TMEM30A
XP_015831531.1	RPAP2
XP_015817881.1	TVP23B
XP_015799824.1	GOT1
XP_015810016.1	GOT1
XP_015812281.1	CELA3B
XP_015827162.1	CELA3B
XP_015803292.1	AHSA1
XP_015824879.1	AHSA1
XP_015817781.1	
XP_015825091.1	
XP_015809526.1	CDHR5
XP_015831083.1	CDHR5
XP_015820100.1	CDHR5
XP_015799312.1	R3HCC1L
XP_015816918.1	ASCL1
XP_015820318.1	ASCL1
XP_015828687.1	CCNO
XP_015825714.1	RUFY1
XP_015824284.1	PLXNA3
XP_015801021.1	PIEZO1
XP_015809986.1	CCSAP
XP_015808244.1	CCSAP
XP_015823492.1	OR1M1
XP_015821785.1	OR1M1
XP_015821783.1	OR1M1
XP_015828686.1	WDR17
XP_015819925.1	DNAJA4
XP_015828092.1	LZTR1
XP_015810481.1	LZTR1
XP_015824188.1	CYTH4
XP_015826785.1	COPE
XP_015819387.1	FAM96A
XP_015807335.1	OR52B6
XP_015822598.1	CPSF3L
XP_015797385.1	PHF2
XP_015797276.1	PHF2
XP_015812021.1	
XP_015817554.1	TMEM120B
XP_015796989.1	TMEM120B
XP_015807232.1	TMEM120B
XP_015800946.1	C16orf72
XP_015820211.1	C16orf72
XP_015820723.1	MAGT1
XP_015799158.1	APTX
XP_015803951.1	UBL3
XP_015817103.1	UBL3
XP_015812640.1	STK11
XP_015816527.1	TBC1D8B
XP_015815087.1	BAAT
XP_015801844.1	CCNB3
XP_015807401.1	TMPRSS5
XP_015832518.1	ASB14
XP_015814191.1	ASB14
XP_015799912.1	BAG2
XP_015813766.1	ATP2B4
XP_015830031.1	APOA1
XP_015813792.1	PCBP4
XP_015823595.1	PCBP4
XP_015817882.1	DSG4
XP_015808468.1	ZNF821
XP_015801301.1	TOB1
XP_015819234.1	TOB1
XP_015830829.1	ANGPT2
XP_015811472.1	ANGPT2
XP_015822850.1	COMMD7
XP_015797082.1	PPP2CB
XP_015815823.1	PPP2CB
XP_015831548.1	ZNF644
XP_015831306.1	IMP3
XP_015821620.1	MITD1
XP_015821890.1	UGGT2
XP_015801257.1	ATAD5
XP_015828435.1	SPEF2
XP_015818794.1	DNAAF3
XP_015819715.1	CGNL1
XP_015832549.1	CGNL1
XP_015808492.1	CGNL1
XP_015814635.1	ZEB2
XP_015810536.1	ZEB2
XP_015813535.1	ZEB2
XP_015825402.1	RPL13A
XP_015817883.1	DSG2
XP_015812310.1	DSG2
XP_015797827.1	AGR3
XP_015821007.1	AGR3
XP_015818925.1	PHKG2
XP_015811543.1	ARHGAP12
XP_015809178.1	LRIG3
XP_015800965.1	CLEC16A
XP_015823404.1	HOXC10
XP_015799285.1	KNOP1
XP_015826008.1	
XP_015821254.1	COQ10B
XP_015804152.1	COQ10B
XP_015820681.1	SLC7A5
XP_015823077.1	SLC7A5
XP_015809556.1	WTIP
XP_015829355.1	WASF2
XP_015801343.1	ZSCAN5B
XP_015802036.1	KLHL4
XP_015832449.1	ULK1
XP_015797805.1	ULK1
XP_015803298.1	GPR132
XP_015822541.1	GRASP
XP_015820904.1	CDH13
XP_015820250.1	ENDOU
XP_015811691.1	ENDOU
XP_015815107.1	ENDOU
XP_015816752.1	ENDOU
XP_015824516.1	YIPF6
XP_015801518.1	
XP_015822139.1	C3orf70
XP_015815776.1	CFAP157
XP_015821885.1	FASTKD5
XP_015796174.1	PSENEN
XP_015796142.1	DCTN6
XP_015802469.1	DCTN6
XP_015823755.1	SULT1C3
XP_015806961.1	NPAS3
XP_015824554.1	NPAS3
XP_015807901.1	MYADML2
XP_015825475.1	MYADML2
XP_015801265.1	MYADML2
XP_015814864.1	DCAF12
XP_015830653.1	DPY19L4
XP_015797995.1	DPY19L4
XP_015820312.1	PAMR1
XP_015819647.1	IGBP1
XP_015805548.1	RSPO1
XP_015831879.1	ATG4B
XP_015798784.1	WDR36
XP_015825292.1	DPH6
XP_015831254.1	HERC2
XP_015802765.1	CENPF
XP_015808233.1	CENPF
XP_015807269.1	MRPL44
XP_015810213.1	
XP_015804081.1	CCDC85B
XP_015799517.1	YIPF4
XP_015810798.1	CMBL
XP_015805688.1	IFFO1
XP_015829466.1	IFFO1
XP_015802901.1	PDIA6
XP_015806897.1	NEU4
XP_015823807.1	LSM14B
XP_015814251.1	LSM14B
XP_015799628.1	PDLIM1
XP_015832444.1	PDLIM1
XP_015827795.1	PDLIM1
XP_015816640.1	
XP_015830870.1	
XP_015798872.1	NTMT1
XP_015799615.1	FAM45A
XP_015799563.1	NANP
XP_015811937.1	EFR3A
XP_015818048.1	BMP4
XP_015825276.1	BMP4
XP_015806939.1	BMP4
XP_015815251.1	RP11-302B13.5
XP_015832029.1	RSPH1
XP_015799953.1	LHCGR
XP_015807199.1	REG3G
XP_015807403.1	ST14
XP_015824288.1	ST14
XP_015810701.1	ST14
XP_015804462.1	ST14
XP_015800833.1	PCDH10
XP_015800879.1	PCDH10
XP_015800867.1	PCDH10
XP_015830847.1	PCDH10
XP_015820187.1	PCDH10
XP_015816610.1	PCDH10
XP_015827702.1	PCDH10
XP_015801092.1	PCDH10
XP_015800854.1	PCDH10
XP_015797450.1	PCDH10
XP_015819686.1	TP53I11
XP_015802790.1	SMYD2
XP_015808234.1	SMYD2
XP_015802875.1	EFHC1
XP_015807208.1	LRRIQ3
XP_015818032.1	
XP_015832717.1	NGEF
XP_015801800.1	C1QTNF3
XP_015803280.1	GPR137B
XP_015807980.1	GPR137B
XP_015799436.1	GPR137B
XP_015806041.1	ISOC2
XP_015815651.1	DGAT2
XP_015816427.1	DGAT2
XP_015797722.1	PKD2
XP_015824567.1	
XP_015824553.1	
XP_015817065.1	NBEA
XP_015806865.1	NBEA
XP_015806868.1	NBEA
XP_015817162.1	TIMM10B
XP_015811609.1	SDR39U1
XP_015812894.1	KLHL40
XP_015810637.1	KLHL40
XP_015823343.1	MYL6
XP_015815112.1	MYL6
XP_015818024.1	NF1
XP_015830368.1	NF1
XP_015828645.1	YKT6
XP_015804234.1	PRF1
XP_015830581.1	PRF1
XP_015821697.1	PRF1
XP_015804236.1	PRF1
XP_015818310.1	TBCC
XP_015811815.1	RANBP3
XP_015798707.1	KIAA2022
XP_015801255.1	C17orf75
XP_015808211.1	
XP_015829518.1	NEK6
XP_015820472.1	LAMB1
XP_015817819.1	LAMB1
XP_015824219.1	LAMB1
XP_015832316.1	CFAP57
XP_015825944.1	SDSL
XP_015796959.1	ORAI1
XP_015827684.1	ORAI1
XP_015814109.1	SMPD2
XP_015812741.1	KIFAP3
XP_015797924.1	KIFAP3
XP_015808588.1	COPB1
XP_015830858.1	THOP1
XP_015832683.1	THOP1
XP_015798646.1	THOP1
XP_015802578.1	TMEM251
XP_015821465.1	P2RY8
XP_015824419.1	PDXDC1
XP_015832688.1	TSPAN33
XP_015814559.1	TSPAN33
XP_015819589.1	TSPAN33
XP_015804297.1	TMUB2
XP_015800335.1	DHX32
XP_015817949.1	SLC16A5
XP_015803759.1	CNKSR3
XP_015825909.1	CNKSR3
XP_015809619.1	RHOH
XP_015826627.1	
XP_015815920.1	TMEM8C
XP_015798794.1	CAPSL
XP_015832816.1	USF1
XP_015828716.1	MTUS1
XP_015800353.1	MTUS1
XP_015805168.1	
XP_015806995.1	NUDT6
XP_015818674.1	ATP6V1F
XP_015826742.1	CAMK4
XP_015822201.1	DNAJB2
XP_015799134.1	CISD2
XP_015814064.1	WNT5B
XP_015818696.1	ERBB2
XP_015815951.1	CKAP2L
XP_015822986.1	DALRD3
XP_015804698.1	GPR101
XP_015826846.1	GCLM
XP_015807211.1	LAMTOR1
XP_015813513.1	MFSD6
XP_015828330.1	AFTPH
XP_015800492.1	AFTPH
XP_015818491.1	LRIT2
XP_015800234.1	LRIT2
XP_015798679.1	GAS1
XP_015828700.1	GAS1
XP_015809586.1	GAS1
XP_015808443.1	CLEC3A
XP_015801243.1	
XP_015804476.1	TYROBP
XP_015808646.1	SLC39A13
XP_015804868.1	SYBU
XP_015812571.1	GPR148
XP_015823967.1	NKAIN3
XP_015827878.1	
XP_015799783.1	STT3B
XP_015829005.1	STT3B
XP_015796095.1	STT3B
XP_015817458.1	MED31
XP_015821199.1	WDR4
XP_015829503.1	PSMB7
XP_015829688.1	PSMB7
XP_015829552.1	PSMB7
XP_015804543.1	PIGV
XP_015796030.1	VPS13D
XP_015832613.1	VPS13D
XP_015802711.1	ARMT1
XP_015819653.1	SLCO1C1
XP_015811884.1	SLCO1C1
XP_015807133.1	SLCO1C1
XP_015811876.1	SLCO1C1
XP_015821820.1	NDUFC1
XP_015825377.1	BEGAIN
XP_015803011.1	BEGAIN
XP_015804090.1	UBFD1
XP_015813075.1	PAXIP1
XP_015822764.1	
XP_015832500.1	ETNK1
XP_015811840.1	ETNK1
XP_015819312.1	ETNK1
XP_015813696.1	
XP_015813478.1	IHH
XP_015823372.1	IHH
XP_015807204.1	NUMA1
XP_015813128.1	MGST3
XP_015825860.1	MGST3
XP_015832107.1	SLC46A2
XP_015797797.1	MED13L
XP_015805581.1	MECR
XP_015803078.1	PCDH19
XP_015825649.1	EML5
XP_015810976.1	KLHL34
XP_015806550.1	AADAC
XP_015832180.1	MCOLN1
XP_015809950.1	MCOLN1
XP_015825554.1	CFAP99
XP_015821521.1	CLN5
XP_015825784.1	ADGRG2
XP_015810982.1	ADGRG2
XP_015816258.1	ADGRG2
XP_015829287.1	C6orf62
XP_015809399.1	
XP_015798479.1	RPL37
XP_015809361.1	PHYH
XP_015828178.1	PSMD9
XP_015815454.1	CDK5RAP1
XP_015823254.1	FANCE
XP_015823495.1	HTR6
XP_015796760.1	
XP_015815011.1	KIF21B
XP_015830006.1	UTP18
XP_015820936.1	NUP205
XP_015803922.1	QTRT1
XP_015822476.1	MIB2
XP_015796394.1	MIB2
XP_015832646.1	MIB2
XP_015810179.1	LYPLA1
XP_015820625.1	IL34
XP_015824034.1	ATP13A2
XP_015806678.1	DPH1
XP_015824784.1	CLEC14A
XP_015796845.1	CFH
XP_015797128.1	CFH
XP_015826624.1	CFH
XP_015830060.1	CFH
XP_015804412.1	PIRT
XP_015814955.1	MYOT
XP_015797053.1	MYOT
XP_015811193.1	YARS
XP_015797299.1	RP11-330H6.5
XP_015806377.1	CLRN1
XP_015816754.1	NDFIP1
XP_015798924.1	NDFIP1
XP_015806328.1	FGF12
XP_015812486.1	FGF12
XP_015828860.1	CD244
XP_015812007.1	IL20RB
XP_015817293.1	GGNBP2
XP_015830657.1	EYA3
XP_015799680.1	PGBD2
XP_015797609.1	PGBD2
XP_015825319.1	
XP_015806971.1	DSCAML1
XP_015816486.1	DSCAML1
XP_015825086.1	
XP_015802777.1	KCNK2
XP_015802742.1	KCNK2
XP_015808231.1	KCNK2
XP_015797230.1	PRKAG2
XP_015812347.1	PRKAG2
XP_015832704.1	PRKAG2
XP_015799150.1	
XP_015811995.1	ALG10
XP_015815824.1	SRP19
XP_015830542.1	DCTPP1
XP_015813229.1	SH2D1A
XP_015820516.1	SH2D1A
XP_015802100.1	FHOD3
XP_015804507.1	FHOD3
XP_015802066.1	FHOD3
XP_015811201.1	FHOD3
XP_015804506.1	FHOD3
XP_015808809.1	FHOD3
XP_015820736.1	DEPDC7
XP_015808288.1	DEPDC7
XP_015815524.1	DEPDC7
XP_015823539.1	ZHX3
XP_015815505.1	ZHX3
XP_015803060.1	AAED1
XP_015828371.1	AAED1
XP_015799151.1	ADAM29
XP_015807935.1	RBM43
XP_015805016.1	ZUFSP
XP_015815203.1	LRRC4
XP_015832346.1	LRRC4
XP_015831133.1	SLC10A4
XP_015806773.1	ARHGAP42
XP_015816187.1	ARHGAP42
XP_015822854.1	MFN2
XP_015821663.1	GRTP1
XP_015808889.1	GRTP1
XP_015816708.1	ESRRG
XP_015803547.1	ESRRG
XP_015806313.1	ESRRG
XP_015808278.1	ESRRG
XP_015796287.1	
XP_015820040.1	SYNM
XP_015821793.1	CCDC89
XP_015806312.1	SHKBP1
XP_015818902.1	TMEM204
XP_015808219.1	GALNS
XP_015805683.1	NCAPD2
XP_015819986.1	CTSH
XP_015822420.1	CASC3
XP_015821150.1	FTH1
XP_015800578.1	FTH1
XP_015805626.1	FTH1
XP_015819789.1	FTH1
XP_015805625.1	FTH1
XP_015818799.1	FTH1
XP_015808855.1	FTH1
XP_015821149.1	FTH1
XP_015832219.1	SLC26A2
XP_015807359.1	SLC26A2
XP_015827930.1	ALDH3B1
XP_015824438.1	ALDH3B1
XP_015825565.1	PIM1
XP_015824121.1	PIM1
XP_015802435.1	PIM1
XP_015832696.1	PIM1
XP_015810017.1	CNNM1
XP_015799823.1	CNNM1
XP_015802349.1	RELL1
XP_015826869.1	AP3D1
XP_015816018.1	PEBP1
XP_015801739.1	NLGN2
XP_015816625.1	NLGN2
XP_015813560.1	SH3TC1
XP_015827572.1	MXD1
XP_015827404.1	MXD1
XP_015802622.1	SOX7
XP_015820868.1	ANAPC13
XP_015824231.1	
XP_015817215.1	FAM64A
XP_015799923.1	LMBRD1
XP_015816919.1	TBX2
XP_015807538.1	TBX2
XP_015817313.1	ZW10
XP_015824840.1	MANBA
XP_015821584.1	IL1RAPL1
XP_015808046.1	IL1RAPL1
XP_015803735.1	SYTL4
XP_015811450.1	
XP_015796835.1	ANXA4
XP_015808959.1	ILDR1
XP_015821680.1	ILDR1
XP_015831127.1	USP46
XP_015805066.1	ATP2C1
XP_015797814.1	OR1C1
XP_015797815.1	OR1C1
XP_015796884.1	OR1C1
XP_015823501.1	OR1C1
XP_015796886.1	OR1C1
XP_015797033.1	ACTR8
XP_015814293.1	BAP1
XP_015800047.1	SF3B5
XP_015811712.1	RAB12
XP_015800114.1	
XP_015825286.1	C19orf53
XP_015818454.1	HPDL
XP_015827006.1	DOK7
XP_015802395.1	DOK7
XP_015798843.1	KIF3A
XP_015805374.1	TLR6
XP_015819738.1	UBAP1L
XP_015799995.1	MRPS6
XP_015806901.1	TP53RK
XP_015825191.1	TNPO2
XP_015801278.1	TNPO2
XP_015811343.1	FAM133B
XP_015812449.1	CACYBP
XP_015797903.1	
XP_015828750.1	HINT2
XP_015810808.1	ARX
XP_015828085.1	IQCD
XP_015797774.1	PHF14
XP_015832087.1	PHF14
XP_015805020.1	CNIH4
XP_015804627.1	GUF1
XP_015815265.1	MUSTN1
XP_015814766.1	MUSTN1
XP_015803161.1	SCG5
XP_015827618.1	ZNF121
XP_015824580.1	DIO2
XP_015831496.1	GLTSCR2
XP_015801960.1	ICA1L
XP_015818279.1	XPOT
