Kf symbol,Kf Id,Kf Id2,Human symbol,Human Ensembl Id,Human Ensembl Protein Id
LOC107372916,XM_015941111.1,XP_015796597.1,ARRB2,ENSG00000141480,ENSP00000403701
unc93b1,XM_015972002.1,XP_015827488.1,UNC93B1,ENSG00000110057,ENSP00000227471
lgr6,XM_015967975.1,XP_015823461.1,LGR6,ENSG00000133067,ENSP00000356247
gdf6,XM_015949385.1,XP_015804871.1,GDF6,ENSG00000156466,ENSP00000287020
LOC107375039,XM_015943379.1,XP_015798865.1,CDIP1,ENSG00000089486,ENSP00000457877
LOC107375214,XM_015943629.1,XP_015799115.1,HIC2,ENSG00000169635,ENSP00000387757
LOC107390694,XM_015967536.1,XP_015823022.1,ESPNL,ENSG00000144488,ENSP00000339115
tbca,XM_015943122.1,XP_015798608.1,TBCA,ENSG00000171530,ENSP00000429793
LOC107380570,XM_015951872.1,XP_015807358.1,CASR,ENSG00000036828,ENSP00000420194
lzic,XM_015967664.1,XP_015823150.1,LZIC,ENSG00000162441,ENSP00000383695
alx3,XM_015967740.1,XP_015823226.1,ALX3,ENSG00000156150,ENSP00000358807
prrg2,XM_015969257.1,XP_015824743.1,PRRG4,ENSG00000135378,ENSP00000257836
fbxo25,XM_015947345.1,XP_015802831.1,FBXO25,ENSG00000147364,ENSP00000372274
LOC107382245,XM_015954307.1,XP_015809793.1,S1PR1,ENSG00000170989,ENSP00000305416
nop2,XM_015950193.1,XP_015805679.1,NOP2,ENSG00000111641,ENSP00000479236
bcl10,XM_015956629.1,XP_015812115.1,BCL10,ENSG00000142867,ENSP00000359612
LOC107373493,XM_015941622.1,XP_015797108.1,ZNF879,ENSG00000234284,ENSP00000414887
LOC107375366,XM_015943838.1,XP_015799324.1,EIF2AK2,ENSG00000055332,ENSP00000378559
LOC107376142,XM_015945091.1,XP_015800577.1,SRRM5,ENSG00000226763,ENSP00000414512
rxfp1,XM_015950931.1,XP_015806417.1,RXFP1,ENSG00000171509,ENSP00000405841
tox3,XM_015952826.1,XP_015808312.1,TOX3,ENSG00000103460,ENSP00000219746
LOC107373731,XM_015941887.1,XP_015797373.1,APAF1,ENSG00000120868,ENSP00000448165
LOC107378580,XM_015948884.1,XP_015804370.1,METTL2A,ENSG00000087995,ENSP00000309610
LOC107391445,XM_015968765.1,XP_015824251.1,SNPH,ENSG00000101298,ENSP00000479696
LOC107381217,XM_015952793.1,XP_015808279.1,COX18,ENSG00000163626,ENSP00000425261
p2rx7,XM_015960268.1,XP_015815754.1,P2RX7,ENSG00000089041,ENSP00000330696
ubb,XM_015961177.1,XP_015816663.1,UBB,ENSG00000170315,ENSP00000478771
LOC107386790,XM_015961412.1,XP_015816898.1,DPYSL3,ENSG00000113657,ENSP00000343690
LOC107392303,XM_015970035.1,XP_015825521.1,HTRA2,ENSG00000115317,ENSP00000258080
LOC107375783,XM_015944543.1,XP_015800029.1,KNDC1,ENSG00000171798,ENSP00000304437
mettl15,XM_015953354.1,XP_015808840.1,METTL15,ENSG00000169519,ENSP00000384369
polr2m,XM_015953005.1,XP_015808491.1,POLR2M,ENSG00000255529,ENSP00000299638
LOC107395903,XM_015975381.1,XP_015830867.1,GFRA1,ENSG00000151892,ENSP00000358237
ddhd2,XM_015972570.1,XP_015828056.1,DDHD2,ENSG00000085788,ENSP00000429932
LOC107390412,XM_015967094.1,XP_015822580.1,MAGI3,ENSG00000081026,ENSP00000304604
LOC107395381,XM_015974754.1,XP_015830240.1,ZAN,ENSG00000146839,ENSP00000478371
LOC107388859,XM_015964620.1,XP_015820106.1,GCSH,ENSG00000140905,ENSP00000319531
LOC107381268,XM_015952859.1,XP_015808345.1,DHDH,ENSG00000104808,ENSP00000221403
LOC107390555,XM_015967353.1,XP_015822839.1,NLRC3,ENSG00000167984,ENSP00000323897
LOC107379067,XM_015949653.1,XP_015805139.1,TUBA1C,ENSG00000167553,ENSP00000443475
LOC107382457,XM_015954582.1,XP_015810068.1,MAL,ENSG00000172005,ENSP00000310880
LOC107375512,XM_015944074.1,XP_015799560.1,CDC42EP3,ENSG00000163171,ENSP00000480549
LOC107383995,XM_015956973.1,XP_015812459.1,SELT,ENSG00000198843,ENSP00000479292
khdrbs3,XM_015974223.1,XP_015829709.1,KHDRBS3,ENSG00000131773,ENSP00000348108
LOC107388319,XM_015963787.1,XP_015819273.1,EIF4G2,ENSG00000110321,ENSP00000340281
btbd6,XM_015969024.1,XP_015824510.1,BTBD6,ENSG00000184887,ENSP00000443091
cckar,XM_015946846.1,XP_015802332.1,CCKAR,ENSG00000163394,ENSP00000295589
LOC107380934,XM_015952358.1,XP_015807844.1,CRYGB,ENSG00000182187,ENSP00000260988
LOC107374646,XM_015942791.1,XP_015798277.1,MYO5B,ENSG00000167306,ENSP00000285039
chid1,XM_015964353.1,XP_015819839.1,CHID1,ENSG00000177830,ENSP00000398722
LOC107379285,XM_015949978.1,XP_015805464.1,FAT1,ENSG00000083857,ENSP00000479573
spata5l1,XM_015953569.1,XP_015809055.1,SPATA5L1,ENSG00000171763,ENSP00000305494
LOC107395432,XM_015974821.1,XP_015830307.1,TMEM132D,ENSG00000151952,ENSP00000408581
LOC107392009,XM_015969576.1,XP_015825062.1,RPS6KA5,ENSG00000100784,ENSP00000261991
LOC107377747,XM_015947570.1,XP_015803056.1,GJA3,ENSG00000121743,ENSP00000241125
acsbg2,XM_015970933.1,XP_015826419.1,ACSBG2,ENSG00000130377,ENSP00000465589
LOC107378261,XM_015948368.1,XP_015803854.1,EMILIN1,ENSG00000138080,ENSP00000369677
ninj1,XM_015958776.1,XP_015814262.1,NINJ1,ENSG00000131669,ENSP00000364595
lmo4,XM_015962340.1,XP_015817826.1,LMO4,ENSG00000143013,ENSP00000359573
LOC107393418,XM_015971748.1,XP_015827234.1,LAMA3,ENSG00000053747,ENSP00000324532
dpf2,XM_015946807.1,XP_015802293.1,DPF2,ENSG00000133884,ENSP00000252268
LOC107389821,XM_015966195.1,XP_015821681.1,ME3,ENSG00000151376,ENSP00000440246
mtap,XM_015943724.1,XP_015799210.1,MTAP,ENSG00000099810,ENSP00000463424
LOC107390702,XM_015967547.1,XP_015823033.1,COL8A1,ENSG00000144810,ENSP00000273342
aes,XM_015971396.1,XP_015826882.1,TLE4,ENSG00000106829,ENSP00000365720
chdh,XM_015967392.1,XP_015822878.1,CHDH,ENSG00000016391,ENSP00000319851
enpp2,XM_015975873.1,XP_015831359.1,ENPP2,ENSG00000136960,ENSP00000259486
taf6l,XM_015958212.1,XP_015813698.1,TAF6L,ENSG00000162227,ENSP00000294168
ercc1,XM_015966690.1,XP_015822176.1,ERCC1,ENSG00000012061,ENSP00000013807
LOC107394755,XM_015973847.1,XP_015829333.1,STC1,ENSG00000159167,ENSP00000290271
wfdc1,XM_015965432.1,XP_015820918.1,WFDC1,ENSG00000103175,ENSP00000456920
LOC107377665,XM_015947431.1,XP_015802917.1,ZP2,ENSG00000103310,ENSP00000460971
LOC107383782,XM_015956576.1,XP_015812062.1,LPIN2,ENSG00000101577,ENSP00000261596
swi5,XM_015940599.1,XP_015796085.1,SWI5,ENSG00000175854,ENSP00000316609
LOC107375898,XM_015944718.1,XP_015800204.1,HOXA10-HOXA9,ENSG00000257184,ENSP00000421799
LOC107389887,XM_015966302.1,XP_015821788.1,NQO2,ENSG00000124588,ENSP00000369795
aig1,XM_015947801.1,XP_015803287.1,AIG1,ENSG00000146416,ENSP00000275235
LOC107383114,XM_015955556.1,XP_015811042.1,PDHA1,ENSG00000131828,ENSP00000369134
LOC107384113,XM_015957185.1,XP_015812671.1,ITGA6,ENSG00000091409,ENSP00000406694
tmem47,XM_015970564.1,XP_015826050.1,TMEM47,ENSG00000147027,ENSP00000275954
LOC107372849,XM_015941054.1,XP_015796540.1,CASR,ENSG00000036828,ENSP00000420194
tmc1,XM_015972438.1,XP_015827924.1,TMC2,ENSG00000149488,ENSP00000351732
LOC107381553,XM_015953283.1,XP_015808769.1,TPM3,ENSG00000143549,ENSP00000357516
dram2,XM_015958487.1,XP_015813973.1,DRAM2,ENSG00000156171,ENSP00000437718
fgf22,XM_015971589.1,XP_015827075.1,FGF10,ENSG00000070193,ENSP00000264664
tbcel,XM_015962028.1,XP_015817514.1,TBCEL,ENSG00000154114,ENSP00000403925
sub1,XM_015942712.1,XP_015798198.1,SUB1,ENSG00000113387,ENSP00000427100
syt14,XM_015970460.1,XP_015825946.1,SYT14,ENSG00000143469,ENSP00000486230
phtf1,XM_015958551.1,XP_015814037.1,PHTF1,ENSG00000116793,ENSP00000377025
tmem158,XM_015975929.1,XP_015831415.1,TMEM158,ENSG00000249992,ENSP00000422431
LOC107373593,XM_015941722.1,XP_015797208.1,PGBD4,ENSG00000182405,ENSP00000380872
LOC107378501,XM_015948746.1,XP_015804232.1,CLDN4,ENSG00000189143,ENSP00000342445
LOC107372800,XM_015941003.1,XP_015796489.1,TSHZ1,ENSG00000179981,ENSP00000464391
adra1b,XM_015944065.1,XP_015799551.1,ADRA1B,ENSG00000170214,ENSP00000306662
LOC107391390,XM_015968691.1,XP_015824177.1,FAM83F,ENSG00000133477,ENSP00000330432
LOC107379750,XM_015950659.1,XP_015806145.1,THEM4,ENSG00000159445,ENSP00000357804
otol1,XM_015951863.1,XP_015807349.1,OTOL1,ENSG00000182447,ENSP00000330808
atxn7l1,XM_015958050.1,XP_015813536.1,ATXN7L1,ENSG00000146776,ENSP00000410759
LOC107388573,XM_015964129.1,XP_015819615.1,SFRP2,ENSG00000145423,ENSP00000274063
mpdu1,XM_015957777.1,XP_015813263.1,MPDU1,ENSG00000129255,ENSP00000483943
minos1,XM_015959879.1,XP_015815365.1,MINOS1,ENSG00000173436,ENSP00000325562
LOC107391497,XM_015968821.1,XP_015824307.1,DNASE1L3,ENSG00000163687,ENSP00000378053
LOC107394137,XM_015972915.1,XP_015828401.1,PLPP1,ENSG00000067113,ENSP00000264775
LOC107393103,XM_015971279.1,XP_015826765.1,ILF3,ENSG00000129351,ENSP00000404121
LOC107389855,XM_015966262.1,XP_015821748.1,FAM155A,ENSG00000204442,ENSP00000365080
map3k15,XM_015955484.1,XP_015810970.1,MAP3K15,ENSG00000180815,ENSP00000345629
csgr09h14orf119,XM_015957377.1,XP_015812863.1,C14orf119,ENSG00000179933,ENSP00000450861
LOC107387910,XM_015963169.1,XP_015818655.1,ZNF281,ENSG00000162702,ENSP00000356322
LOC107375653,XM_015944298.1,XP_015799784.1,STMN2,ENSG00000104435,ENSP00000429243
scube1,XM_015953650.1,XP_015809136.1,SCUBE1,ENSG00000159307,ENSP00000354080
csgalnact2,XM_015943845.1,XP_015799331.1,CSGALNACT2,ENSG00000169826,ENSP00000363590
pou3f1,XM_015950059.1,XP_015805545.1,POU3F4,ENSG00000196767,ENSP00000362296
znf622,XM_015956460.1,XP_015811946.1,ZNF622,ENSG00000173545,ENSP00000310042
LOC107384079,XM_015957116.1,XP_015812602.1,FNDC7,ENSG00000143107,ENSP00000359034
LOC107396868,XM_015976746.1,XP_015832232.1,PRPS1,ENSG00000147224,ENSP00000361512
zfp64,XM_015967156.1,XP_015822642.1,ZFP64,ENSG00000020256,ENSP00000216923
rax,XM_015942900.1,XP_015798386.1,RAX,ENSG00000134438,ENSP00000334813
chrm4,XM_015964121.1,XP_015819607.1,CHRM4,ENSG00000180720,ENSP00000409378
rap2b,XM_015951077.1,XP_015806563.1,RAP2B,ENSG00000181467,ENSP00000319096
LOC107397390,XM_015977382.1,XP_015832868.1,MED26,ENSG00000105085,ENSP00000263390
gdpd2,XM_015948898.1,XP_015804384.1,GDPD5,ENSG00000158555,ENSP00000337972
LOC107373394,XM_015941537.1,XP_015797023.1,SCD,ENSG00000099194,ENSP00000359380
LOC107388525,XM_015964097.1,XP_015819583.1,ERC1,ENSG00000082805,ENSP00000442739
LOC107385134,XM_015958809.1,XP_015814295.1,HYAL2,ENSG00000068001,ENSP00000406657
LOC107377348,XM_015946876.1,XP_015802362.1,IRS1,ENSG00000169047,ENSP00000304895
slc26a1,XM_015951873.1,XP_015807359.1,SLC26A2,ENSG00000155850,ENSP00000286298
LOC107378771,XM_015949166.1,XP_015804652.1,GRINA,ENSG00000178719,ENSP00000314380
rnps1,XM_015945566.1,XP_015801052.1,RNPS1,ENSG00000205937,ENSP00000301730
ssfa2,XM_015965952.1,XP_015821438.1,SSFA2,ENSG00000138434,ENSP00000388731
LOC107389233,XM_015965268.1,XP_015820754.1,CYB5R2,ENSG00000166394,ENSP00000437041
LOC107378314,XM_015948451.1,XP_015803937.1,PTGFR,ENSG00000122420,ENSP00000359793
LOC107382286,XM_015954381.1,XP_015809867.1,PELI1,ENSG00000197329,ENSP00000351789
LOC107387059,XM_015961819.1,XP_015817305.1,TRPV1,ENSG00000196689,ENSP00000409627
ubl7,XM_015954108.1,XP_015809594.1,UBL7,ENSG00000138629,ENSP00000454828
tbl1xr1,XM_015962270.1,XP_015817756.1,TBL1XR1,ENSG00000177565,ENSP00000413251
rps10,XM_015958589.1,XP_015814075.1,RPS10,ENSG00000124614,ENSP00000363169
crispld2,XM_015952974.1,XP_015808460.1,CRISPLD2,ENSG00000103196,ENSP00000262424
nr2f6,XM_015970915.1,XP_015826401.1,NR2F6,ENSG00000160113,ENSP00000291442
LOC107376256,XM_015945267.1,XP_015800753.1,MYH10,ENSG00000133026,ENSP00000353590
LOC107396386,XM_015976086.1,XP_015831572.1,VCAN,ENSG00000038427,ENSP00000265077
eif3m,XM_015954054.1,XP_015809540.1,EIF3M,ENSG00000149100,ENSP00000436049
ube2d2,XM_015952317.1,XP_015807803.1,UBE2D2,ENSG00000131508,ENSP00000253815
LOC107379095,XM_015949690.1,XP_015805176.1,PLA2R1,ENSG00000153246,ENSP00000283243
ybx2,XM_015946927.1,XP_015802413.1,YBX2,ENSG00000006047,ENSP00000007699
aste1,XM_015955904.1,XP_015811390.1,ASTE1,ENSG00000034533,ENSP00000426421
aff3,XM_015966131.1,XP_015821617.1,AFF3,ENSG00000144218,ENSP00000386834
ranbp9,XM_015955997.1,XP_015811483.1,RANBP9,ENSG00000010017,ENSP00000011619
LOC107379062,XM_015949647.1,XP_015805133.1,RGMA,ENSG00000182175,ENSP00000452126
apoo,XM_015955567.1,XP_015811053.1,APOO,ENSG00000184831,ENSP00000368528
pptc7,XM_015971883.1,XP_015827369.1,PPTC7,ENSG00000196850,ENSP00000346255
LOC107378151,XM_015948212.1,XP_015803698.1,CCDC85C,ENSG00000205476,ENSP00000369592
LOC107385497,XM_015959410.1,XP_015814896.1,MSI1,ENSG00000135097,ENSP00000257552
thumpd2,XM_015944704.1,XP_015800190.1,THUMPD2,ENSG00000138050,ENSP00000423933
nedd9,XM_015974182.1,XP_015829668.1,NEDD9,ENSG00000111859,ENSP00000422871
rpain,XM_015945196.1,XP_015800682.1,RPAIN,ENSG00000129197,ENSP00000385814
LOC107381304,XM_015952908.1,XP_015808394.1,MAFB,ENSG00000204103,ENSP00000362410
LOC107381545,XM_015953274.1,XP_015808760.1,ALPK3,ENSG00000136383,ENSP00000258888
LOC107373614,XM_015941782.1,XP_015797268.1,NSUN7,ENSG00000179299,ENSP00000371201
LOC107385678,XM_015959737.1,XP_015815223.1,STAT3,ENSG00000168610,ENSP00000467985
kctd6,XM_015968127.1,XP_015823613.1,KCTD6,ENSG00000168301,ENSP00000347188
LOC107391994,XM_015969540.1,XP_015825026.1,SLC5A6,ENSG00000138074,ENSP00000384853
daam1,XM_015947275.1,XP_015802761.1,DAAM1,ENSG00000100592,ENSP00000378557
LOC107385840,XM_015959979.1,XP_015815465.1,BIN2,ENSG00000110934,ENSP00000483983
sarnp,XM_015967022.1,XP_015822508.1,SARNP,ENSG00000205323,ENSP00000447690
LOC107395200,XM_015974521.1,XP_015830007.1,WIPF2,ENSG00000171475,ENSP00000462350
LOC107395666,XM_015975089.1,XP_015830575.1,BAALC,ENSG00000164929,ENSP00000297574
erp27,XM_015954250.1,XP_015809736.1,ERP27,ENSG00000139055,ENSP00000266397
LOC107390300,XM_015966928.1,XP_015822414.1,CSF3,ENSG00000108342,ENSP00000225474
LOC107390064,XM_015966566.1,XP_015822052.1,FRMPD1,ENSG00000070601,ENSP00000444411
camta1,XM_015959494.1,XP_015814980.1,CAMTA1,ENSG00000171735,ENSP00000306522
LOC107378571,XM_015948868.1,XP_015804354.1,DTX2,ENSG00000091073,ENSP00000411986
LOC107388850,XM_015964610.1,XP_015820096.1,DNAJA2,ENSG00000069345,ENSP00000314030
LOC107387917,XM_015963182.1,XP_015818668.1,ATXN7L3,ENSG00000087152,ENSP00000397259
tbc1d7,XM_015971198.1,XP_015826684.1,TBC1D7,ENSG00000145979,ENSP00000368602
sgcb,XM_015975639.1,XP_015831125.1,SGCB,ENSG00000163069,ENSP00000370839
cd34,XM_015958562.1,XP_015814048.1,CD34,ENSG00000174059,ENSP00000310036
lrrc4c,XM_015964818.1,XP_015820304.1,LRRC4C,ENSG00000148948,ENSP00000480903
LOC107389477,XM_015965615.1,XP_015821101.1,TNNT3,ENSG00000130595,ENSP00000380468
nup214,XM_015942816.1,XP_015798302.1,NUP214,ENSG00000126883,ENSP00000352400
ddx23,XM_015968383.1,XP_015823869.1,DDX23,ENSG00000174243,ENSP00000310723
LOC107378144,XM_015948200.1,XP_015803686.1,HUNK,ENSG00000142149,ENSP00000270112
pik3c2g,XM_015964192.1,XP_015819678.1,PIK3C2G,ENSG00000139144,ENSP00000445381
slc12a9,XM_015960925.1,XP_015816411.1,SLC12A9,ENSG00000146828,ENSP00000275730
psmc5,XM_015963178.1,XP_015818664.1,PSMC5,ENSG00000087191,ENSP00000310572
fndc4,XM_015947143.1,XP_015802629.1,FNDC4,ENSG00000115226,ENSP00000264703
phldb3,XM_015950004.1,XP_015805490.1,PHLDB3,ENSG00000176531,ENSP00000292140
LOC107384566,XM_015957893.1,XP_015813379.1,RALB,ENSG00000144118,ENSP00000414224
LOC107389838,XM_015966226.1,XP_015821712.1,APP,ENSG00000142192,ENSP00000284981
LOC107373515,XM_015941644.1,XP_015797130.1,DNMT3B,ENSG00000088305,ENSP00000328547
LOC107379796,XM_015950713.1,XP_015806199.1,IRF2BP2,ENSG00000168264,ENSP00000355568
hs6st1,XM_015969702.1,XP_015825188.1,HS6ST1,ENSG00000136720,ENSP00000259241
LOC107381343,XM_015952954.1,XP_015808440.1,DKK3,ENSG00000050165,ENSP00000433112
LOC107380944,XM_015952368.1,XP_015807854.1,SPAG17,ENSG00000155761,ENSP00000337804
tmod3,XM_015953911.1,XP_015809397.1,TMOD3,ENSG00000138594,ENSP00000438909
LOC107390830,XM_015967777.1,XP_015823263.1,PFKM,ENSG00000152556,ENSP00000345771
LOC107395693,XM_015975126.1,XP_015830612.1,ACHE,ENSG00000087085,ENSP00000303211
LOC107386164,XM_015960386.1,XP_015815872.1,KAZALD1,ENSG00000107821,ENSP00000359219
thbs4,XM_015972543.1,XP_015828029.1,THBS4,ENSG00000113296,ENSP00000339730
skiv2l,XM_015973464.1,XP_015828950.1,SKIV2L,ENSG00000204351,ENSP00000364543
scrt1,XM_015950658.1,XP_015806144.1,SCRT2,ENSG00000215397,ENSP00000246104
vps33b,XM_015953959.1,XP_015809445.1,VPS33B,ENSG00000184056,ENSP00000327650
dus4l,XM_015951651.1,XP_015807137.1,DUS4L,ENSG00000105865,ENSP00000265720
hspb6,XM_015940687.1,XP_015796173.1,HSPB6,ENSG00000004776,ENSP00000004982
glt8d2,XM_015956100.1,XP_015811586.1,GLT8D2,ENSG00000120820,ENSP00000447450
klc4,XM_015943920.1,XP_015799406.1,KLC1,ENSG00000126214,ENSP00000334523
LOC107394231,XM_015973090.1,XP_015828576.1,SELM,ENSG00000198832,ENSP00000383155
LOC107384138,XM_015957219.1,XP_015812705.1,CDC34,ENSG00000099804,ENSP00000215574
vps51,XM_015961206.1,XP_015816692.1,VPS51,ENSG00000149823,ENSP00000279281
nudt7,XM_015964713.1,XP_015820199.1,NUDT7,ENSG00000140876,ENSP00000268533
gnpda2,XM_015969108.1,XP_015824594.1,GNPDA2,ENSG00000163281,ENSP00000295448
ndufa11,XM_015962228.1,XP_015817714.1,NDUFA11,ENSG00000174886,ENSP00000389160
ambra1,XM_015965080.1,XP_015820566.1,AMBRA1,ENSG00000110497,ENSP00000415327
LOC107387743,XM_015962902.1,XP_015818388.1,NLRC3,ENSG00000167984,ENSP00000323897
dkk3,XM_015965227.1,XP_015820713.1,DKK3,ENSG00000050165,ENSP00000433112
mapk4,XM_015972817.1,XP_015828303.1,MAPK4,ENSG00000141639,ENSP00000383234
LOC107374949,XM_015943245.1,XP_015798731.1,FNBP1,ENSG00000187239,ENSP00000413625
mfsd13a,XM_015962761.1,XP_015818247.1,MFSD13A,ENSG00000138111,ENSP00000238936
znhit2,XM_015944618.1,XP_015800104.1,ZNHIT2,ENSG00000174276,ENSP00000308548
LOC107383143,XM_015955615.1,XP_015811101.1,TUBB6,ENSG00000176014,ENSP00000318697
LOC107374429,XM_015942578.1,XP_015798064.1,C6,ENSG00000039537,ENSP00000263413
LOC107376852,XM_015946169.1,XP_015801655.1,REG1A,ENSG00000115386,ENSP00000233735
LOC107377273,XM_015946787.1,XP_015802273.1,SLC7A8,ENSG00000092068,ENSP00000320378
LOC107393652,XM_015972178.1,XP_015827664.1,SLC20A1,ENSG00000144136,ENSP00000272542
LOC107375508,XM_015944068.1,XP_015799554.1,RIN2,ENSG00000132669,ENSP00000255006
cwc25,XM_015976177.1,XP_015831663.1,CWC25,ENSG00000273559,ENSP00000478070
LOC107396339,XM_015976008.1,XP_015831494.1,AVPR1A,ENSG00000166148,ENSP00000299178
LOC107396138,XM_015975690.1,XP_015831176.1,TLX3,ENSG00000164438,ENSP00000296921
LOC107386702,XM_015961263.1,XP_015816749.1,HSPA4,ENSG00000170606,ENSP00000302961
LOC107374623,XM_015942777.1,XP_015798263.1,AK6,ENSG00000085231,ENSP00000370201
slc24a3,XM_015973315.1,XP_015828801.1,SLC24A3,ENSG00000185052,ENSP00000482967
LOC107373151,XM_015941321.1,XP_015796807.1,OR13C2,ENSG00000276119,ENSP00000438815
LOC107396696,XM_015976547.1,XP_015832033.1,SLAIN2,ENSG00000109171,ENSP00000264313
LOC107375315,XM_015943778.1,XP_015799264.1,CLK4,ENSG00000113240,ENSP00000316948
rasal1,XM_015972184.1,XP_015827670.1,RASAL1,ENSG00000111344,ENSP00000450244
lix1,XM_015972554.1,XP_015828040.1,LIX1,ENSG00000145721,ENSP00000274382
LOC107386419,XM_015960794.1,XP_015816280.1,ZDHHC23,ENSG00000184307,ENSP00000420251
LOC107392616,XM_015970512.1,XP_015825998.1,CLCC1,ENSG00000121940,ENSP00000349456
LOC107385887,XM_015960049.1,XP_015815535.1,GALR2,ENSG00000182687,ENSP00000329684
LOC107383635,XM_015956399.1,XP_015811885.1,OR11A1,ENSG00000204694,ENSP00000366352
LOC107384596,XM_015957939.1,XP_015813425.1,F10,ENSG00000126218,ENSP00000364709
LOC107373822,XM_015941967.1,XP_015797453.1,STXBP1,ENSG00000136854,ENSP00000362399
LOC107373234,XM_015941398.1,XP_015796884.1,OR1C1,ENSG00000221888,ENSP00000386138
LOC107372345,XM_015940552.1,XP_015796038.1,A3GALT2,ENSG00000184389,ENSP00000475261
slc9a3,XM_015974051.1,XP_015829537.1,SLC9A3,ENSG00000066230,ENSP00000264938
LOC107375629,XM_015944254.1,XP_015799740.1,ERCC6,ENSG00000225830,ENSP00000348089
csgr18h9orf78,XM_015972323.1,XP_015827809.1,C9orf78,ENSG00000136819,ENSP00000361524
LOC107387929,XM_015963199.1,XP_015818685.1,NDUFA4,ENSG00000189043,ENSP00000339720
LOC107375127,XM_015943498.1,XP_015798984.1,GLUL,ENSG00000135821,ENSP00000398320
tank,XM_015966581.1,XP_015822067.1,TANK,ENSG00000136560,ENSP00000376505
LOC107396800,XM_015976644.1,XP_015832130.1,B4GALT1,ENSG00000086062,ENSP00000369055
rpl32,XM_015968118.1,XP_015823604.1,RPL32,ENSG00000144713,ENSP00000339064
tmprss15,XM_015962000.1,XP_015817486.1,TMPRSS15,ENSG00000154646,ENSP00000284885
elavl4,XM_015971346.1,XP_015826832.1,ELAVL4,ENSG00000162374,ENSP00000349594
LOC107378160,XM_015948230.1,XP_015803716.1,MID1IP1,ENSG00000165175,ENSP00000483547
stxbp4,XM_015962097.1,XP_015817583.1,STXBP4,ENSG00000166263,ENSP00000365530
LOC107373601,XM_015941729.1,XP_015797215.1,ZNF235,ENSG00000159917,ENSP00000291182
ikzf5,XM_015962991.1,XP_015818477.1,IKZF5,ENSG00000095574,ENSP00000478056
LOC107383831,XM_015956649.1,XP_015812135.1,MMP16,ENSG00000156103,ENSP00000286614
ssr4,XM_015967822.1,XP_015823308.1,SSR4,ENSG00000180879,ENSP00000359103
arl6ip1,XM_015976084.1,XP_015831570.1,ARL6IP1,ENSG00000170540,ENSP00000306788
fpgs,XM_015974399.1,XP_015829885.1,FPGS,ENSG00000136877,ENSP00000362344
crybb1,XM_015973685.1,XP_015829171.1,CRYBB1,ENSG00000100122,ENSP00000215939
fech,XM_015943439.1,XP_015798925.1,FECH,ENSG00000066926,ENSP00000372326
sbf2,XM_015953073.1,XP_015808559.1,SBF2,ENSG00000133812,ENSP00000256190
atp1b1,XM_015962384.1,XP_015817870.1,ATP1B1,ENSG00000143153,ENSP00000356789
LOC107387475,XM_015962462.1,XP_015817948.1,KLHL10,ENSG00000161594,ENSP00000293303
LOC107394582,XM_015973578.1,XP_015829064.1,ZNF853,ENSG00000236609,ENSP00000455585
LOC107389460,XM_015965589.1,XP_015821075.1,OSBPL2,ENSG00000130703,ENSP00000316649
btg1,XM_015959909.1,XP_015815395.1,BTG1,ENSG00000133639,ENSP00000256015
LOC107378643,XM_015948957.1,XP_015804443.1,PRSS1,ENSG00000204983,ENSP00000417854
gatad2a,XM_015971614.1,XP_015827100.1,GATAD2A,ENSG00000167491,ENSP00000384899
dip2a,XM_015966685.1,XP_015822171.1,DIP2A,ENSG00000160305,ENSP00000392066
wrn,XM_015940635.1,XP_015796121.1,RECQL5,ENSG00000108469,ENSP00000317636
phf12,XM_015941657.1,XP_015797143.1,PHF12,ENSG00000109118,ENSP00000329933
LOC107395994,XM_015975488.1,XP_015830974.1,GABRR2,ENSG00000111886,ENSP00000386029
LOC107395246,XM_015974573.1,XP_015830059.1,B3GALT2,ENSG00000162630,ENSP00000356404
ca5a,XM_015965194.1,XP_015820680.1,CA5B,ENSG00000169239,ENSP00000417021
LOC107372506,XM_015940734.1,XP_015796220.1,COLEC10,ENSG00000184374,ENSP00000332723
tmem170b,XM_015974180.1,XP_015829666.1,TMEM170B,ENSG00000205269,ENSP00000368737
LOC107381240,XM_015952823.1,XP_015808309.1,NKD1,ENSG00000140807,ENSP00000268459
midn,XM_015971608.1,XP_015827094.1,MIDN,ENSG00000167470,ENSP00000300952
shmt1,XM_015945387.1,XP_015800873.1,SHMT1,ENSG00000176974,ENSP00000318868
LOC107386971,XM_015961683.1,XP_015817169.1,TPTE2,ENSG00000132958,ENSP00000383089
rab37,XM_015945947.1,XP_015801433.1,RAB37,ENSG00000172794,ENSP00000376390
slc7a9,XM_015952883.1,XP_015808369.1,SLC7A9,ENSG00000021488,ENSP00000468439
eci1,XM_015945166.1,XP_015800652.1,ECI1,ENSG00000167969,ENSP00000301729
prkd2,XM_015951482.1,XP_015806968.1,PRKD2,ENSG00000105287,ENSP00000470804
LOC107387119,XM_015961892.1,XP_015817378.1,KCNJ1,ENSG00000151704,ENSP00000376432
LOC107374679,XM_015942836.1,XP_015798322.1,SNCA,ENSG00000145335,ENSP00000422238
cdh2,XM_015956829.1,XP_015812315.1,CDH2,ENSG00000170558,ENSP00000269141
LOC107392235,XM_015969913.1,XP_015825399.1,HTR1D,ENSG00000179546,ENSP00000363748
