From	To
P09001	ENSP00000264995
P09012	ENSP00000243563
P09016	ENSP00000302548
P09017	ENSP00000305973
P09017	ENSP00000399808
P09038	ENSP00000477134
P09038	ENSP00000478620
P09038	ENSP00000494222
P09067	ENSP00000239151
P09086	ENSP00000373992
P09086	ENSP00000431603
P09086	ENSP00000437224
P09086	ENSP00000436988
P09104	ENSP00000229277
P09104	ENSP00000437402
P09104	ENSP00000441490
P09104	ENSP00000438873
P09105	ENSP00000199708
P09110	ENSP00000301810
P09110	ENSP00000333664
P09131	ENSP00000263512
P09131	ENSP00000358663
P09131	ENSP00000377212
P09132	ENSP00000282999
P09132	ENSP00000424870
P09132	ENSP00000425562
P09172	ENSP00000376776
P09210	ENSP00000420168
P09211	ENSP00000381607
P09211	ENSP00000493538
P09228	ENSP00000307540
P09234	ENSP00000244520
P09237	ENSP00000260227
P09238	ENSP00000279441
P09326	ENSP00000357024
P09326	ENSP00000357025
P09327	ENSP00000248444
P09327	ENSP00000409270
P09341	ENSP00000379110
P09382	ENSP00000215909
P09417	ENSP00000281243
P09417	ENSP00000390944
P09429	ENSP00000343040
P09429	ENSP00000345347
P09429	ENSP00000382417
P09429	ENSP00000384678
P09430	ENSP00000236979
P09455	ENSP00000429166
P09455	ENSP00000477621
P09455	ENSP00000482165
P09466	ENSP00000277508
P09466	ENSP00000360831
P09466	ENSP00000417898
P09467	ENSP00000364475
P09467	ENSP00000408025
P09471	ENSP00000262493
P09471	ENSP00000262494
P09471	ENSP00000491223
P09486	ENSP00000231061
P09488	ENSP00000311469
P09488	ENSP00000234981
P09493	ENSP00000267996
P09493	ENSP00000288398
P09493	ENSP00000334624
P09493	ENSP00000351022
P09493	ENSP00000385107
P09493	ENSP00000452879
P09493	ENSP00000453941
P09493	ENSP00000453955
P09496	ENSP00000242285
P09496	ENSP00000242284
P09496	ENSP00000379848
P09496	ENSP00000401019
P09496	ENSP00000419746
P09496	ENSP00000442869
P09496	ENSP00000437508
P09497	ENSP00000309415
P09497	ENSP00000310812
P09525	ENSP00000377833
P09525	ENSP00000441931
P09529	ENSP00000295228
P09543	ENSP00000377466
P09543	ENSP00000377470
P09544	ENSP00000265441
P09564	ENSP00000312027
P09601	ENSP00000216117
P09603	ENSP00000327513
P09603	ENSP00000358816
P09603	ENSP00000358817
P09603	ENSP00000407317
P09619	ENSP00000261799
P09622	ENSP00000205402
P09622	ENSP00000390667
P09622	ENSP00000387542
P09629	ENSP00000239165
P09630	ENSP00000243108
P09630	ENSP00000377864
P09651	ENSP00000341826
P09651	ENSP00000448617
P09651	ENSP00000447260
P09651	ENSP00000449913
P09661	ENSP00000254193
P09668	ENSP00000220166
P09669	ENSP00000297564
P09669	ENSP00000429714
P09669	ENSP00000429755
P09669	ENSP00000428150
P09669	ENSP00000428895
P09669	ENSP00000429991
P09669	ENSP00000428702
P09669	ENSP00000428965
P09669	ENSP00000429707
P09669	ENSP00000429410
P09681	ENSP00000350005
P09683	ENSP00000176195
P09683	ENSP00000483559
P09693	ENSP00000431445
P09758	ENSP00000360269
P09769	ENSP00000363115
P09769	ENSP00000363116
P09769	ENSP00000363117
P09769	ENSP00000382126
P09848	ENSP00000264162
P09871	ENSP00000328173
P09871	ENSP00000354057
P09871	ENSP00000385035
P09874	ENSP00000355759
P09884	ENSP00000368349
P09912	ENSP00000342513
P09912	ENSP00000354736
P09912	ENSP00000355152
P09913	ENSP00000360891
P09913	ENSP00000490935
P09914	ENSP00000360869
P09914	ENSP00000441968
P09917	ENSP00000363512
P09917	ENSP00000437634
P09917	ENSP00000484468
P09917	ENSP00000479958
P09919	ENSP00000225474
P09919	ENSP00000377704
P09919	ENSP00000377705
P09923	ENSP00000295463
P09936	ENSP00000284440
P09936	ENSP00000422542
P09958	ENSP00000268171
P09958	ENSP00000484952
P09958	ENSP00000483552
P09960	ENSP00000228740
P09960	ENSP00000395051
P09960	ENSP00000449958
P09972	ENSP00000226253
P09972	ENSP00000378731
P0C024	ENSP00000268533
P0C024	ENSP00000387707
P0C024	ENSP00000457566
P0C025	ENSP00000334437
P0C091	ENSP00000332886
P0C0E4	ENSP00000218249
P0C0L4	ENSP00000372815
P0C0L4	ENSP00000388662
P0C0L4	ENSP00000396688
P0C0L4	ENSP00000420212
P0C0L5	ENSP00000364321
P0C0L5	ENSP00000407942
P0C0L5	ENSP00000415941
P0C0L5	ENSP00000412786
P0C0L5	ENSP00000414200
P0C0P6	ENSP00000381105
P0C0S5	ENSP00000296417
P0C0S8	ENSP00000351589
P0C0S8	ENSP00000352119
P0C0S8	ENSP00000352627
P0C0S8	ENSP00000482538
P0C0S8	ENSP00000482431
P0C1H6	ENSP00000347119
P0C1H6	ENSP00000482611
P0C1S8	ENSP00000380675
P0C1S8	ENSP00000459392
P0C1Z6	ENSP00000375638
P0C1Z6	ENSP00000375639
P0C1Z6	ENSP00000484338
P0C1Z6	ENSP00000480169
P0C263	ENSP00000345044
P0C263	ENSP00000389015
P0C264	ENSP00000483467
P0C2L3	ENSP00000349336
P0C2L3	ENSP00000419867
P0C2S0	ENSP00000406145
P0C2S0	ENSP00000495988
P0C2S0	ENSP00000495979
P0C2S0	ENSP00000493942
P0C2W1	ENSP00000310332
P0C5J1	ENSP00000262365
P0C5Y4	ENSP00000366976
P0C5Y4	ENSP00000458243
P0C5Y9	ENSP00000484261
P0C5Z0	ENSP00000346509
P0C5Z0	ENSP00000482564
P0C623	ENSP00000484287
P0C645	ENSP00000493111
P0C6A0	ENSP00000384434
P0C6S8	ENSP00000467753
P0C6T2	ENSP00000455716
P0C6T2	ENSP00000454411
P0C6T2	ENSP00000457935
P0C7H8	ENSP00000375237
P0C7H8	ENSP00000459261
P0C7H9	ENSP00000485337
P0C7I0	ENSP00000485306
P0C7L1	ENSP00000407497
P0C7M3	ENSP00000428331
P0C7M4	ENSP00000360455
P0C7M7	ENSP00000382349
P0C7M8	ENSP00000390661
P0C7N4	ENSP00000481358
P0C7N5	ENSP00000487204
P0C7P0	ENSP00000483781
P0C7P0	ENSP00000484950
P0C7P3	ENSP00000391101
P0C7Q2	ENSP00000436682
P0C7T2	ENSP00000486110
P0C7T2	ENSP00000486319
P0C7T3	ENSP00000481594
P0C7T5	ENSP00000415822
P0C7T8	ENSP00000453962
P0C7T8	ENSP00000451229
P0C7U0	ENSP00000456548
P0C7U0	ENSP00000457193
P0C7U3	ENSP00000445280
P0C7W6	ENSP00000329860
P0C7X1	ENSP00000482630
P0C7X1	ENSP00000481632
P0C7X2	ENSP00000223459
P0C7X2	ENSP00000455227
P0C851	ENSP00000462046
P0C862	ENSP00000333737
P0C862	ENSP00000371503
P0C869	ENSP00000396045
P0C869	ENSP00000416610
P0C870	ENSP00000380467
P0C874	ENSP00000488117
P0C8F1	ENSP00000411439
P0CAP1	ENSP00000267853
P0CAP1	ENSP00000369939
P0CAP2	ENSP00000299638
P0CAP2	ENSP00000369930
P0CAP2	ENSP00000432615
P0CB33	ENSP00000485547
P0CB47	ENSP00000485108
P0CE71	ENSP00000257627
P0CE72	ENSP00000242104
P0CE72	ENSP00000401365
P0CG08	ENSP00000358233
P0CG12	ENSP00000305687
P0CG23	ENSP00000455585
P0CG29	ENSP00000215780
P0CG29	ENSP00000477540
P0CG30	ENSP00000290765
P0CG30	ENSP00000478389
P0CG31	ENSP00000461413
P0CG32	ENSP00000473824
P0CG32	ENSP00000482195
P0CG34	ENSP00000289373
P0CG35	ENSP00000456121
P0CG35	ENSP00000455771
P0CG35	ENSP00000455371
P0CG35	ENSP00000457057
P0CG36	ENSP00000281882
P0CG37	ENSP00000259216
P0CG38	ENSP00000392718
P0CG39	ENSP00000387176
P0CG40	ENSP00000378418
P0CG41	ENSP00000417289
P0CG41	ENSP00000494035
P0CG47	ENSP00000304697
P0CG47	ENSP00000379178
P0CG47	ENSP00000379180
P0CG47	ENSP00000478771
P0CG48	ENSP00000344818
P0CG48	ENSP00000441543
P0CH99	ENSP00000445477
P0CH99	ENSP00000382957
P0CI00	ENSP00000382987
P0CI25	ENSP00000327604
P0CI26	ENSP00000388299
P0CJ68	ENSP00000439228
P0CJ70	ENSP00000443339
P0CJ71	ENSP00000382856
P0CJ72	ENSP00000437910
P0CJ73	ENSP00000473686
P0CJ73	ENSP00000488809
P0CJ74	ENSP00000439985
P0CJ75	ENSP00000439666
P0CJ77	ENSP00000442159
P0CJ78	ENSP00000457715
P0CJ79	ENSP00000491567
P0CK96	ENSP00000484635
P0CK96	ENSP00000481694
P0CK97	ENSP00000347614
P0CK97	ENSP00000495949
P0CV98	ENSP00000398163
P0CV99	ENSP00000399668
P0CW00	ENSP00000287721
P0CW01	ENSP00000406407
P0CW18	ENSP00000479745
P0CW19	ENSP00000405165
P0CW19	ENSP00000488227
P0CW20	ENSP00000404432
P0CW23	ENSP00000399075
P0CW24	ENSP00000391488
P0DH78	ENSP00000406665
P0DI80	ENSP00000450581
P0DI80	ENSP00000463361
P0DI81	ENSP00000352708
P0DI81	ENSP00000369953
P0DI81	ENSP00000392495
P0DI82	ENSP00000442778
P0DI82	ENSP00000469888
P0DJ93	ENSP00000452219
P0DJ93	ENSP00000451866
P0DJD0	ENSP00000386808
P0DJD0	ENSP00000453170
P0DJD1	ENSP00000381214
P0DJD3	ENSP00000303712
P0DJD3	ENSP00000372154
P0DJD3	ENSP00000388006
P0DJD7	ENSP00000367391
P0DJD8	ENSP00000322192
P0DJD9	ENSP00000309542
P0DJI8	ENSP00000348918
P0DJI8	ENSP00000384906
P0DJI9	ENSP00000256733
P0DJI9	ENSP00000416716
P0DJI9	ENSP00000436126
P0DJI9	ENSP00000437162
P0DJJ0	ENSP00000478290
P0DKB5	ENSP00000474988
P0DKX0	ENSP00000471593
P0DKX4	ENSP00000428858
P0DL12	ENSP00000471126
P0DM63	ENSP00000435325
P0DM63	ENSP00000438887
P0DMC3	ENSP00000484618
P0DMC3	ENSP00000478306
P0DMC3	ENSP00000480045
P0DME0	ENSP00000480946
P0DML2	ENSP00000316416
P0DML3	ENSP00000338816
P0DML3	ENSP00000308396
P0DML3	ENSP00000376623
P0DMM9	ENSP00000343645
P0DMM9	ENSP00000378570
P0DMM9	ENSP00000454518
P0DMN0	ENSP00000353600
P0DMP1	ENSP00000468991
P0DMP2	ENSP00000477776
P0DMQ5	ENSP00000492634
P0DMR2	ENSP00000471646
P0DMR2	ENSP00000479313
P0DMS8	ENSP00000241356
P0DMS9	ENSP00000358730
P0DMS9	ENSP00000358731
P0DMT0	ENSP00000488748
P0DMT0	ENSP00000488299
P0DMT0	ENSP00000488584
P0DMT0	ENSP00000488429
P0DMV8	ENSP00000364802
P0DMV8	ENSP00000382915
P0DMV8	ENSP00000404524
P0DMV8	ENSP00000408907
P0DMV8	ENSP00000406359
P0DMV9	ENSP00000364801
P0DMV9	ENSP00000375391
P0DMV9	ENSP00000375399
P0DMV9	ENSP00000403530
P0DMV9	ENSP00000393087
P0DMW2	ENSP00000488995
P0DN25	ENSP00000489061
P0DN26	ENSP00000485638
P0DN37	ENSP00000393845
P0DN76	ENSP00000485022
P0DN77	ENSP00000358945
P0DN78	ENSP00000469970
P0DN79	ENSP00000381234
P0DN79	ENSP00000481719
P0DN79	ENSP00000479559
P0DN79	ENSP00000485669
P0DN86	ENSP00000301408
P0DN86	ENSP00000349954
P0DN86	ENSP00000403649
P0DN87	ENSP00000366493
P0DN87	ENSP00000469076
P0DN87	ENSP00000470813
P0DOY2	ENSP00000374856
P0DOY3	ENSP00000374857
P0DOY5	ENSP00000418625
P0DOY5	ENSP00000488840
P0DP23	ENSP00000349467
P0DP24	ENSP00000272298
P0DP25	ENSP00000291295
P0DP25	ENSP00000472141
P0DP42	ENSP00000492416
P0DP42	ENSP00000491691
P0DP57	ENSP00000319846
P0DP58	ENSP00000477648
P0DP58	ENSP00000478402
P0DP58	ENSP00000478390
P0DP72	ENSP00000491467
P0DP73	ENSP00000392568
P0DP74	ENSP00000382951
P0DP74	ENSP00000495606
P0DPA2	ENSP00000357080
P0DPB3	ENSP00000404860
P0DPB6	ENSP00000302478
P0DPB6	ENSP00000495898
P0DPD5	ENSP00000494306
P0DPD6	ENSP00000350066
P0DPD6	ENSP00000352052
P0DPD6	ENSP00000385846
P0DPD7	ENSP00000314295
P0DPD8	ENSP00000384223
P0DPE8	ENSP00000490209
P0DPF2	ENSP00000479291
P0DPF3	ENSP00000463665
P0DPF3	ENSP00000481471
P0DPF3	ENSP00000483900
P0DPF3	ENSP00000477979
P0DPH7	ENSP00000382982
P0DPH7	ENSP00000482878
P0DPH8	ENSP00000326042
P0DPI2	ENSP00000291577
P0DPI2	ENSP00000344901
P0DPI3	ENSP00000489328
P0DPI4	ENSP00000488240
P0DPI4	ENSP00000487941
P0DPR3	ENSP00000451042
P10070	ENSP00000354586
P10070	ENSP00000390436
P10071	ENSP00000379258
P10072	ENSP00000315505
P10072	ENSP00000375994
P10073	ENSP00000332433
P10074	ENSP00000366902
P10075	ENSP00000345024
P10075	ENSP00000430987
P10082	ENSP00000353198
P10082	ENSP00000467310
P10092	ENSP00000346017
P10092	ENSP00000433490
P10109	ENSP00000260270
P10114	ENSP00000245304
P10124	ENSP00000242465
P10144	ENSP00000216341
P10145	ENSP00000306512
P10147	ENSP00000480753
P10147	ENSP00000477908
P10147	ENSP00000483712
P10153	ENSP00000303276
P10155	ENSP00000356411
P10155	ENSP00000356413
P10155	ENSP00000356414
P10155	ENSP00000356415
P10155	ENSP00000356416
P10155	ENSP00000383752
P10176	ENSP00000321260
P10242	ENSP00000339992
P10242	ENSP00000356786
P10242	ENSP00000356788
P10242	ENSP00000410825
P10242	ENSP00000435938
P10242	ENSP00000437081
P10242	ENSP00000435578
P10242	ENSP00000434723
P10242	ENSP00000437264
P10242	ENSP00000432811
P10242	ENSP00000436605
P10242	ENSP00000435293
P10242	ENSP00000434639
P10242	ENSP00000435055
P10242	ENSP00000432851
P10243	ENSP00000429633
P10243	ENSP00000428011
P10244	ENSP00000217026
P10244	ENSP00000380072
P10253	ENSP00000305692
P10253	ENSP00000374665
P10275	ENSP00000363822
P10275	ENSP00000379358
P10275	ENSP00000421155
P10276	ENSP00000254066
P10276	ENSP00000377643
P10276	ENSP00000377649
P10276	ENSP00000389993
P10301	ENSP00000246792
P10323	ENSP00000216139
P10323	ENSP00000490828
P10398	ENSP00000366238
P10398	ENSP00000366244
P10412	ENSP00000307705
P10415	ENSP00000329623
P10415	ENSP00000381185
P10415	ENSP00000466417
P10451	ENSP00000237623
P10451	ENSP00000354042
P10451	ENSP00000378517
P10451	ENSP00000477824
P10515	ENSP00000280346
P10523	ENSP00000386444
P10523	ENSP00000486571
P10586	ENSP00000353030
P10586	ENSP00000398822
P10588	ENSP00000291442
P10589	ENSP00000325819
P10589	ENSP00000495420
P10599	ENSP00000363639
P10599	ENSP00000363641
P10600	ENSP00000238682
P10600	ENSP00000451110
P10606	ENSP00000258424
P10619	ENSP00000191018
P10619	ENSP00000361537
P10619	ENSP00000493613
P10620	ENSP00000010404
P10620	ENSP00000379510
P10620	ENSP00000379512
P10620	ENSP00000379513
P10620	ENSP00000438308
P10632	ENSP00000360317
P10632	ENSP00000445062
P10635	ENSP00000351927
P10635	ENSP00000353820
P10635	ENSP00000483677
P10635	ENSP00000496150
P10635	ENSP00000496296
P10636	ENSP00000262410
P10636	ENSP00000334886
P10636	ENSP00000340438
P10636	ENSP00000340820
P10636	ENSP00000303214
P10636	ENSP00000410838
P10636	ENSP00000413056
P10636	ENSP00000389250
P10636	ENSP00000408975
P10636	ENSP00000443028
P10636	ENSP00000458742
P10636	ENSP00000460965
P10636	ENSP00000478602
P10636	ENSP00000483784
P10636	ENSP00000484491
P10636	ENSP00000484321
P10636	ENSP00000481769
P10636	ENSP00000477703
P10636	ENSP00000482244
P10636	ENSP00000479142
P10636	ENSP00000486039
P10636	ENSP00000487570
P10636	ENSP00000488373
P10636	ENSP00000487837
P10636	ENSP00000488245
P10636	ENSP00000487819
P10643	ENSP00000322061
P10644	ENSP00000351410
P10644	ENSP00000376475
P10644	ENSP00000445625
P10644	ENSP00000466459
P10644	ENSP00000468106
P10644	ENSP00000464977
P10645	ENSP00000216492
P10645	ENSP00000478198
P10646	ENSP00000233156
P10646	ENSP00000342306
P10646	ENSP00000376172
P10646	ENSP00000386344
P10696	ENSP00000295453
P10720	ENSP00000226524
P10721	ENSP00000288135
P10721	ENSP00000390987
P10745	ENSP00000463151
P10746	ENSP00000357775
P10746	ENSP00000357787
P10746	ENSP00000497359
P10747	ENSP00000324890
P10747	ENSP00000363605
P10747	ENSP00000393648
P10767	ENSP00000228837
P10768	ENSP00000367992
P10809	ENSP00000340019
P10809	ENSP00000373620
P10826	ENSP00000332296
P10826	ENSP00000398840
P10826	ENSP00000391391
P10827	ENSP00000264637
P10827	ENSP00000377679
P10827	ENSP00000395641
P10827	ENSP00000443972
P10827	ENSP00000463466
P10828	ENSP00000280696
P10828	ENSP00000348827
P10828	ENSP00000379904
P10828	ENSP00000404898
P10828	ENSP00000414444
P10828	ENSP00000494618
P10828	ENSP00000496029
P10828	ENSP00000496616
P10828	ENSP00000493709
P10828	ENSP00000496686
P10828	ENSP00000496509
P10909	ENSP00000315130
P10909	ENSP00000385419
P10909	ENSP00000429620
P10911	ENSP00000342204
P10911	ENSP00000359605
P10911	ENSP00000359608
P10911	ENSP00000397055
P10911	ENSP00000430276
P10911	ENSP00000438155
P10912	ENSP00000230882
P10912	ENSP00000350335
P10912	ENSP00000442206
P10912	ENSP00000478332
P10912	ENSP00000479846
P10912	ENSP00000478291
P10912	ENSP00000482373
P10914	ENSP00000245414
P10914	ENSP00000384406
P10915	ENSP00000274341
P10916	ENSP00000228841
P10966	ENSP00000331172
P10966	ENSP00000340592
P10966	ENSP00000375070
P10966	ENSP00000377356
P10966	ENSP00000377358
P10997	ENSP00000240652
P10997	ENSP00000437357
P11021	ENSP00000324173
P11047	ENSP00000258341
P11049	ENSP00000325708
P11049	ENSP00000413151
P11049	ENSP00000470394
P11055	ENSP00000464317
P11086	ENSP00000269582
P11117	ENSP00000256997
P11137	ENSP00000199940
P11137	ENSP00000353508
P11137	ENSP00000355290
P11137	ENSP00000376032
P11137	ENSP00000392164
P11142	ENSP00000227378
P11142	ENSP00000404372
P11142	ENSP00000437125
P11142	ENSP00000432083
P11150	ENSP00000299022
P11150	ENSP00000348425
P11161	ENSP00000242480
P11161	ENSP00000387634
P11161	ENSP00000402040
P11166	ENSP00000416293
P11168	ENSP00000323568
P11169	ENSP00000075120
P11171	ENSP00000345259
P11171	ENSP00000290100
P11171	ENSP00000362903
P11171	ENSP00000362904
P11171	ENSP00000362906
P11171	ENSP00000495565
P11172	ENSP00000232607
P11177	ENSP00000307241
P11177	ENSP00000373220
P11177	ENSP00000417267
P11182	ENSP00000359151
P11215	ENSP00000287497
P11215	ENSP00000441691
P11215	ENSP00000496959
P11216	ENSP00000216962
P11217	ENSP00000164139
P11217	ENSP00000366650
P11226	ENSP00000363079
P11229	ENSP00000306490
P11229	ENSP00000441188
P11230	ENSP00000304290
P11230	ENSP00000439209
P11230	ENSP00000492221
P11230	ENSP00000491113
P11233	ENSP00000005257
P11234	ENSP00000272519
P11234	ENSP00000414224
P11245	ENSP00000286479
P11274	ENSP00000303507
P11274	ENSP00000352535
P11277	ENSP00000374370
P11277	ENSP00000374371
P11277	ENSP00000374372
P11277	ENSP00000451752
P11277	ENSP00000495909
P11279	ENSP00000333298
P11308	ENSP00000288319
P11308	ENSP00000381871
P11308	ENSP00000381882
P11308	ENSP00000381891
P11308	ENSP00000414150
P11308	ENSP00000394694
P11309	ENSP00000362608
P11310	ENSP00000359878
P11310	ENSP00000409612
P11362	ENSP00000327229
P11362	ENSP00000337247
P11362	ENSP00000348537
P11362	ENSP00000380280
P11362	ENSP00000380297
P11362	ENSP00000380302
P11362	ENSP00000393312
P11362	ENSP00000400162
P11362	ENSP00000433163
P11362	ENSP00000432972
P11387	ENSP00000354522
P11388	ENSP00000411532
P11413	ENSP00000358633
P11413	ENSP00000377192
P11413	ENSP00000377194
P11413	ENSP00000483686
P11441	ENSP00000358674
P11464	ENSP00000244296
P11464	ENSP00000308970
P11464	ENSP00000413041
P11464	ENSP00000472610
P11465	ENSP00000385706
P11473	ENSP00000229022
P11473	ENSP00000378734
P11473	ENSP00000449573
P11473	ENSP00000447173
P11474	ENSP00000000442
P11474	ENSP00000384851
P11474	ENSP00000385971
P11487	ENSP00000334122
P11488	ENSP00000232461
P11488	ENSP00000387555
P11498	ENSP00000377527
P11498	ENSP00000377530
P11498	ENSP00000377532
P11509	ENSP00000301141
P11511	ENSP00000379683
P11511	ENSP00000379685
P11511	ENSP00000383930
P11511	ENSP00000452627
P11511	ENSP00000453149
P11532	ENSP00000354464
P11532	ENSP00000367951
P11532	ENSP00000367974
P11532	ENSP00000367997
P11586	ENSP00000216605
P11586	ENSP00000450560
P11597	ENSP00000200676
P11597	ENSP00000369106
P11678	ENSP00000225371
P11684	ENSP00000278282
P11686	ENSP00000316152
P11712	ENSP00000260682
P11712	ENSP00000495649
P11717	ENSP00000349437
P11717	ENSP00000497964
P11766	ENSP00000296412
P11801	ENSP00000291041
P11802	ENSP00000257904
P11831	ENSP00000265354
P11836	ENSP00000314620
P11836	ENSP00000374589
P11836	ENSP00000432270
P11836	ENSP00000433277
P11844	ENSP00000302105
P11908	ENSP00000370043
P11908	ENSP00000381504
P11912	ENSP00000221972
P11912	ENSP00000400605
P11926	ENSP00000234111
P11926	ENSP00000385333
P11940	ENSP00000313007
P12004	ENSP00000368438
P12004	ENSP00000368458
P12018	ENSP00000385361
P12034	ENSP00000311697
P12034	ENSP00000398353
P12035	ENSP00000413479
P12036	ENSP00000311997
P12074	ENSP00000229379
P12081	ENSP00000304668
P12081	ENSP00000411511
P12081	ENSP00000387893
P12081	ENSP00000425634
P12081	ENSP00000495156
P12104	ENSP00000274024
P12107	ENSP00000302551
P12107	ENSP00000351163
P12107	ENSP00000359114
P12107	ENSP00000426533
P12109	ENSP00000355180
P12110	ENSP00000300527
P12110	ENSP00000312529
P12110	ENSP00000380870
P12110	ENSP00000387115
P12111	ENSP00000295550
P12111	ENSP00000315873
P12111	ENSP00000375860
P12111	ENSP00000375861
P12111	ENSP00000386844
P12111	ENSP00000418285
P12235	ENSP00000281456
P12236	ENSP00000370808
P12259	ENSP00000356771
P12268	ENSP00000321584
P12270	ENSP00000356448
P12270	ENSP00000483425
P12271	ENSP00000268125
P12272	ENSP00000201015
P12272	ENSP00000379209
P12272	ENSP00000379213
P12272	ENSP00000440613
P12272	ENSP00000441890
P12272	ENSP00000441571
P12272	ENSP00000441765
P12273	ENSP00000291009
P12277	ENSP00000299198
P12314	ENSP00000358165
P12318	ENSP00000271450
P12318	ENSP00000356949
P12319	ENSP00000357097
P12429	ENSP00000264908
P12524	ENSP00000361902
P12524	ENSP00000361903
P12524	ENSP00000380494
P12532	ENSP00000300283
P12532	ENSP00000406577
P12532	ENSP00000413165
P12532	ENSP00000413255
P12544	ENSP00000274306
P12643	ENSP00000368104
P12644	ENSP00000245451
P12644	ENSP00000394165
P12644	ENSP00000454134
P12644	ENSP00000453485
P12645	ENSP00000282701
P12694	ENSP00000269980
P12694	ENSP00000416000
P12724	ENSP00000302324
P12755	ENSP00000367797
P12757	ENSP00000259119
P12757	ENSP00000400193
P12757	ENSP00000406520
P12757	ENSP00000415243
P12814	ENSP00000193403
P12814	ENSP00000377941
P12814	ENSP00000414272
P12814	ENSP00000439828
P12821	ENSP00000290863
P12821	ENSP00000290866
P12821	ENSP00000392247
P12829	ENSP00000347055
P12829	ENSP00000377096
P12829	ENSP00000461570
P12830	ENSP00000261769
P12830	ENSP00000414946
P12838	ENSP00000297435
P12838	ENSP00000493844
P12872	ENSP00000266003
P12872	ENSP00000388825
P12872	ENSP00000425467
P12882	ENSP00000226207
P12883	ENSP00000347507
P12931	ENSP00000350941
P12931	ENSP00000362659
P12931	ENSP00000362668
P12931	ENSP00000362680
P12955	ENSP00000244137
P12955	ENSP00000380226
P12955	ENSP00000391890
P12956	ENSP00000352257
P12956	ENSP00000353192
P12956	ENSP00000384941
P12956	ENSP00000384257
P12980	ENSP00000264824
P13010	ENSP00000375977
P13010	ENSP00000375978
P13051	ENSP00000242576
P13051	ENSP00000337398
P13056	ENSP00000328843
P13056	ENSP00000333275
P13056	ENSP00000376813
P13073	ENSP00000253452
P13073	ENSP00000457015
P13073	ENSP00000457513
P13164	ENSP00000330825
P13164	ENSP00000386187
P13164	ENSP00000437057
P13196	ENSP00000309259
P13196	ENSP00000378416
P13196	ENSP00000417719
P13196	ENSP00000418779
P13224	ENSP00000383382
P13232	ENSP00000263851
P13232	ENSP00000427750
P13236	ENSP00000482259
P13236	ENSP00000480345
P13236	ENSP00000478708
P13284	ENSP00000384886
P13349	ENSP00000228644
P13378	ENSP00000315949
P13378	ENSP00000409026
P13385	ENSP00000296145
P13473	ENSP00000200639
P13473	ENSP00000360386
P13473	ENSP00000408411
P13489	ENSP00000346402
P13489	ENSP00000348515
P13489	ENSP00000380729
P13489	ENSP00000380738
P13489	ENSP00000380739
P13489	ENSP00000416589
P13489	ENSP00000435594
P13489	ENSP00000433999
P13489	ENSP00000479004
P13489	ENSP00000484572
P13489	ENSP00000478664
P13489	ENSP00000479966
P13489	ENSP00000480036
P13489	ENSP00000487940
P13489	ENSP00000487753
P13489	ENSP00000488734
P13497	ENSP00000306121
P13497	ENSP00000305714
P13497	ENSP00000428665
P13497	ENSP00000428332
P13497	ENSP00000430406
P13498	ENSP00000261623
P13500	ENSP00000225831
P13501	ENSP00000474412
P13501	ENSP00000475057
P13501	ENSP00000479894
P13501	ENSP00000484921
P13521	ENSP00000304133
P13533	ENSP00000348634
P13533	ENSP00000386041
P13535	ENSP00000384330
P13569	ENSP00000003084
P13569	ENSP00000497203
P13584	ENSP00000271153
P13584	ENSP00000360991
P13591	ENSP00000318472
P13591	ENSP00000482205
P13591	ENSP00000484943
P13591	ENSP00000481083
P13591	ENSP00000480774
P13598	ENSP00000415283
P13598	ENSP00000388666
P13598	ENSP00000392634
P13598	ENSP00000462579
P13598	ENSP00000464665
P13611	ENSP00000265077
P13611	ENSP00000342768
P13611	ENSP00000340062
P13611	ENSP00000421362
P13612	ENSP00000340149
P13612	ENSP00000380227
P13631	ENSP00000343698
P13631	ENSP00000377947
P13631	ENSP00000388510
P13631	ENSP00000444335
P13637	ENSP00000302397
P13637	ENSP00000437577
P13637	ENSP00000444688
P13637	ENSP00000498113
P13639	ENSP00000307940
P13640	ENSP00000369139
P13640	ENSP00000391397
P13645	ENSP00000269576
P13646	ENSP00000246635
P13646	ENSP00000336604
P13647	ENSP00000252242
P13667	ENSP00000286091
P13671	ENSP00000263413
P13671	ENSP00000338861
P13674	ENSP00000263556
P13674	ENSP00000307318
P13674	ENSP00000362099
P13674	ENSP00000378353
P13674	ENSP00000414464
P13682	ENSP00000379368
P13682	ENSP00000486354
P13686	ENSP00000218758
P13686	ENSP00000392374
P13686	ENSP00000413456
P13686	ENSP00000468767
P13686	ENSP00000496973
P13688	ENSP00000161559
P13688	ENSP00000244291
P13688	ENSP00000351165
P13688	ENSP00000384709
P13688	ENSP00000384083
P13688	ENSP00000471918
P13693	ENSP00000368344
P13693	ENSP00000368345
P13693	ENSP00000431872
P13716	ENSP00000386284
P13725	ENSP00000215781
P13726	ENSP00000334145
P13726	ENSP00000359226
P13727	ENSP00000312134
P13727	ENSP00000433016
P13727	ENSP00000433231
P13747	ENSP00000365817
P13747	ENSP00000373091
P13747	ENSP00000409910
P13747	ENSP00000390707
P13747	ENSP00000402694
P13747	ENSP00000397420
P13747	ENSP00000400458
P13762	ENSP00000410857
P13765	ENSP00000395780
P13765	ENSP00000390020
P13765	ENSP00000405108
P13765	ENSP00000397268
