Gene,XM id,XP id,mean Ka/Ks,mean Ka,mean ks,medaka Ka/Ks,medaka Ka,medaka ks,Stickleback Ka/Ks,Stickleback Ka,Stickleback ks,tetraodon Ka/Ks,tetraodon Ka,tetraodon ks,fugu Ka/Ks,fugu Ka,fugu ks,zebrafish Ka/Ks,zebrafish Ka,zebrafish ks
enpep,XM_015969079.1,XP_015824565.1,0.09174,0.15316,1.98896,0.0936,0.1182,1.2628,0.0843,0.1237,1.4673,0.1331,0.1845,1.3861,0.1046,0.1503,1.4371,0.0431,0.1891,4.3915
enpp4,XM_015952527.1,XP_015808013.1,0.0988,0.18168,2.03328,0.067,0.1122,1.6752,0.1,0.1316,1.3162,0.1296,0.1993,1.5376,0.1317,0.1894,1.4385,0.0657,0.2759,4.1989
enpp5,XM_015948186.1,XP_015803672.1,0.0795,0.11814,1.47478,0.0735,0.0757,1.0303,0.0615,0.0948,1.5416,0.0677,0.1172,1.7304,0.0805,0.1148,1.4253,0.1143,0.1882,1.6463
ensa,XM_015949883.1,XP_015805369.1,0.02834,0.04424,1.6071,0.0269,0.0206,0.7633,0.01,0.0219,2.1843,0.0276,0.0407,1.4762,0.024,0.0447,1.8588,0.0532,0.0933,1.7529
entpd1,XM_015962946.1,XP_015818432.1,0.11038,0.16574,1.6778,0.1418,0.1438,1.0145,0.1395,0.128,0.9171,0.0732,0.1468,2.004,0.1156,0.1565,1.3547,0.0818,0.2536,3.0987
entpd3,XM_015949156.1,XP_015804642.1,0.15858,0.2333,1.50836,0.1741,0.2039,1.1708,0.183,0.1845,1.0083,0.1137,0.2138,1.8808,0.1303,0.2192,1.6827,0.1918,0.3451,1.7992
entpd4,XM_015972377.1,XP_015827863.1,0.08154,0.10104,1.23394,0.0799,0.0808,1.0107,0.0697,0.0791,1.1353,0.0792,0.1039,1.3129,0.0922,0.1055,1.1441,0.0867,0.1359,1.5667
entpd5,XM_015970140.1,XP_015825626.1,0.09322,0.09612,1.06592,0.0582,0.0607,1.0437,0.1015,0.0927,0.9132,0.1014,0.0995,0.9809,0.1253,0.1018,0.8127,0.0797,0.1259,1.5791
eny2,XM_015949388.1,XP_015804874.1,0.08722,0.0946,1.26304,0.0922,0.0482,0.523,0.138,0.0747,0.5412,0.0527,0.1096,2.0804,0.0635,0.1063,1.6744,0.0897,0.1342,1.4962
eogt,XM_015959287.1,XP_015814773.1,0.10482,0.11024,1.10836,0.1212,0.082,0.6768,0.114,0.0866,0.7597,0.0818,0.1143,1.3984,0.1181,0.111,0.9399,0.089,0.1573,1.767
ep400,XM_015972098.1,XP_015827584.1,0.0863,0.10484,1.263,0.0816,0.0783,0.9599,0.0866,0.0762,0.8807,0.0895,0.1084,1.2115,0.104,0.1017,0.9779,0.0698,0.1596,2.285
epb41l5,XM_015966751.1,XP_015822237.1,0.06698,0.09014,1.35784,0.0473,0.0692,1.465,0.0767,0.0761,0.9924,0.0681,0.0887,1.3037,0.0706,0.0945,1.3371,0.0722,0.1222,1.691
epg5,XM_015972553.1,XP_015828039.1,0.12672,0.13268,1.00174,0.1241,0.0923,0.7439,0.117,0.0831,0.7102,0.1162,0.1038,0.8934,0.1214,0.1012,0.834,0.1549,0.283,1.8272
epha2,XM_015966974.1,XP_015822460.1,0.07142,0.1055,1.47942,0.0818,0.1107,1.3532,0.054,0.0871,1.6152,0.0638,0.0927,1.4529,0.066,0.0912,1.3825,0.0915,0.1458,1.5933
epha3,XM_015965540.1,XP_015821026.1,0.02426,0.03744,1.49118,0.0289,0.029,1.0043,0.0176,0.0229,1.3022,0.0162,0.0275,1.6934,0.0214,0.0284,1.3248,0.0372,0.0794,2.1312
ephx2,XM_015957975.1,XP_015813461.1,0.14108,0.19482,1.45972,0.1539,0.1552,1.0085,0.1642,0.1519,0.9251,0.1441,0.2035,1.4123,0.1361,0.1884,1.3848,0.1071,0.2751,2.5679
ephx4,XM_015962329.1,XP_015817815.1,0.05238,0.05312,1.01642,0.0611,0.0413,0.6752,0.052,0.0389,0.7479,0.0457,0.0453,0.9917,0.0484,0.0449,0.9276,0.0547,0.0952,1.7397
epm2a,XM_015947250.1,XP_015802736.1,0.10516,0.14758,1.48846,0.0943,0.122,1.2942,0.145,0.1251,0.8622,0.0911,0.1536,1.6854,0.1151,0.1592,1.3828,0.0803,0.178,2.2177
epor,XM_015945147.1,XP_015800633.1,0.11948,0.20986,2.06758,0.1818,0.1517,0.8344,0.111,0.1603,1.4446,0.1052,0.2439,2.3174,0.13,0.2033,1.5635,0.0694,0.2901,4.178
eprs,XM_015953914.1,XP_015809400.1,0.05402,0.07166,1.31178,0.0508,0.0577,1.1362,0.0389,0.0558,1.4352,0.0527,0.07,1.3275,0.0503,0.0578,1.1486,0.0774,0.117,1.5114
eps15,XM_015971337.1,XP_015826823.1,0.06476,0.08504,1.27866,0.0569,0.0542,0.9532,0.0618,0.0642,1.0393,0.0559,0.0717,1.2828,0.049,0.0741,1.5117,0.1002,0.161,1.6063
ept1,XM_015948201.1,XP_015803687.1,0.07276,0.08226,1.1153,0.0553,0.0607,1.097,0.0862,0.0695,0.806,0.0586,0.0659,1.125,0.0606,0.0676,1.1164,0.1031,0.1476,1.4321
eral1,XM_015961816.1,XP_015817302.1,0.0907,0.12288,1.4128,0.1196,0.0939,0.7853,0.0719,0.1064,1.4792,0.0856,0.107,1.2497,0.093,0.1081,1.1633,0.0834,0.199,2.3865
erbb3,XM_015959766.1,XP_015815252.1,0.09242,0.14728,1.96478,0.1309,0.1387,1.0596,0.1228,0.1191,0.9702,0.0631,0.1427,2.2632,0.0981,0.144,1.4686,0.0472,0.1919,4.0623
ercc1,XM_015966690.1,XP_015822176.1,0.04826,0.07958,2.10706,0.0114,0.0516,4.5248,0.0607,0.0819,1.3491,0.0426,0.0646,1.5154,0.0502,0.0777,1.5479,0.0764,0.1221,1.5981
ercc2,XM_015950693.1,XP_015806179.1,0.02584,0.03234,1.23492,0.0154,0.0173,1.1255,0.0282,0.0318,1.1287,0.0282,0.0325,1.1523,0.0274,0.0322,1.1747,0.03,0.0479,1.5934
ercc3,XM_015953422.1,XP_015808908.1,0.02676,0.0358,1.50218,0.0321,0.0293,0.9111,0.0278,0.034,1.2255,0.0283,0.0361,1.2736,0.0312,0.0382,1.2243,0.0144,0.0414,2.8764
ercc6l2,XM_015972855.1,XP_015828341.1,0.08094,0.09662,1.1855,0.0495,0.0591,1.1938,0.0845,0.0682,0.8076,0.0941,0.1092,1.1603,0.0839,0.0928,1.106,0.0927,0.1538,1.6598
ercc8,XM_015972834.1,XP_015828320.1,0.071,0.0765,1.12002,0.0922,0.0695,0.754,0.0743,0.0625,0.8411,0.059,0.069,1.1702,0.0673,0.069,1.024,0.0622,0.1125,1.8108
ergic1,XM_015972746.1,XP_015828232.1,0.03218,0.03244,1.04778,0.0422,0.0303,0.7167,0.018,0.0156,0.8657,0.0387,0.0363,0.9396,0.0367,0.0361,0.9833,0.0253,0.0439,1.7336
ergic3,XM_015958658.1,XP_015814144.1,0.03904,0.04558,1.1881,0.0334,0.0337,1.0081,0.0328,0.0382,1.1639,0.0302,0.0406,1.3435,0.0579,0.0553,0.9551,0.0409,0.0601,1.4699
eri1,XM_015962345.1,XP_015817831.1,0.07718,0.09986,1.29366,0.0656,0.0719,1.0966,0.0489,0.0726,1.4839,0.0841,0.1009,1.1998,0.0907,0.089,0.9813,0.0966,0.1649,1.7067
eri2,XM_015966527.1,XP_015822013.1,0.09692,0.1208,1.33238,0.1425,0.0896,0.629,0.0401,0.0522,1.3019,0.0561,0.1,1.7828,0.1231,0.0982,0.7981,0.1228,0.264,2.1501
erlec1,XM_015944449.1,XP_015799935.1,0.0668,0.08248,1.3367,0.0693,0.0717,1.0343,0.0817,0.0696,0.8522,0.0694,0.0836,1.2049,0.0698,0.0808,1.1577,0.0438,0.1067,2.4344
ermap,XM_015959031.1,XP_015814517.1,0.01178,0.02798,2.59418,0.0151,0.019,1.2551,0.0065,0.0235,3.6422,0.0168,0.0275,1.6427,0.0075,0.0185,2.4683,0.013,0.0514,3.9626
ern1,XM_015945661.1,XP_015801147.1,0.0462,0.05868,1.3264,0.054,0.0474,0.8772,0.0567,0.047,0.8302,0.0385,0.0496,1.289,0.0401,0.0504,1.2581,0.0417,0.099,2.3775
ero1b,XM_015974338.1,XP_015829824.1,0.0542,0.06526,1.23962,0.0708,0.0601,0.8486,0.0424,0.0617,1.4535,0.0444,0.058,1.3061,0.0579,0.0648,1.1183,0.0555,0.0817,1.4716
erp44,XM_015950643.1,XP_015806129.1,0.04904,0.0711,1.47964,0.0532,0.0606,1.139,0.047,0.0598,1.272,0.0495,0.0622,1.2565,0.0354,0.0735,2.0767,0.0601,0.0994,1.654
esm1,XM_015942912.1,XP_015798398.1,0.08474,0.0727,0.84238,0.0788,0.0586,0.7439,0.0708,0.0594,0.8388,0.091,0.0624,0.6854,0.081,0.0591,0.7299,0.1021,0.124,1.2139
espl1,XM_015957049.1,XP_015812535.1,0.18316,0.23678,1.30394,0.1998,0.1934,0.9683,0.1919,0.1906,0.9934,0.18,0.2088,1.1597,0.1654,0.2026,1.2249,0.1787,0.3885,2.1734
esrp1,XM_015950472.1,XP_015805958.1,0.07512,0.09046,1.1632,0.063,0.059,0.9363,0.0767,0.0625,0.8151,0.0568,0.0755,1.3284,0.0767,0.0743,0.9689,0.1024,0.181,1.7673
esrra,XM_015961222.1,XP_015816708.1,0.02912,0.0267,0.98364,0.0359,0.0272,0.7593,0.0427,0.0249,0.5842,0.0161,0.0189,1.1704,0.0236,0.0199,0.8439,0.0273,0.0426,1.5604
esrrb,XM_015970198.1,XP_015825684.1,0.01872,0.02092,1.13712,0.0062,0.0041,0.6669,0.0358,0.022,0.6142,0.0197,0.0137,0.6973,0.0134,0.0102,0.763,0.0185,0.0546,2.9442
esyt1,XM_015959628.1,XP_015815114.1,0.08792,0.08894,1.02812,0.072,0.0873,1.2124,0.088,0.0695,0.7904,0.0959,0.0758,0.7905,0.0965,0.0778,0.8065,0.0872,0.1343,1.5408
esyt2,XM_015954640.1,XP_015810126.1,0.09546,0.10252,1.13146,0.1237,0.0781,0.6312,0.1161,0.0944,0.8132,0.0716,0.0859,1.1983,0.0736,0.0948,1.287,0.0923,0.1594,1.7276
etf1,XM_015945288.1,XP_015800774.1,0.00558,0.00492,0.84816,0.006,0.0036,0.6041,0.0063,0.0035,0.564,0.0028,0.0024,0.8612,0.0054,0.0036,0.666,0.0074,0.0115,1.5455
etfa,XM_015964474.1,XP_015819960.1,0.08026,0.0974,1.09682,0.0702,0.0534,0.7606,0.0739,0.0547,0.7407,0.0745,0.0622,0.8346,0.0712,0.0604,0.8489,0.1115,0.2563,2.2993
etfbkmt,XM_015964927.1,XP_015820413.1,0.0996,0.17994,1.94928,0.117,0.1862,1.5913,0.0459,0.1322,2.8799,0.1185,0.1827,1.5421,0.0887,0.1783,2.0102,0.1279,0.2203,1.7229
etfdh,XM_015950938.1,XP_015806424.1,0.04016,0.06298,1.58626,0.0324,0.0504,1.5534,0.0488,0.0557,1.141,0.0387,0.0549,1.4172,0.0411,0.0558,1.3578,0.0398,0.0981,2.4619
etnk1,XM_015956354.1,XP_015811840.1,0.05338,0.08962,1.9963,0.0345,0.0913,2.6427,0.069,0.073,1.0581,0.0211,0.0701,3.3238,0.054,0.0746,1.3814,0.0883,0.1391,1.5755
etv1,XM_015949818.1,XP_015805304.1,0.03568,0.04578,1.23898,0.023,0.0265,1.149,0.0288,0.0232,0.804,0.0388,0.0607,1.5646,0.0389,0.0481,1.2371,0.0489,0.0704,1.4402
etv5,XM_015965743.1,XP_015821229.1,0.05312,0.09086,1.78708,0.0537,0.1075,2.0016,0.0403,0.1048,2.5994,0.0434,0.0753,1.7365,0.0628,0.0759,1.2097,0.0654,0.0908,1.3882
eva1c,XM_015961842.1,XP_015817328.1,0.10246,0.12596,1.19092,0.098,0.0702,0.7163,0.0978,0.0811,0.8293,0.0971,0.1023,1.0533,0.0962,0.133,1.3819,0.1232,0.2432,1.9738
evi5,XM_015962317.1,XP_015817803.1,0.0307,0.0357,1.21816,0.0368,0.0315,0.8539,0.0206,0.0267,1.2981,0.0184,0.0294,1.5987,0.0389,0.0356,0.9152,0.0388,0.0553,1.4249
evi5l,XM_015954462.1,XP_015809948.1,0.01872,0.0326,1.85112,0.0123,0.027,2.1931,0.0102,0.0251,2.4613,0.0207,0.0267,1.2919,0.0242,0.0298,1.2326,0.0262,0.0544,2.0767
evpl,XM_015954322.1,XP_015809808.1,0.15644,0.22688,1.46386,0.1719,0.2075,1.2075,0.1693,0.1825,1.0782,0.1249,0.2111,1.69,0.1398,0.2153,1.5396,0.1763,0.318,1.804
evx2,XM_015966463.1,XP_015821949.1,0.00528,0.00532,1.0976,0.0058,0.0044,0.7503,0.0053,0.0044,0.8427,0.0055,0.0045,0.803,0.006,0.0044,0.7397,0.0038,0.0089,2.3523
exd2,XM_015969332.1,XP_015824818.1,0.06914,0.09752,1.4132,0.075,0.0992,1.3234,0.044,0.0681,1.5484,0.0712,0.0864,1.214,0.068,0.0938,1.3795,0.0875,0.1401,1.6007
exd3,XM_015940540.1,XP_015796026.1,0.21706,0.19994,0.92928,0.2378,0.179,0.7526,0.2193,0.142,0.6473,0.1914,0.1939,1.0128,0.2231,0.1807,0.8103,0.2137,0.3041,1.4234
exo1,XM_015944032.1,XP_015799518.1,0.05614,0.0791,1.41352,0.0454,0.0548,1.2075,0.0572,0.0632,1.1045,0.0646,0.081,1.2536,0.06,0.085,1.4171,0.0535,0.1115,2.0849
exoc1,XM_015971715.1,XP_015827201.1,0.02482,0.03476,1.39094,0.0235,0.0264,1.121,0.0201,0.0265,1.3205,0.0257,0.0414,1.6079,0.0275,0.0317,1.1538,0.0273,0.0478,1.7515
exoc2,XM_015971208.1,XP_015826694.1,0.06132,0.0813,1.3241,0.0543,0.0596,1.0967,0.0689,0.0634,0.92,0.0644,0.0826,1.2826,0.0427,0.0666,1.5608,0.0763,0.1343,1.7604
exoc4,XM_015959221.1,XP_015814707.1,0.03812,0.0499,1.42972,0.0328,0.0264,0.803,0.0299,0.0367,1.227,0.0645,0.0649,1.0048,0.0365,0.041,1.1222,0.0269,0.0805,2.9916
exoc5,XM_015970127.1,XP_015825613.1,0.03122,0.03392,1.12852,0.0385,0.0259,0.6732,0.0384,0.0337,0.8776,0.0201,0.0269,1.336,0.0241,0.0295,1.2226,0.035,0.0536,1.5332
exoc8,XM_015947580.1,XP_015803066.1,0.01982,0.04374,2.42696,0.0157,0.0338,2.1528,0.0256,0.031,1.2133,0.0255,0.0444,1.7408,0.018,0.0446,2.4803,0.0143,0.0649,4.5476
exosc1,XM_015943800.1,XP_015799286.1,0.09998,0.08924,0.9115,0.067,0.0619,0.9241,0.1058,0.0733,0.6924,0.1157,0.1052,0.909,0.1365,0.1188,0.8704,0.0749,0.087,1.1616
exosc10,XM_015967624.1,XP_015823110.1,0.08508,0.10904,1.27004,0.0865,0.0707,0.8179,0.0813,0.1024,1.2592,0.0672,0.0953,1.4184,0.0834,0.1014,1.2164,0.107,0.1754,1.6383
exosc4,XM_015956787.1,XP_015812273.1,0.03368,0.0518,1.57546,0.0418,0.0395,0.9458,0.0405,0.0408,1.0078,0.0251,0.0348,1.3872,0.0267,0.0407,1.5236,0.0343,0.1032,3.0129
exosc5,XM_015950785.1,XP_015806271.1,0.05392,0.07782,1.4814,0.035,0.0527,1.5054,0.0728,0.0737,1.0115,0.0545,0.0701,1.2867,0.0547,0.0783,1.4302,0.0526,0.1143,2.1732
exosc6,XM_015965146.1,XP_015820632.1,0.03832,0.10604,3.2008,0.0291,0.0743,2.557,0.0598,0.1,1.6732,0.0422,0.1011,2.3979,0.0142,0.0796,5.593,0.0463,0.1752,3.7829
exosc7,XM_015973515.1,XP_015829001.1,0.06734,0.08472,1.34158,0.0752,0.0772,1.0258,0.093,0.0742,0.7978,0.0534,0.0803,1.5029,0.0607,0.0752,1.2386,0.0544,0.1167,2.1428
exosc8,XM_015968334.1,XP_015823820.1,0.1272,0.1392,1.12342,0.113,0.1101,0.9742,0.1322,0.1069,0.8085,0.1144,0.1399,1.2231,0.1672,0.1556,0.9311,0.1092,0.1835,1.6802
exosc9,XM_015943786.1,XP_015799272.1,0.0467,0.09244,2.04784,0.0404,0.0599,1.4825,0.0612,0.0718,1.1724,0.0328,0.0928,2.8311,0.043,0.095,2.209,0.0561,0.1427,2.5442
ext2,XM_015953124.1,XP_015808610.1,0.02438,0.02656,1.13676,0.0277,0.021,0.7567,0.0274,0.0237,0.8631,0.0243,0.0275,1.1295,0.0232,0.0236,1.0159,0.0193,0.037,1.9186
extl2,XM_015956995.1,XP_015812481.1,0.09426,0.12766,1.35056,0.1048,0.0943,0.9003,0.0634,0.0939,1.4821,0.1002,0.1222,1.2194,0.0863,0.1131,1.3095,0.1166,0.2148,1.8415
extl3,XM_015947520.1,XP_015803006.1,0.02814,0.03434,1.2614,0.0388,0.0283,0.7283,0.0197,0.0222,1.1307,0.0198,0.0341,1.7237,0.0279,0.0294,1.0542,0.0345,0.0577,1.6701
eya1,XM_015955264.1,XP_015810750.1,0.05472,0.042,0.7098,0.0376,0.015,0.3987,0.1292,0.1141,0.8832,0.0359,0.0223,0.6208,0.0348,0.0201,0.579,0.0361,0.0385,1.0673
eya2,XM_015959218.1,XP_015814704.1,0.04636,0.0519,1.14684,0.0664,0.0436,0.6566,0.0441,0.0349,0.7913,0.0324,0.0405,1.2483,0.0359,0.043,1.1975,0.053,0.0975,1.8405
eya3,XM_015975171.1,XP_015830657.1,0.0509,0.08074,1.59512,0.0522,0.0816,1.562,0.0577,0.0694,1.2018,0.0403,0.0693,1.7191,0.0479,0.0764,1.5963,0.0564,0.107,1.8964
eya4,XM_015947112.1,XP_015802598.1,0.04648,0.04502,0.93928,0.0334,0.0179,0.5351,0.0537,0.0393,0.7322,0.0397,0.0414,1.0424,0.0519,0.0473,0.9114,0.0537,0.0792,1.4753
ezh1,XM_015948677.1,XP_015804163.1,0.0416,0.05152,1.22796,0.0357,0.0369,1.035,0.0544,0.0517,0.9487,0.0322,0.0374,1.1633,0.0281,0.0388,1.38,0.0576,0.0928,1.6128
f13a1,XM_015946449.1,XP_015801935.1,0.11046,0.16796,1.52778,0.0897,0.1484,1.6539,0.1238,0.159,1.2844,0.1116,0.1671,1.4965,0.0922,0.1448,1.5705,0.135,0.2205,1.6336
f2r,XM_015972500.1,XP_015827986.1,0.13638,0.1612,1.2856,0.1926,0.1247,0.6477,0.1239,0.1496,1.2077,0.1252,0.1626,1.2986,0.1433,0.1602,1.1177,0.0969,0.2089,2.1563
f2rl1,XM_015943113.1,XP_015798599.1,0.08094,0.14816,1.9892,0.0842,0.1117,1.3274,0.0632,0.1258,1.9892,0.0427,0.1428,3.3446,0.0905,0.1274,1.407,0.1241,0.2331,1.8778
fa2h,XM_015965263.1,XP_015820749.1,0.04622,0.08204,1.90974,0.0536,0.0624,1.1639,0.0422,0.0723,1.7139,0.0279,0.0685,2.4522,0.0265,0.0653,2.4673,0.0809,0.1417,1.7514
faap24,XM_015976502.1,XP_015831988.1,0.16518,0.21036,1.504,0.2335,0.1749,0.7491,0.0599,0.157,2.622,0.136,0.2089,1.5367,0.2124,0.2254,1.0611,0.1841,0.2856,1.5511
fabp1,XM_015972905.1,XP_015828391.1,0.13534,0.20452,1.7645,0.2956,0.2554,0.864,0.0866,0.1191,1.3758,0.1069,0.2599,2.4309,0.0852,0.1833,2.1506,0.1024,0.2049,2.0012
fabp2,XM_015943771.1,XP_015799257.1,0.07062,0.11698,1.93686,0.118,0.0833,0.7054,0.0336,0.0992,2.9486,0.0569,0.1129,1.9828,0.0768,0.1299,1.6913,0.0678,0.1596,2.3562
fads6,XM_015962211.1,XP_015817697.1,0.1365,0.172,1.32946,0.1198,0.1448,1.208,0.1066,0.1499,1.4071,0.1712,0.1613,0.9417,0.0826,0.1527,1.8485,0.2023,0.2513,1.242
faf1,XM_015971343.1,XP_015826829.1,0.06122,0.05664,1.02632,0.0713,0.0445,0.6251,0.0703,0.0465,0.6611,0.0567,0.0542,0.9561,0.0684,0.0571,0.8346,0.0394,0.0809,2.0547
faf2,XM_015977130.1,XP_015832616.1,0.05276,0.04238,0.84996,0.0386,0.0274,0.708,0.0686,0.0419,0.6114,0.0626,0.0435,0.6942,0.0552,0.0417,0.7562,0.0388,0.0574,1.48
faim,XM_015965507.1,XP_015820993.1,0.02006,0.04674,2.38252,0.014,0.0284,2.0273,0.0199,0.0465,2.3404,0.0143,0.0434,3.0424,0.0271,0.037,1.3683,0.025,0.0784,3.1342
fam102b,XM_015971090.1,XP_015826576.1,0.0351,0.03778,1.23746,0.0454,0.0315,0.6935,0.034,0.029,0.8512,0.0359,0.0337,0.9404,0.0394,0.0373,0.9452,0.0208,0.0574,2.757
fam107b,XM_015964624.1,XP_015820110.1,0.04314,0.05622,1.46886,0.0486,0.0394,0.8106,0.0644,0.0453,0.7036,0.0375,0.043,1.1451,0.0323,0.0452,1.3974,0.0329,0.1082,3.2876
fam109a,XM_015972932.1,XP_015828418.1,0.02232,0.04422,2.2355,0.041,0.0525,1.2808,0.0157,0.0345,2.2014,0.015,0.0566,3.7691,0.0227,0.0414,1.8246,0.0172,0.0361,2.1016
fam110d,XM_015950041.1,XP_015805527.1,0.04848,0.05996,1.18968,0.05,0.0411,0.822,0.0529,0.0671,1.2683,0.0354,0.038,1.0723,0.0417,0.0404,0.9703,0.0624,0.1132,1.8155
fam114a1,XM_015954138.1,XP_015809624.1,0.10658,0.09576,0.99648,0.1572,0.0884,0.5625,0.0547,0.0669,1.2246,0.0912,0.0991,1.086,0.1333,0.0752,0.5643,0.0965,0.1492,1.545
fam114a2,XM_015961867.1,XP_015817353.1,0.07964,0.09796,1.22322,0.078,0.0768,0.9847,0.0659,0.0853,1.295,0.0627,0.083,1.324,0.0874,0.0885,1.0126,0.1042,0.1562,1.4998
fam117a,XM_015948778.1,XP_015804264.1,0.08594,0.08202,0.99586,0.0993,0.0596,0.6008,0.0977,0.0683,0.6988,0.0769,0.0809,1.053,0.0815,0.0699,0.8576,0.0743,0.1314,1.7691
fam117b,XM_015946476.1,XP_015801962.1,0.04574,0.04596,0.9803,0.019,0.0181,0.95,0.0288,0.0274,0.9506,0.062,0.0487,0.7869,0.053,0.0423,0.7978,0.0659,0.0933,1.4162
fam118b,XM_015952031.1,XP_015807517.1,0.00524,0.00868,1.72908,0.003,0.0042,1.3797,0.0038,0.0056,1.4726,0.002,0.0057,2.7962,0.0045,0.0057,1.2766,0.0129,0.0222,1.7203
fam120b,XM_015953814.1,XP_015809300.1,0.1929,0.1956,0.99092,0.1832,0.1271,0.6937,0.2001,0.1361,0.6804,0.1687,0.1656,0.9817,0.1793,0.1894,1.0558,0.2332,0.3598,1.543
fam120c,XM_015967025.1,XP_015822511.1,0.06504,0.0559,0.82236,0.0538,0.0273,0.5081,0.0722,0.04,0.554,0.0547,0.0393,0.7183,0.067,0.0501,0.7474,0.0775,0.1228,1.584
fam124a,XM_015965919.1,XP_015821405.1,0.0821,0.11886,1.63834,0.0935,0.0621,0.6643,0.103,0.1095,1.0638,0.0788,0.1392,1.7665,0.0247,0.068,2.7468,0.1105,0.2155,1.9503
fam126a,XM_015955897.1,XP_015811383.1,0.05184,0.05464,1.02572,0.0456,0.0346,0.7581,0.0505,0.0363,0.7185,0.0495,0.0466,0.9411,0.0543,0.0542,0.999,0.0593,0.1015,1.7119
fam126b,XM_015966680.1,XP_015822166.1,0.03732,0.05062,1.17218,0.0297,0.0241,0.8105,0.037,0.0325,0.8792,0.0254,0.0273,1.0742,0.0316,0.0259,0.8185,0.0629,0.1433,2.2785
fam131c,XM_015966976.1,XP_015822462.1,0.05862,0.077,1.47466,0.1792,0.2667,1.4884,0.0518,0.0358,0.6913,0.0043,0.0116,2.6842,0.0092,0.0119,1.2953,0.0486,0.059,1.2141
fam133b,XM_015955857.1,XP_015811343.1,0.0463,0.10722,2.37814,0.0532,0.0786,1.4774,0.0528,0.1125,2.1328,0.0369,0.1058,2.8651,0.0448,0.0902,2.013,0.0438,0.149,3.4024
fam134a,XM_015952624.1,XP_015808110.1,0.06274,0.059,0.92142,0.0603,0.0543,0.9003,0.0645,0.0548,0.8501,0.0615,0.0387,0.6299,0.0519,0.0461,0.8878,0.0755,0.1011,1.339
fam134b,XM_015955998.1,XP_015811484.1,0.13772,0.12646,0.90544,0.1174,0.0949,0.8082,0.0981,0.0824,0.8401,0.1737,0.1563,0.8998,0.1263,0.1186,0.9391,0.1731,0.1801,1.04
fam134c,XM_015948681.1,XP_015804167.1,0.14248,0.1357,0.98588,0.1476,0.1254,0.8501,0.1802,0.1196,0.6633,0.1138,0.1162,1.0213,0.1477,0.1349,0.9131,0.1231,0.1824,1.4816
fam135a,XM_015975105.1,XP_015830591.1,0.06804,0.071,1.05794,0.0735,0.0581,0.7893,0.0781,0.0544,0.6974,0.0605,0.0608,1.0047,0.0611,0.0599,0.9802,0.067,0.1218,1.8181
fam135b,XM_015974221.1,XP_015829707.1,0.0855,0.09034,1.09586,0.0955,0.0794,0.8321,0.0976,0.0817,0.837,0.0832,0.0748,0.8989,0.0797,0.0731,0.9161,0.0715,0.1427,1.9952
fam13a,XM_015965428.1,XP_015820914.1,0.0522,0.08624,1.73082,0.0489,0.0655,1.3394,0.0732,0.0732,0.9996,0.0416,0.0918,2.2075,0.0473,0.0826,1.7471,0.05,0.1181,2.3605
fam149b1,XM_015944774.1,XP_015800260.1,0.11206,0.09696,1.16774,0.1829,0.1015,0.5549,0.1487,0.0655,0.4406,0.0839,0.0949,1.1317,0.0942,0.0758,0.8053,0.0506,0.1471,2.9062
fam160a1,XM_015954119.1,XP_015809605.1,0.06264,0.0792,1.33936,0.0734,0.0547,0.7448,0.0812,0.0751,0.9246,0.0428,0.0739,1.7275,0.0505,0.0786,1.5571,0.0653,0.1137,1.7428
fam160a2,XM_015965931.1,XP_015821417.1,0.06138,0.07196,1.21752,0.0795,0.062,0.7807,0.0384,0.052,1.3538,0.067,0.0707,1.0539,0.0651,0.0811,1.2456,0.0569,0.094,1.6536
fam160b1,XM_015943912.1,XP_015799398.1,0.03422,0.0495,1.42196,0.0334,0.035,1.0491,0.0311,0.0312,1.0042,0.0316,0.044,1.3951,0.0354,0.0654,1.8477,0.0396,0.0719,1.8137
fam163a,XM_015970879.1,XP_015826365.1,0.13956,0.08478,0.61728,0.1026,0.0721,0.7026,0.0839,0.0405,0.4835,0.1902,0.0933,0.4905,0.1763,0.0778,0.4414,0.1448,0.1402,0.9684
fam167a,XM_015947127.1,XP_015802613.1,0.07794,0.10806,1.4019,0.0697,0.0881,1.264,0.0483,0.0789,1.6332,0.1103,0.1518,1.3759,0.0794,0.0927,1.1669,0.082,0.1288,1.5695
fam167b,XM_015970391.1,XP_015825877.1,0.03828,0.05366,1.51762,0.0405,0.055,1.3577,0.0221,0.0462,2.0876,0.056,0.0494,0.8823,0.0377,0.0484,1.2854,0.0351,0.0693,1.9751
fam168b,XM_015954930.1,XP_015810416.1,0.09776,0.07434,0.82388,0.1037,0.0525,0.5064,0.1568,0.0798,0.5091,0.0844,0.0816,0.9669,0.0616,0.0538,0.8738,0.0823,0.104,1.2632
fam171a1,XM_015950491.1,XP_015805977.1,0.09452,0.11174,1.18506,0.089,0.0727,0.8165,0.1177,0.0829,0.7041,0.0787,0.0945,1.2002,0.086,0.0886,1.0307,0.1012,0.22,2.1738
fam171a2,XM_015962180.1,XP_015817666.1,0.04788,0.0915,2.04274,0.0571,0.0636,1.1152,0.0238,0.0554,2.3264,0.0259,0.0691,2.664,0.0333,0.0699,2.0983,0.0993,0.1995,2.0098
