logFC,AveExpr,t,P.Value,adj.P.Val,B,description,short.name,sub.cell,GO,GO.ID,gene.name,ID,Complex
0.589117509,23.83205602,2.253836955,0.060093317,0.18567294,-4.68946698,Cathepsin D (EC 3.4.23.5),CATD_MOUSE,SUBCELLULAR LOCATION: Lysosome. Melanosome {ECO:0000250}. Secreted. extracellular space {ECO:0000250}.,extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]; hydrolase activity [GO:0016787]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; autophagosome assembly [GO:0000045]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508],GO:0000045; GO:0004175; GO:0004190; GO:0005576; GO:0005615; GO:0005739; GO:0005764; GO:0006508; GO:0008233; GO:0016787; GO:0030163; GO:0042277; GO:0042470; GO:0045121,Ctsd,P18242,NA
-0.993745976,24.40158995,-2.332669763,0.06007449,0.18567294,-4.517574129,Dynein light chain roadblock-type 1 (Dynein light chain 2A. cytoplasmic),DLRB1_MOUSE,SUBCELLULAR LOCATION: Cytoplasm. cytoskeleton.,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; dynein intermediate chain binding [GO:0045505]; identical protein binding [GO:0042802]; motor activity [GO:0003774]; microtubule-based movement [GO:0007018]; visual behavior [GO:0007632],GO:0003774; GO:0005737; GO:0005813; GO:0005868; GO:0005874; GO:0007018; GO:0007632; GO:0036157; GO:0042802; GO:0045505,Dynlrb1,P62627,NA
-1.29936581,26.53019653,-2.256335655,0.059875412,0.18567294,-4.685846149,Visinin-like protein 1 (VILIP) (Neural visinin-like protein 1) (NVL-1) (NVP-1),VISL1_MOUSE,,cytosol [GO:0005829]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; negative regulation of insulin secretion [GO:0046676]; positive regulation of exocytosis [GO:0045921]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774],GO:0005509; GO:0005829; GO:0016020; GO:0035774; GO:0045921; GO:0046676,Vsnl1,P62761,NA
-0.761574428,24.25717235,-2.320292718,0.061081431,0.187081826,-4.534538731,NADH dehydrogenase [ubiquinone] iron-sulfur protein 2. mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit),NDUS2_MOUSE,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:O75306}; Peripheral membrane protein {ECO:0000250|UniProtKB:O75306}; Matrix side {ECO:0000250|UniProtKB:O75306}.,mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; 4 iron. 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ubiquitin protein ligase binding [GO:0031625]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; response to oxidative stress [GO:0006979],GO:0005654; GO:0005739; GO:0005747; GO:0006979; GO:0008137; GO:0031625; GO:0042775; GO:0046872; GO:0048038; GO:0051287; GO:0051539,Ndufs2,Q91WD5,NA
-0.874215995,24.2350141,-2.239877752,0.061325578,0.187081826,-4.709685606,MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin),MIC60_MOUSE,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q16891}; Single-pass membrane protein {ECO:0000255}. Mitochondrion {ECO:0000250|UniProtKB:Q16891}.,MICOS complex [GO:0061617]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; cristae formation [GO:0042407]; mitochondrial calcium ion homeostasis [GO:0051560],GO:0005739; GO:0005743; GO:0042407; GO:0043209; GO:0051560; GO:0061617,Immt,Q8CAQ8,NA
-0.94712039,24.47419388,-2.319262059,0.061166076,0.187081826,-4.535951374,Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (Ubiquitin-specific-processing protease OTUB1),OTUB1_MOUSE,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,cytoplasm [GO:0005737]; nucleus [GO:0005634]; NEDD8-specific protease activity [GO:0019784]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; ubiquitinyl hydrolase activity [GO:0101005]; adaptive immune response [GO:0002250]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to interleukin-1 [GO:0071347]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108],GO:0002250; GO:0004843; GO:0005634; GO:0005737; GO:0006281; GO:0006974; GO:0016579; GO:0019784; GO:0031625; GO:0043130; GO:0071108; GO:0071347; GO:0101005; GO:1901315; GO:2000780,Otub1,Q7TQI3,NA
-0.998908758,25.0669491,-2.243827665,0.060974314,0.187081826,-4.703966172,Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56),NCAM1_MOUSE,SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 2: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 3: Cell membrane; Lipid-anchor. GPI-anchor.,anchored component of membrane [GO:0031225]; axon [GO:0030424]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular matrix [GO:0031012]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; LRR domain binding [GO:0030275]; phosphatase binding [GO:0019902]; aging [GO:0007568]; axonal fasciculation [GO:0007413]; cell surface receptor signaling pathway [GO:0007166]; homotypic cell-cell adhesion [GO:0034109]; learning or memory [GO:0007611]; multicellular organismal response to stress [GO:0033555]; negative regulation of cell death [GO:0060548]; neuron development [GO:0048666]; neuron projection development [GO:0031175]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; regulation of exocyst assembly [GO:0001928]; regulation of sensory perception of pain [GO:0051930]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; response to lead ion [GO:0010288]; thalamus development [GO:0021794],GO:0001928; GO:0005829; GO:0005886; GO:0005911; GO:0007166; GO:0007413; GO:0007568; GO:0007611; GO:0008201; GO:0009897; GO:0009986; GO:0010288; GO:0016021; GO:0019902; GO:0021794; GO:0030275; GO:0030424; GO:0030426; GO:0031012; GO:0031175; GO:0031225; GO:0033555; GO:0034109; GO:0042220; GO:0042493; GO:0042802; GO:0043025; GO:0043209; GO:0048666; GO:0050850; GO:0051930; GO:0060045; GO:0060548,Ncam1,P13595,NA
1.121453322,23.47323381,2.225170217,0.062651678,0.190524347,-4.730970063,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin),ANK2_MOUSE,SUBCELLULAR LOCATION: Cytoplasm. cytoskeleton {ECO:0000250|UniProtKB:Q01484}. Membrane {ECO:0000269|PubMed:17940615}. Cytoplasm. myofibril. sarcomere. M line {ECO:0000269|PubMed:19109891}. Apical cell membrane {ECO:0000269|PubMed:17940615}. Cell membrane {ECO:0000269|PubMed:19007774}. Cell junction. synapse. postsynaptic cell membrane {ECO:0000269|PubMed:19109891}. Early endosome {ECO:0000269|PubMed:27718357}. Recycling endosome {ECO:0000269|PubMed:27718357}. Lysosome {ECO:0000269|PubMed:27718357}. Mitochondrion {ECO:0000269|PubMed:27718357}. Note=Expressed at the apical membrane of airway lung epithelial cells (PubMed:17940615). Localized to the plasma membrane of the inner segments of photoreceptors in retina (PubMed:19007774). Colocalizes with SPTBN1 in a distinct intracellular compartment of neonatal cardiomyocytes (PubMed:15262991). In skeletal muscle. localizes to neuromuscular junctions (PubMed:19109891). Localizes with puncta at mitochondria ends. Colocalizes and cotransports on motile vesicles with RABGAP1L (PubMed:27718357). {ECO:0000269|PubMed:15262991. ECO:0000269|PubMed:17940615. ECO:0000269|PubMed:19007774. ECO:0000269|PubMed:19109891. ECO:0000269|PubMed:27718357}.,A band [GO:0031672]; apical plasma membrane [GO:0016324]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; early endosome [GO:0005769]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]; intracellular [GO:0005622]; lysosome [GO:0005764]; M band [GO:0031430]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; recycling endosome [GO:0055037]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; ion channel binding [GO:0044325]; potassium channel regulator activity [GO:0015459]; protein binding. bridging [GO:0030674]; spectrin binding [GO:0030507]; atrial cardiac muscle cell action potential [GO:0086014]; atrial cardiac muscle cell to AV node cell communication [GO:0086066]; cardiac muscle contraction [GO:0060048]; cellular calcium ion homeostasis [GO:0006874]; cellular protein localization [GO:0034613]; endocytosis [GO:0006897]; positive regulation of calcium ion transmembrane transporter activity [GO:1901021]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cation channel activity [GO:2001259]; positive regulation of gene expression [GO:0010628]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of potassium ion transport [GO:0043268]; protein localization [GO:0008104]; protein localization to cell surface [GO:0034394]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to M-band [GO:0036309]; protein localization to plasma membrane [GO:0072659]; protein localization to T-tubule [GO:0036371]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; regulation of atrial cardiac muscle cell action potential [GO:0098910]; regulation of AV node cell action potential [GO:0098904]; regulation of calcium ion transmembrane transporter activity [GO:1901019]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle cell membrane potential [GO:0086036]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cation channel activity [GO:2001257]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of protein stability [GO:0031647]; regulation of SA node cell action potential [GO:0098907]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell communication [GO:0086070]; T-tubule organization [GO:0033292],GO:0002027; GO:0005622; GO:0005737; GO:0005739; GO:0005764; GO:0005769; GO:0005856; GO:0005886; GO:0005887; GO:0006874; GO:0006897; GO:0008104; GO:0010628; GO:0010881; GO:0010882; GO:0014069; GO:0014704; GO:0015031; GO:0015459; GO:0016324; GO:0030018; GO:0030315; GO:0030507; GO:0030674; GO:0031430; GO:0031647; GO:0031672; GO:0033292; GO:0034394; GO:0034613; GO:0036309; GO:0036371; GO:0042383; GO:0043034; GO:0043268; GO:0044325; GO:0045211; GO:0048471; GO:0050821; GO:0051117; GO:0051924; GO:0051928; GO:0055037; GO:0055117; GO:0060048; GO:0070972; GO:0072659; GO:0086004; GO:0086014; GO:0086015; GO:0086036; GO:0086066; GO:0086070; GO:0086091; GO:0098904; GO:0098907; GO:0098910; GO:1901018; GO:1901019; GO:1901021; GO:2001257; GO:2001259,Ank2,Q8C8R3,NA
-0.868154454,27.53019151,-2.21979766,0.063143316,0.191415587,-4.738740302,Syntaxin-binding protein 1 (Protein unc-18 homolog 1) (Unc18-1) (Protein unc-18 homolog A) (Unc-18A),STXB1_MOUSE,SUBCELLULAR LOCATION: Cytoplasm. cytosol {ECO:0000250|UniProtKB:P61764}. Membrane; Peripheral membrane protein.,axon [GO:0030424]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extrinsic component of presynaptic active zone membrane [GO:0098891]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; postsynapse [GO:0098794]; presynapse [GO:0098793]; presynaptic active zone membrane [GO:0048787]; protein-containing complex [GO:0032991]; terminal bouton [GO:0043195]; identical protein binding [GO:0042802]; phospholipase binding [GO:0043274]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein N-terminus binding [GO:0047485]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; syntaxin-1 binding [GO:0017075]; axon target recognition [GO:0007412]; cellular response to interferon-gamma [GO:0071346]; developmental process involved in reproduction [GO:0003006]; exocytosis [GO:0006887]; long term synaptic depression [GO:0060292]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of synaptic transmission. GABAergic [GO:0032229]; neuromuscular synaptic transmission [GO:0007274]; neurotransmitter secretion [GO:0007269]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of exocytosis [GO:0045921]; positive regulation of glutamate secretion. neurotransmission [GO:1903296]; positive regulation of mast cell degranulation [GO:0043306]; positive regulation of vesicle docking [GO:0106022]; presynaptic dense core vesicle exocytosis [GO:0099525]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; regulation of synaptic vesicle priming [GO:0010807]; regulation of vesicle fusion [GO:0031338]; response to estradiol [GO:0032355]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; synaptic vesicle maturation [GO:0016188]; vesicle docking involved in exocytosis [GO:0006904],GO:0000149; GO:0002576; GO:0003006; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006904; GO:0007269; GO:0007274; GO:0007412; GO:0010807; GO:0015031; GO:0016188; GO:0017075; GO:0019901; GO:0019904; GO:0019905; GO:0030424; GO:0031091; GO:0031333; GO:0031338; GO:0031629; GO:0032229; GO:0032355; GO:0032991; GO:0042802; GO:0043195; GO:0043209; GO:0043274; GO:0043306; GO:0043524; GO:0045335; GO:0045921; GO:0045956; GO:0047485; GO:0048471; GO:0048787; GO:0050821; GO:0060292; GO:0070527; GO:0071346; GO:0072659; GO:0098793; GO:0098794; GO:0098891; GO:0099525; GO:0106022; GO:1903296,Stxbp1,O08599,NA
-0.789191253,22.21341367,-2.29293577,0.063370352,0.191501629,-4.572031917,Asparagine--tRNA ligase. cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS),SYNC_MOUSE,SUBCELLULAR LOCATION: Cytoplasm.,cytosol [GO:0005829]; mitochondrion [GO:0005739]; asparagine-tRNA ligase activity [GO:0004816]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; asparaginyl-tRNA aminoacylation [GO:0006421],GO:0003676; GO:0004816; GO:0005524; GO:0005739; GO:0005829; GO:0006421,Nars,Q8BP47,NA
-0.922271021,24.52646563,-2.213105371,0.063761195,0.192080598,-4.74841552,Stress-70 protein. mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (Peptide-binding protein 74) (PBP74) (p66 MOT),GRP75_MOUSE,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:7865888}. Nucleus. nucleolus {ECO:0000250|UniProtKB:P38646}.,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleolus [GO:0005730]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; enzyme binding [GO:0019899]; fibroblast growth factor binding [GO:0017134]; heat shock protein binding [GO:0031072]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; erythrocyte differentiation [GO:0030218]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of cell death [GO:0060548]; negative regulation of erythrocyte differentiation [GO:0045647]; negative regulation of hematopoietic stem cell differentiation [GO:1902037]; negative regulation of hemopoiesis [GO:1903707]; protein autophosphorylation [GO:0046777]; protein export from nucleus [GO:0006611]; protein folding [GO:0006457]; regulation of erythrocyte differentiation [GO:0045646],GO:0005524; GO:0005730; GO:0005737; GO:0005739; GO:0005759; GO:0006457; GO:0006611; GO:0016226; GO:0017134; GO:0019899; GO:0030218; GO:0031072; GO:0031625; GO:0042645; GO:0043209; GO:0045646; GO:0045647; GO:0046777; GO:0051082; GO:0051087; GO:0060548; GO:1902037; GO:1903707,Hspa9,P38647,PAM complex
-0.673385625,26.86286613,-2.208256783,0.064212673,0.19283806,-4.755422616,Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1),EF1A2_MOUSE,SUBCELLULAR LOCATION: Nucleus.,cytoplasm [GO:0005737]; eukaryotic translation elongation factor 1 complex [GO:0005853]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; translation elongation factor activity [GO:0003746]; positive regulation of apoptotic process [GO:0043065]; positive regulation of lipid kinase activity [GO:0090218]; response to electrical stimulus [GO:0051602]; response to inorganic substance [GO:0010035]; translational elongation [GO:0006414],GO:0003746; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005853; GO:0006414; GO:0010035; GO:0019901; GO:0043025; GO:0043065; GO:0043209; GO:0051602; GO:0090218,Eef1a2,P62631,eEF1
0.698533609,22.82038856,2.275608185,0.064866414,0.19346601,-4.595775077,Proteasome subunit alpha type-3 (EC 3.4.25.1) (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit K),PSA3_MOUSE,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P25788}. Nucleus {ECO:0000250|UniProtKB:P25788}.,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex. alpha-subunit complex [GO:0019773]; synapse [GO:0045202]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin protein ligase binding [GO:0031625]; regulation of endopeptidase activity [GO:0052548]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000502; GO:0004298; GO:0005654; GO:0005829; GO:0005839; GO:0006511; GO:0019773; GO:0031625; GO:0045202; GO:0052548,Psma3,O70435,26S Proteasome
-1.038742363,27.95458388,-2.200808473,0.064912541,0.19346601,-4.766182373,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),ACBP_MOUSE,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:P07108}. Golgi apparatus {ECO:0000250|UniProtKB:P07108}. Note=Golgi localization is dependent on ligand binding. {ECO:0000250|UniProtKB:P07108}.,contractile fiber [GO:0043292]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]; benzodiazepine receptor binding [GO:0030156]; fatty-acyl-CoA binding [GO:0000062]; lipid binding [GO:0008289]; long-chain fatty acyl-CoA binding [GO:0036042]; protein dimerization activity [GO:0046983]; behavioral fear response [GO:0001662]; glial cell proliferation [GO:0014009]; hair follicle development [GO:0001942]; lateral ventricle development [GO:0021670]; learning or memory [GO:0007611]; long-term synaptic potentiation [GO:0060291]; negative regulation of fatty acid beta-oxidation [GO:0031999]; phosphatidylcholine acyl-chain remodeling [GO:0036151]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; regulation of synaptic transmission. GABAergic [GO:0032228]; skin development [GO:0043588]; triglyceride metabolic process [GO:0006641],GO:0000062; GO:0001662; GO:0001942; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005794; GO:0005886; GO:0006641; GO:0007611; GO:0008021; GO:0008289; GO:0014009; GO:0021670; GO:0030156; GO:0031999; GO:0032228; GO:0036042; GO:0036151; GO:0043292; GO:0043588; GO:0046889; GO:0046983; GO:0051281; GO:0060291; GO:0097038,Dbi,P31786,NA
-1.055316469,22.71233214,-2.266970655,0.065625918,0.19346601,-4.60760878,ATP-dependent 6-phosphofructokinase. liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase),PFKAL_MOUSE,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03184}.,6-phosphofructokinase complex [GO:0005945]; cytosol [GO:0005829]; 6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; fructose binding [GO:0070061]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; carbohydrate metabolic process [GO:0005975]; fructose 1.6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glycolytic process [GO:0006096]; glycolytic process through fructose-6-phosphate [GO:0061615]; negative regulation of insulin secretion [GO:0046676]; protein complex oligomerization [GO:0051259]; protein homotetramerization [GO:0051289]; response to glucose [GO:0009749],GO:0003872; GO:0005524; GO:0005829; GO:0005945; GO:0005975; GO:0006002; GO:0006096; GO:0009749; GO:0019900; GO:0030388; GO:0042802; GO:0046676; GO:0046872; GO:0048029; GO:0051259; GO:0051289; GO:0061615; GO:0070061; GO:0070095,Pfkl,P12382,NA
-1.258336587,24.26153345,-2.196676311,0.065304137,0.19346601,-4.772149308,Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (DAL1P) (mDAL-1) [Cleaved into: Band 4.1-like protein 3. N-terminally processed],E41L3_MOUSE,SUBCELLULAR LOCATION: Cytoplasm. cytoskeleton {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:10652311}; Peripheral membrane protein {ECO:0000269|PubMed:10652311}; Cytoplasmic side {ECO:0000269|PubMed:10652311}. Cytoplasm {ECO:0000250}. Cell junction {ECO:0000269|PubMed:10652311}. Note=Detected in the cytoplasm of actively dividing cells.,cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; juxtaparanode region of axon [GO:0044224]; paranode region of axon [GO:0033270]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]; actomyosin structure organization [GO:0031032]; apoptotic process [GO:0006915]; cortical actin cytoskeleton organization [GO:0030866]; cortical cytoskeleton organization [GO:0030865]; cytoskeletal anchoring at plasma membrane [GO:0007016]; myelin maintenance [GO:0043217]; neuron projection morphogenesis [GO:0048812]; paranodal junction assembly [GO:0030913]; protein localization to juxtaparanode region of axon [GO:0071205]; protein localization to paranode region of axon [GO:0002175]; protein localization to plasma membrane [GO:0072659]; regulation of cell growth [GO:0001558]; regulation of cell shape [GO:0008360],GO:0001558; GO:0002175; GO:0003779; GO:0005200; GO:0005737; GO:0005856; GO:0005886; GO:0005911; GO:0006915; GO:0007016; GO:0008360; GO:0014069; GO:0030865; GO:0030866; GO:0030913; GO:0031032; GO:0033270; GO:0043217; GO:0044224; GO:0048812; GO:0071205; GO:0072659,Epb41l3,Q9WV92,NA
