N. furzeri symbol,N. furzeri Gene Id,N. furzeri Protein Id,Human,Mouse,Chicken,Rat,Spotted Gar,Zebrafish,Medaka,Stickleback,Tetarodon,Fugu,Worm,Fly,N. furzeri Final Symbol
lgr6,XM_015967975.1,XP_015823461.1,LGR6,Lgr6,LGR6,Lgr6,LGR6,LGR4,lgr6,LGR6,Lgr6,LGR6,sma-10,rk,lgr6
unc93b1,XM_015972002.1,XP_015827488.1,UNC93B1,Unc93b1,UNC93B1,Unc93b1,unc93b1,unc93b1,unc93b1,unc93b1,Unc93b1,unc93b1,unc-93,CG4928,unc93b1
gdf6,XM_015949385.1,XP_015804871.1,GDF6,Gdf6,GDF5,Gdf6,gdf6a,gdf6a,gdf6a,gdf6a,Gdf6,gdf6a,dbl-1,dpp,gdf6
klb,XM_015945050.1,XP_015800536.1,KLB,Klb,KLB,Kl,klb,klb,klb,klb,Kl,klb,klo-2,CG9701,klb
gjd3,XM_015963484.1,XP_015818970.1,GJD3,Gjd3,GJA4,Gjd3,GJD3,cx32.3,GJD3,GJD3,Gjd3,GJD3,,,gjd3
LOC107391876,XM_015969355.1,XP_015824841.1,,,,,,si:ch211-108c17.2,,ENSGACG00000013736,,,,,LOC107391876
LOC107386967,XM_015961675.1,XP_015817161.1,,,,Trat1,TRAT1,,,,Trat1,,,,LOC107386967
lzic,XM_015967664.1,XP_015823150.1,LZIC,Lzic,LZIC,Lzic,lzic,lzic,lzic,lzic,Lzic,lzic,ZK1248.19,,lzic
alx3,XM_015967740.1,XP_015823226.1,ALX3,Alx3,ALX1,Alx3,ALX3,ALX3,ALX3,alx4b,Alx3,ALX3,alr-1,Pph13,alx3
LOC107375815,XM_015944568.1,XP_015800054.1,,,,,ifngr1,ifngr1,ENSORLG00000019059,ENSGACG00000010407,,,,,LOC107375815
fbxo25,XM_015947345.1,XP_015802831.1,FBXO25,Fbxo25,FBXO25,Fbxo25,fbxo25,fbxo25,fbxo25,fbxo25,Fbxo25,fbxo25,mfb-1,CG11658,fbxo25
sema3a,XM_015964631.1,XP_015820117.1,SEMA3A,Sema3a,SEMA3A,Sema3a,sema3aa,sema3ab,sema3ab,sema3ab,Sema3a,sema3ab,smp-1,Sema-1a,sema3a (1 of 3)
LOC107385609,XM_015959604.1,XP_015815090.1,SEMA3A,Sema3a,SEMA3A,Sema3a,sema3aa,sema3aa,sema3aa,sema3aa,Sema3a,sema3aa,smp-1,Sema-1a,sema3a (2 of 3)
LOC107390662,XM_015967493.1,XP_015822979.1,SEMA3A,Sema3a,SEMA3A,Sema3a,sema3aa,sema3h,sema3h,sema3h,Sema3a,sema3h,smp-1,Sema-1a,sema3a (3 of 3)
bcl10,XM_015956629.1,XP_015812115.1,BCL10,Bcl10,BCL10,Bcl10,bcl10,bcl10,bcl10,bcl10,Bcl10,bcl10,,,bcl10
nop2,XM_015950193.1,XP_015805679.1,NOP2,Nop2,NOP2,Nop2,nop2,nop2,nop2,nop2,Nop2,nop2,nol-1,CG11109,nop2 (1 of 2)
LOC107374888,XM_015943179.1,XP_015798665.1,NOP2,Nop2,NOP2,Nop2,nop2,nop2,,nop2,Nop2,nop2,nol-1,CG8545,nop2 (2 of 2)
LOC107389873,XM_015966288.1,XP_015821774.1,,,ENSGALG00000020836,LOC103690541,ENSLOCG00000010804,BX004983.1,,,LOC103690541,ENSTRUG00000017425,,,LOC107389873
LOC107376939,XM_015946268.1,XP_015801754.1,DCTN1,Dctn1,DCTN1,Dctn1,dctn1b,dctn1a,dctn1a,dctn1a,Dctn1,dctn1a,dnc-1,Gl,dctn1 (1 of 2)
LOC107391879,XM_015969362.1,XP_015824848.1,DCTN1,Dctn1,DCTN1,Dctn1,dctn1b,dctn1b,dctn1b,dctn1b,Dctn1,dctn1b,dnc-1,Gl,dctn1 (2 of 2)
phlpp2,XM_015952978.1,XP_015808464.1,PHLPP2,Phlpp2,PHLPP2,Phlpp2,phlpp2,PHLPP2_1_many,PHLPP2,PHLPP2,Phlpp2,PHLPP2,F43C1.1,Phlpp,phlpp2
LOC107395865,XM_015975341.1,XP_015830827.1,IGFBP5,Igfbp5,IGFBP5,Igfbp5,igfbp5b,igfbp5b,igfbp5a,igfbp5a,Igfbp5,igfbp5a,C54E4.2,CG13830,igfbp5 (1 of 2)
LOC107377215,XM_015946688.1,XP_015802174.1,IGFBP5,Igfbp5,IGFBP5,Igfbp5,igfbp5b,igfbp5b,,IGFBP5_1_many,Igfbp5,IGFBP5_1_many,C54E4.2,CG13830,igfbp5 (2 of 2)
nckap1l,XM_015959111.1,XP_015814597.1,NCKAP1L,Nckap1l,NCKAP1L,Nckap1l,zgc:172352,NCKAP1L,zgc:172352,zgc:172352,Nckap1l,zgc:172352,gex-3,Hem,nckap1l
LOC107387863,XM_015963097.1,XP_015818583.1,DBF4B,Dbf4,DBF4,Dbf4,dbf4b,dbf4b,dbf4,dbf4,Dbf4,,,,dbf4b
LOC107396144,XM_015975697.1,XP_015831183.1,SDF2L1,Sdf2,SDF2L1,Sdf2,sdf2l1,sdf2l1,sdf2l1,sdf2l1,Sdf2,sdf2l1,R12E2.13,CG11999,sdf2l1
hbp1,XM_015964164.1,XP_015819650.1,HBP1,Hbp1,HBP1,Hbp1,hbp1,hbp1,hbp1,hbp1,Hbp1,hbp1,gei-3,cic,hbp1 (1 of 2)
LOC107382741,XM_015955003.1,XP_015810489.1,HBP1,Hbp1,HBP1,Hbp1,hbp1,hbp1,ENSORLG00000009474,ENSGACG00000019192,Hbp1,ENSTRUG00000011881,gei-3,cic,hbp1 (2 of 2)
rxfp1,XM_015950931.1,XP_015806417.1,RXFP1,Rxfp1,RXFP1,Rxfp1,rxfp1,rxfp1,rxfp1,rxfp1,Rxfp1,rxfp1,fshr-1,Lgr3,rxfp1
tox3,XM_015952826.1,XP_015808312.1,TOX3,Tox3,TOX3,Tox3,tox3,tox3,tox2,tox3,Tox3,tox3,hmg-6,CG12104,tox3
trmt10c,XM_015952695.1,XP_015808181.1,TRMT10C,Trmt10c,TRMT10C,Trmt10c,trmt10c,trmt10c,trmt10c,trmt10c,Trmt10c,trmt10c,F25H8.1,CG5190,trmt10c
LOC107395484,XM_015974879.1,XP_015830365.1,MXI1,Mxi1,MXI1,Mxi1,mxi1,mxi1,MXI1_1_many,MXI1,Mxi1,MXI1,mdl-1,Mnt,mxi1 (1 of 2)
LOC107390704,XM_015967566.1,XP_015823052.1,MXI1,Mxi1,MXI1,Mxi1,mxi1,mxi1,,MXI1,Mxi1,MXI1,mdl-1,Mnt,mxi1 (2 of 2)
LOC107391546,XM_015968893.1,XP_015824379.1,TMED4,Tmed4,TMED4,Tmed4,tmed4,tmed4,tmed4,tmed4,Tmed4,tmed4,Y60A3A.9,eca,tmed4
taok2,XM_015963259.1,XP_015818745.1,TAOK2,Taok2,TAOK1,Taok2,taok1a,taok2b,taok2b,taok2b,Taok2,taok2b,kin-18,Tao,taok2
ephb4,XM_015960814.1,XP_015816300.1,EPHB4,Ephb4,EPHB3,Ephb4,ephb1,ephb4a,ephb4a,ephb4a,Ephb4,ephb2a,vab-1,Eph,ephb4 (1 of 3)
LOC107373869,XM_015942007.1,XP_015797493.1,EPHB4,Ephb4,EPHB1,Ephb4,ephb1,ephb4b,ephb4a,ephb4b,Ephb4,ephb2a,vab-1,Eph,ephb4 (2 of 3)
LOC107373973,XM_015942115.1,XP_015797601.1,EPHB4,Ephb4,EPHB3,Ephb4,ephb1,ephb4b,,ephb4b,Ephb4,ephb2a,vab-1,Eph,ephb4 (3 of 3)
LOC107372517,XM_015940743.1,XP_015796229.1,,,,,,,,,,,,,LOC107372517
LOC107388280,XM_015963731.1,XP_015819217.1,UTS2R,Uts2r,UTS2R,Uts2r,UTS2R,UTS2R,UTS2R,UTS2R,Uts2r,UTS2R,npr-24,AstC-R1,uts2r (1 of 4)
LOC107379704,XM_015950586.1,XP_015806072.1,UTS2R,Uts2r,ENSGALG00000023581,Uts2r,ENSLOCG00000017749,si:dkey-27n14.1,si:dkey-27n14.1,si:dkey-27n14.1,Uts2r,si:dkey-27n14.1,ser-6,AstC-R1,uts2r (2 of 4)
LOC107397363,XM_015977337.1,XP_015832823.1,UTS2R,Uts2r,ENSGALG00000004632,Uts2r,si:ch73-379f7.4,si:ch73-379f7.4,UTS2R,si:ch73-379f7.4,Uts2r,si:ch73-379f7.4,npr-24,AstC-R1,uts2r (3 of 4)
LOC107388282,XM_015963732.1,XP_015819218.1,UTS2R,Uts2r,ENSGALG00000023581,Uts2r,ENSLOCG00000017749,UTS2R,,UTS2R,Uts2r,ENSTRUG00000008902,npr-24,AstC-R1,uts2r (4 of 4)
LOC107395356,XM_015974730.1,XP_015830216.1,C7orf43,BC037034,,RGD1305455,C7orf43,C7orf43,C7orf43,C7orf43_1_many,RGD1305455,C7orf43_1_many,,,c7orf43
LOC107380441,XM_015951692.1,XP_015807178.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,zgc:195170,,,P2rx7,p2rx7,,,p2rx7 (1 of 10)
LOC107396315,XM_015975979.1,XP_015831465.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,p2rx7,,,P2rx7,p2rx7,,,p2rx7 (2 of 10)
LOC107374375,XM_015942524.1,XP_015798010.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,p2rx7,,,P2rx7,p2rx7,,,p2rx7 (3 of 10)
LOC107377189,XM_015946649.1,XP_015802135.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,zgc:195170,,,P2rx7,p2rx7,,,p2rx7 (4 of 10)
LOC107374030,XM_015942170.1,XP_015797656.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,p2rx7,,,P2rx7,p2rx7,,,p2rx7 (5 of 10)
p2rx7,XM_015960268.1,XP_015815754.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,p2rx7,p2rx4b,p2rx4b,P2rx7,p2rx7,,,p2rx7 (6 of 10)
LOC107372387,XM_015940615.1,XP_015796101.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,zgc:195170,,,P2rx7,p2rx7,,,p2rx7 (7 of 10)
LOC107396955,XM_015976806.1,XP_015832292.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,zgc:195170,,,P2rx7,p2rx7,,,p2rx7 (8 of 10)
LOC107380317,XM_015951493.1,XP_015806979.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,CR387997.2,,,P2rx7,p2rx7,,,p2rx7 (9 of 10)
LOC107376073,XM_015945014.1,XP_015800500.1,P2RX7,P2rx7,P2RX7,P2rx7,p2rx7,CR387997.2,,,P2rx7,p2rx7,,,p2rx7 (10 of 10)
LOC107388533,XM_015964104.1,XP_015819590.1,,,,,,,,,,,H39E23.3,,LOC107388533
LOC107378193,XM_015948266.1,XP_015803752.1,,,,,ENSLOCG00000000682,,,,,,,,LOC107378193
mettl15,XM_015953354.1,XP_015808840.1,METTL15,Mettl15,METTL15,Mettl15,METTL15,METTL15,METTL15,METTL15,Mettl15,METTL15,,CG14683,mettl15
rapgef1,XM_015960462.1,XP_015815948.1,RAPGEF1,Rapgef1,RAPGEF1,Rapgef1,rapgef1a,rapgef1a,RAPGEF1_1_many,RAPGEF1_1_many,Rapgef1,rapgef1b,Y34B4A.4,C3G,rapgef1 (1 of 2)
LOC107374772,XM_015943021.1,XP_015798507.1,RAPGEF1,Rapgef1,RAPGEF1,Rapgef1,rapgef1a,rapgef1b,rapgef1b,rapgef1b,Rapgef1,rapgef1b,Y34B4A.4,C3G,rapgef1 (2 of 2)
polr2m,XM_015953005.1,XP_015808491.1,POLR2M,Polr2m,ENSGALG00000004283,Polr2m,polr2m,POLR2M,polr2m,polr2m,Polr2m,polr2m,,CG3773,polr2m
csgr15h6orf226,XM_015968344.1,XP_015823830.1,,2310039H08Rik,,LOC681367,ENSLOCG00000005596,,ENSORLG00000014778,ENSGACG00000011945,LOC681367,,,,csgr15h6orf226
csgr10h1orf233,XM_015959883.1,XP_015815369.1,C1orf233,B930041F14Rik,,,,si:zfos-1324h11.5,,ENSGACG00000001089,,,,,c1orf233
ddhd2,XM_015972570.1,XP_015828056.1,DDHD2,Sec23ip,DDHD2,Ddhd2,ddhd2,ddhd2,ddhd2,sec23ip,Ddhd2,ddhd2,ipla-1,CG8552,ddhd2
polr2k,XM_015973726.1,XP_015829212.1,POLR2K,Polr2k,POLR2K,Polr2k,polr2k,polr2k,polr2k,,Polr2k,,rpb-12,Rpb12,polr2k
hip1r,XM_015973018.1,XP_015828504.1,HIP1R,Hip1r,HIP1R,Hip1r,hip1rb,hip1rb,hip1rb,hip1rb,Hip1r,hip1rb,hipr-1,Hip1,hip1r (1 of 2)
LOC107375142,XM_015943512.1,XP_015798998.1,HIP1R,Hip1r,HIP1R,Hip1r,hip1,HIP1R_1_many,,hip1rb,Hip1r,HIP1R_1_many,hipr-1,Hip1,hip1r (2 of 2)
p4ha2,XM_015961416.1,XP_015816902.1,P4HA2,P4ha2,P4HA2,P4ha2,p4ha2,p4ha2,p4ha2,p4ha2,P4ha2,p4ha2,phy-2,PH4alphaEFB,p4ha2
LOC107376065,XM_015945005.1,XP_015800491.1,ZNF33A,Zfp931,MYNN,Zscan22,mynn,BX511182.1,,ENSGACG00000000161,Zscan22,zgc:171901,che-1,gl,znf33a
abcc5,XM_015949649.1,XP_015805135.1,ABCC5,Abcc5,ABCC1,Abcc5,si:ch211-221f10.2,si:ch211-221f10.2,si:ch211-221f10.2,si:ch211-221f10.2,Abcc5,si:ch211-221f10.2,mrp-5,CG31793,abcc5
fen1,XM_015954963.1,XP_015810449.1,FEN1,Fen1,FEN1,Fen1,zgc:110269,fen1,fen1,fen1,Fen1,fen1,crn-1,Fen1,fen1 (1 of 2)
LOC107373845,XM_015941985.1,XP_015797471.1,FEN1,Fen1,FEN1,Fen1,zgc:110269,GEN1,zgc:110269,zgc:110269,Fen1,fen1,crn-1,Fen1,fen1 (2 of 2)
entpd2,XM_015943501.1,XP_015798987.1,ENTPD2,Entpd2,ENTPD2,Entpd2,entpd2a.1,entpd2a.1,entpd2b,entpd2b,Entpd2,entpd2b,mig-23,NTPase,entpd2
mamdc2,XM_015943370.1,XP_015798856.1,MAMDC2,Mamdc2,MAMDC2,Mamdc2,mamdc2a,mamdc2b,mamdc2b,mamdc2b,Mamdc2,mamdc2b,,,mamdc2
zcchc14,XM_015965201.1,XP_015820687.1,ZCCHC2,Zcchc2,ZCCHC2,Zcchc14,zcchc14_1_many,zcchc14,ENSORLG00000012655,zcchc14,Zcchc14,si:ch1073-111c8.3,ZC190.4,CG10492,zcchc2
khdrbs3,XM_015974223.1,XP_015829709.1,KHDRBS3,Khdrbs3,KHDRBS3,Khdrbs3,khdrbs3,khdrbs3,khdrbs3,khdrbs3,Khdrbs3,khdrbs3,gld-1,qkr54B,khdrbs3
btbd6,XM_015969024.1,XP_015824510.1,BTBD6,Btbd6,BTBD6,Btbd6,btbd6a,btbd6a,BTBD6_1_many,BTBD6,Btbd6,BTBD6_1_many,tag-30,lute,btbd6 (1 of 2)
LOC107377948,XM_015947924.1,XP_015803410.1,BTBD6,Btbd6,BTBD6,Btbd6,btbd6a,btbd6b,,BTBD6,Btbd6,btbd6a,tag-30,lute,btbd6 (2 of 2)
chid1,XM_015964353.1,XP_015819839.1,CHID1,Chid1,CHID1,LOC100911881,chid1,chid1,chid1,chid1,LOC100911881,chid1,chil-10,CG8460,chid1
LOC107381016,XM_015952477.1,XP_015807963.1,CCKAR,Cckar,CCK1R,Cckar,si:dkey-1h24.2,CCKBR_1_many,CCKBR_1_many,CCKBR_1_many,Cckar,CCKBR_1_many,nmur-4,CCKLR-17D3,cckar (1 of 3)
cckar,XM_015946846.1,XP_015802332.1,CCKAR,Cckar,CCK1R,Cckar,CCKAR,CCKAR,CCKAR,CCKAR,Cckar,CCKAR,ckr-1,CCKLR-17D3,cckar (2 of 3)
LOC107389856,XM_015966263.1,XP_015821749.1,CCKAR,Cckar,CCK1R,Cckar,si:dkey-1h24.2,CCKBR_1_many,,CCKBR_1_many,Cckar,CCKBR_1_many,ckr-1,CCKLR-17D3,cckar (3 of 3)
mif,XM_015940929.1,XP_015796415.1,MIF,Mif,MIF,LOC103694877,mif,mif,mif,mif,LOC103694877,mif,mif-1,,mif
spata5l1,XM_015953569.1,XP_015809055.1,SPATA5L1,Spata5,SPATA5L1,Spata5l1,spata5l1,spata5l1,spata5l1,spata5l1,Spata5l1,spata5l1,cdc-48.2,TER94,spata5l1
pih1d2,XM_015951177.1,XP_015806663.1,PIH1D2,Pih1d2,PIH1D2,Pih1d2,pih1d2,pih1d2,,pih1d2,Pih1d2,pih1d2,,Nop17l,pih1d2
eif3d,XM_015974281.1,XP_015829767.1,EIF3D,Eif3d,EIF3D,Eif3d,eif3d,eif3d,eif3d,eif3d,Eif3d,eif3d,eif-3.D,eIF-3p66,eif3d
LOC107384765,XM_015958209.1,XP_015813695.1,PYGM,Pygm,PYGB,Pygm,pygb,pygmb,pygma,pygmb,Pygm,pygmb,T22F3.3,GlyP,pygm (1 of 2)
LOC107386385,XM_015960744.1,XP_015816230.1,PYGM,Pygm,PYGB,Pygm,pygb,pygma,pygma,pygmb,Pygm,pygma,T22F3.3,GlyP,pygm (2 of 2)
LOC107390789,XM_015967714.1,XP_015823200.1,AMPD2,Ampd2,AMPD3,Ampd2,ampd2b,ampd2b,ampd2b,ampd2a,Ampd2,ampd2b_1_many,ampd-1,AMPdeam,ampd2 (1 of 3)
LOC107390788,XM_015967713.1,XP_015823199.1,AMPD2,Ampd2,AMPD2,Ampd2,ampd2b,ampd2b,,ampd2b,Ampd2,ampd2b_1_many,ampd-1,AMPdeam,ampd2 (2 of 3)
LOC107385751,XM_015959844.1,XP_015815330.1,AMPD2,Ampd2,AMPD2,Ampd2,ampd2b,ampd2a,,ampd2a,Ampd2,ampd2a,ampd-1,AMPdeam,ampd2 (3 of 3)
man2a2,XM_015964810.1,XP_015820296.1,MAN2A2,Man2a2,MAN2A2,Man2a2,man2a2,man2a2,man2a2,man2a2,Man2a2,man2a2,aman-2,alpha-Man-II,man2a2
LOC107394339,XM_015973256.1,XP_015828742.1,ACSBG2,Acsbg2,ACSBG2,Acsbg2,ENSLOCG00000011989,acsbg2,ENSORLG00000001254,ENSGACG00000013803,Acsbg2,ENSTRUG00000016802,acs-5,bgm,acsbg2 (1 of 2)
acsbg2,XM_015970933.1,XP_015826419.1,ACSBG2,Acsbg1,ACSBG2,Acsbg1,acsbg2,acsbg2,acsbg2,acsbg2,Acsbg1,acsbg2,acs-5,bgm,acsbg2 (2 of 2)
LOC107378025,XM_015948029.1,XP_015803515.1,RP3-403A15.5,Soga3,ENSGALG00000014825,Soga3,soga3b,soga3a,,soga3b,Soga3,soga3b,tag-241,CG18304,rp3-403a15.5
LOC107389596,XM_015966229.1,XP_015821715.1,AGTR2,Agtr2,AGTR2,Agtr2,agtr2,agtr2,,agtr2,Agtr2,agtr2,npr-9,TkR86C,agtr2
erbin,XM_015943159.1,XP_015798645.1,ERBB2IP,Erbb2ip,ERBB2IP,Lrrc7,erbb2ip_1_many,erbb2ip,erbb2ip,erbb2ip,Lrrc7,erbb2ip,let-413,scrib,erbb2ip
mrpl22,XM_015961865.1,XP_015817351.1,MRPL22,Mrpl22,MRPL22,Mrpl22,mrpl22,mrpl22,mrpl22,mrpl22,Mrpl22,mrpl22,mrpl-22,mRpL22,mrpl22
ninj2,XM_015958689.1,XP_015814175.1,NINJ1,Ninj1,NINJ1,Ninj2,ninj2,ninj2,ninj2,ninj2,Ninj2,ninj2,,NijC,ninj1 (1 of 2)
ninj1,XM_015958776.1,XP_015814262.1,NINJ1,Ninj1,NINJ1,Ninj1,si:ch1073-278o19.1,NINJ1,si:ch1073-278o19.1,si:ch1073-278o19.1,Ninj1,si:ch1073-278o19.1,,NijC,ninj1 (2 of 2)
LOC107372559,XM_015940782.1,XP_015796268.1,LMO4,Lmo4,LMO4,Lmo4,lmo4b,lmo4a,lmo4b,ENSGACG00000003456,Lmo4,lmo4a,lim-6,Bx,lmo4 (1 of 3)
LOC107375041,XM_015943382.1,XP_015798868.1,LMO4,Lmo4,LMO4,Lmo4,lmo4b,lmo4a,lmo4b,lmo4a,Lmo4,lmo4a,lin-11,Bx,lmo4 (2 of 3)
lmo4,XM_015962340.1,XP_015817826.1,LMO4,Lmo4,LMO4,Lmo4,lmo4b,lmo4b,lmo4b,lmo4b,Lmo4,lmo4b,lin-11,Bx,lmo4 (3 of 3)
dpf2,XM_015946807.1,XP_015802293.1,DPF2,Dpf2,DPF3,Dpf2,dpf3,dpf2l,dpf2l,dpf2l,Dpf2,dpf2l,dpff-1,d4,dpf2 (1 of 2)
LOC107386459,XM_015960862.1,XP_015816348.1,DPF2,Dpf2,DPF3,Dpf2,dpf3,dpf2,,dpf2,Dpf2,dpf2,dpff-1,d4,dpf2 (2 of 2)
mtap,XM_015943724.1,XP_015799210.1,MTAP,Mtap,MTAP,Mtap,mtap,mtap,pnp6,mtap,Mtap,mtap,B0228.7,Mtap,mtap
LOC107376885,XM_015946200.1,XP_015801686.1,,,,,,,,,,,,,LOC107376885
LOC107393562,XM_015972013.1,XP_015827499.1,KCNV2,Kcnv2,KCNV2,Kcnv2,kcnv2a,kcnv2a,kcnv2a_1_many,kcnv2a_1_many,Kcnv2,kcnv2a_1_many,exp-2,Shab,kcnv2 (1 of 3)
LOC107375028,XM_015943367.1,XP_015798853.1,KCNV2,Kcnv2,KCNV2,Kcnv2,kcnv2a,kcnv2a,,kcnv2a_1_many,Kcnv2,kcnv2a_1_many,exp-2,Shab,kcnv2 (2 of 3)
LOC107395021,XM_015974279.1,XP_015829765.1,KCNV2,Kcnv2,ENSGALG00000026161,Kcnv2,si:rp71-39b20.4,si:rp71-39b20.4,,si:rp71-39b20.4,Kcnv2,si:rp71-39b20.4,kvs-3,Shab,kcnv2 (3 of 3)
chdh,XM_015967392.1,XP_015822878.1,CHDH,Chdh,CHDH,Chdh,chdh,chdh,chdh,chdh,Chdh,chdh,C34C6.4,CG9514,chdh
srsf3,XM_015959859.1,XP_015815345.1,SRSF3,Srsf3,SRSF3,Srsf3,srsf3a,srsf3b,srsf3a,srsf3b,Srsf3,srsf7a,rsp-6,Rbp1,srsf3 (1 of 2)
LOC107385166,XM_015958863.1,XP_015814349.1,SRSF3,Srsf3,SRSF3,Srsf3,srsf3a,srsf3a,,srsf3b,Srsf3,srsf7a,rsp-6,x16,srsf3 (2 of 2)
vasn,XM_015945579.1,XP_015801065.1,VASN,Vasn,VASN,Vasn,vasna,vasnb,vasnb,vasnb,Vasn,vasnb,slt-1,trn,vasn (1 of 2)
LOC107395821,XM_015975287.1,XP_015830773.1,VASN,Vasn,VASN,Vasn,vasna,vasna,,vasna,Vasn,vasnb,slt-1,sli,vasn (2 of 2)
LOC107394418,XM_015973345.1,XP_015828831.1,ENPP2,Enpp2,Enpp2,Enpp2,ENPP2_1_many,enpp2,enpp2_1_many,enpp2_1_many,Enpp2,enpp2_1_many,C27A7.1,Tengl4,enpp2 (1 of 2)
enpp2,XM_015975873.1,XP_015831359.1,ENPP2,Enpp2,Enpp2,Enpp2,ENPP2_1_many,enpp2,enpp2_1_many,enpp2_1_many,Enpp2,enpp2_1_many,C27A7.1,,enpp2 (2 of 2)
taf6l,XM_015958212.1,XP_015813698.1,TAF6L,Taf6l,TAF6L,Taf6l,taf6l,taf6l,taf6l,taf6l,Taf6l,taf6l,,Taf6,taf6l
LOC107385180,XM_015958891.1,XP_015814377.1,PBRM1,Pbrm1,PBRM1,Pbrm1,pbrm1,pbrm1,pbrm1,pbrm1,Pbrm1,pbrm1l,pbrm-1,polybromo,pbrm1 (1 of 2)
LOC107385747,XM_015959833.1,XP_015815319.1,PBRM1,Pbrm1,PBRM1,Pbrm1,pbrm1,pbrm1,,pbrm1,Pbrm1,pbrm1,pbrm-1,polybromo,pbrm1 (2 of 2)
hyls1,XM_015954519.1,XP_015810005.1,HYLS1,Hyls1,,Hyls1,si:dkey-23f9.4,HYLS1,si:dkey-23f9.4,,Hyls1,,,,hyls1
wfdc1,XM_015965432.1,XP_015820918.1,WFDC1,Wfdc1,WFDC1,Wfdc1,wfdc1,wfdc1,wfdc1,wfdc1,Wfdc1,wfdc1,,,wfdc1
eif2b1,XM_015975729.1,XP_015831215.1,EIF2B1,Eif2b1,EIF2B1,Eif2b1,eif2b1,eif2b1,eif2b1,eif2b1,Eif2b1,eif2b1,ZK1098.4,eIF2B-alpha,eif2b1
trim8,XM_015962857.1,XP_015818343.1,TRIM8,Trim8,TRIM8,Trim8,trim8a,trim8a,trim8a,trim8a,Trim8,trim8a,nhl-1,elgi,trim8 (1 of 2)
LOC107375645,XM_015944283.1,XP_015799769.1,TRIM8,Trim8,TRIM8,Trim8,trim8a,trim8a,,ENSGACG00000007285,Trim8,trim8a,nhl-1,elgi,trim8 (2 of 2)
swi5,XM_015940599.1,XP_015796085.1,SWI5,Swi5,,Swi5,,swi5,swi5,,Swi5,,,CG14104,swi5
LOC107375962,XM_015944817.1,XP_015800303.1,TMEM126A,Tmem126a,ENSGALG00000014066,Tmem126a,tmem126a,tmem126a,,tmem126a,Tmem126a,tmem126a,,CG13392,tmem126a
aig1,XM_015947801.1,XP_015803287.1,AIG1,Aig1,AIG1,Aig1,aig1,aig1,aig1,ENSGACG00000011984,Aig1,aig1,C37E2.2,CG3625,aig1
LOC107379791,XM_015950705.1,XP_015806191.1,,,,,,si:ch211-14c7.2,si:ch211-14c7.2,si:ch211-14c7.2,,,,,LOC107379791
dram2,XM_015958487.1,XP_015813973.1,DRAM2,Dram2,DRAM1,Dram2,dram2a,dram2b,dram2b,dram2b,Dram2,dram2b,C33A11.2,CG4025,dram2
LOC107378505,XM_015948751.1,XP_015804237.1,,,,,,si:dkeyp-71f10.5,si:dkeyp-71f10.5_1_many,si:dkeyp-71f10.5,,,,,LOC107378505
LOC107381578,XM_015953324.1,XP_015808810.1,CTRB1,Ctrb1,ENSGALG00000000038,Ctrb1,ctrb1,zgc:136461,zgc:136461,ctrb1,Ctrb1,zgc:136461,try-1,CG4386,ctrb1
rnf208,XM_015940951.1,XP_015796437.1,RNF208,Rnf208,RNF208,Rnf208,RNF208,RNF208,ENSORLG00000009037,RNF208,Rnf208,RNF208,C06A5.8,,rnf208 (1 of 2)
LOC107377345,XM_015946874.1,XP_015802360.1,RNF208,Chd3os,RNF208,Rnf208,ENSLOCG00000013165,CU019646.2,,RNF208,Rnf208,RNF208,F40G9.12,CG5071,rnf208 (2 of 2)
tbcel,XM_015962028.1,XP_015817514.1,TBCEL,Tbcel,TBCEL,Tbcel,tbcelb,tbcelb,tbcelb,tbcelb,Tbcel,tbcelb,coel-1,mlt,tbcel (1 of 2)
LOC107396648,XM_015976451.1,XP_015831937.1,TBCEL,Tbcel,TBCEL,Tbcel,tbcelb,tbcela,,tbcela,Tbcel,tbcela,coel-1,mlt,tbcel (2 of 2)
LOC107394786,XM_015973881.1,XP_015829367.1,SDC3,Sdc3,SDC3,Sdc3,SDC1,SDC3,,SDC3,Sdc3,SDC3,sdn-1,Sdc,sdc3
sub1,XM_015942712.1,XP_015798198.1,SUB1,Sub1,ENSGALG00000027261,Sub1,sub1b,sub1b,sub1b,sub1b,Sub1,sub1b,T13F2.2,Ssb-c31a,sub1
LOC107378113,XM_015948150.1,XP_015803636.1,CH507-9B2.3,D10Jhu81e,ENSGALG00000007526,RGD1303003,zgc:162944,si:ch211-153b23.5,si:ch211-153b23.5,si:ch211-153b23.5_1_many,RGD1303003,si:ch211-153b23.5,,,ch507-9b2.3 (1 of 3)
